parameter_key,parameter_name,domain,unit,baseline_value,factor,parameter_value,center_temperature_c,surface_temperature_c,average_temperature_c,center_temperature_rise_c,surface_temperature_rise_c,average_temperature_rise_c,center_response_change_pct,surface_response_change_pct,average_response_change_pct,max_abs_response_change_pct,center_moisture_kg_kg,surface_moisture_kg_kg,average_moisture_kg_kg,center_moisture_loss_kg_kg,surface_moisture_loss_kg_kg,average_moisture_loss_kg_kg
rho,密度 ρ,temperature,kg/m³,820.0,0.5,410.0,36.90683456165978,38.79084869874004,37.84682826287915,8.906834561659778,10.790848698740042,9.84682826287915,59.72064935701249,22.81587519353181,37.34601400355573,59.72064935701249,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.55,451.00000000000006,36.4876161898431,38.54174795376276,37.51221336810432,8.487616189843102,10.541747953762759,9.51221336810432,52.20307056901361,19.98073897210393,32.678722080044075,52.20307056901361,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.6,492.0,36.0883222511833,38.30396804825001,37.193134137687665,8.0883222511833,10.303968048250013,9.193134137687665,45.04278408052422,17.27445070745677,28.228125473798826,45.04278408052422,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.65,533.0,35.70930580709062,38.07767355161328,36.889829615848114,7.709305807090622,10.07767355161328,8.889829615848114,38.24612111924572,14.698883443765531,23.99755843314484,38.24612111924572,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.7,574.0,35.35037153657383,37.862722012781134,36.60211603324228,7.350371536573832,9.862722012781134,8.602116033242282,31.809579116971886,12.25241587639534,19.984457697493397,31.809579116971886,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.75,615.0,35.0109654291426,37.6587722505215,36.32953513286894,7.010965429142601,9.658772250521501,8.32953513286894,25.723223352825975,9.931164856505292,16.18243138401403,25.723223352825975,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.8,656.0,34.69031133615591,37.46536180294309,36.07146045552008,6.690311336155908,9.465361802943093,8.071460455520082,19.973135642509867,7.729866881334102,12.582741483587622,19.973135642509867,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.85,697.0,34.38750676726268,37.28196091700344,35.82717156538726,6.387506767262678,9.281960917003438,7.82717156538726,14.543132195484553,5.64249257493894,9.175339178057285,14.543132195484553,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.9,738.0,34.10158870256626,37.10800938553515,35.59590479164494,6.101588702566261,9.108009385535148,7.595904791644941,9.415943783027704,3.6626659482318358,5.949572596475594,9.415943783027704,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,0.95,779.0,33.8315778778187,36.942941137670964,35.37688717580714,5.831577877818702,8.942941137670964,7.376887175807141,4.574009876705554,1.7839442745168022,2.8946603212930633,4.574009876705554,,,,,,
rho,密度 ρ,temperature,kg/m³,820.0,1.0,820.0,33.57650785763521,36.786200221865414,35.1693585972027,5.576507857635207,8.786200221865414,7.169358597202702,0.0,0.0,0.0,0.0,,,,,,
