time_h,z_0.0_cm,z_0.5_cm,z_1.0_cm,z_1.5_cm,z_2.0_cm,z_2.5_cm,z_3.0_cm,z_3.5_cm,z_4.0_cm,z_4.5_cm,z_5.0_cm,z_5.5_cm,z_6.0_cm,z_6.5_cm,z_7.0_cm,z_7.5_cm,z_8.0_cm,z_8.5_cm,z_9.0_cm,z_9.5_cm,z_10.0_cm,z_10.5_cm,z_11.0_cm,z_11.5_cm,z_12.0_cm,z_12.5_cm
6.000000,1.0188501468,1.0188493784,1.0188476775,1.0188445857,1.0188393103,1.0188312184,1.0188186160,1.0187981686,1.0187630951,1.0186994602,1.0185789787,1.0183460783,1.0178967300,1.0170474108,1.0154950352,1.0125166313,1.0073794264,0.9990830835,0.9853530628,0.9647563428,0.9335006736,0.8889616712,0.8264676393,0.7394119434,0.6152789370,0.4200339070
12.000000,0.4577055346,0.4577046163,0.4577024914,0.4576982355,0.4576894977,0.4576736224,0.4576452773,0.4575954109,0.4575090333,0.4573620412,0.4571170222,0.4567182025,0.4560859909,0.4551117915,0.4536537878,0.4514124854,0.4481907154,0.4437231964,0.4373478414,0.4287166562,0.4166274405,0.3999943523,0.3764777610,0.3417039629,0.2849275831,0.1325843607
18.000000,0.2996623781,0.2996614426,0.2996592968,0.2996550759,0.2996467928,0.2996325638,0.2996087568,0.2995697305,0.2995069243,0.2994076870,0.2992538711,0.2990202587,0.2986728938,0.2981673563,0.2974469044,0.2963882444,0.2949097359,0.2928915165,0.2900162622,0.2860718505,0.2803630447,0.2721450805,0.2598538822,0.2404917188,0.2064799187,0.0778630886
24.000000,0.2382805856,0.2382797895,0.2382779791,0.2382744821,0.2382678639,0.2382569095,0.2382392640,0.2382114065,0.2381681808,0.2381022044,0.2380031552,0.2378569358,0.2376446884,0.2373415903,0.2369152877,0.2362932280,0.2354230149,0.2342247544,0.2324849408,0.2300421934,0.2263906792,0.2209574353,0.2125486564,0.1988398923,0.1738353312,0.0640474850
30.000000,0.2061460033,0.2061453328,0.2061438162,0.2061409216,0.2061355686,0.2061269098,0.2061132773,0.2060922248,0.2060602283,0.2060123067,0.2059415487,0.2058385230,0.2056905251,0.2054805729,0.2051860202,0.2047550261,0.2041475031,0.2033014547,0.2020512597,0.2002638944,0.1975315014,0.1933787748,0.1868155743,0.1758901882,0.1554948775,0.0586401244
36.000000,0.1861133461,0.1861127730,0.1861114813,0.1861090361,0.1861045845,0.1860974935,0.1860864967,0.1860697552,0.1860446414,0.1860074590,0.1859530817,0.1858744809,0.1857620900,0.1856029228,0.1853793254,0.1850503427,0.1845827184,0.1839246975,0.1829382340,0.1815083723,0.1792869496,0.1758607804,0.1703678866,0.1610934444,0.1435014747,0.0559487749
42.000000,0.1722488794,0.1722483811,0.1722472610,0.1722451531,0.1722413586,0.1722353801,0.1722262067,0.1722123786,0.1721918179,0.1721616039,0.1721176753,0.1720544263,0.1719641465,0.1718362250,0.1716560129,0.1713892149,0.1710069665,0.1704641980,0.1696408645,0.1684345385,0.1665373592,0.1635791992,0.1587865791,0.1506097323,0.1349153416,0.0544007209
48.000000,0.1619753587,0.1619749188,0.1619739320,0.1619720833,0.1619687833,0.1619636264,0.1619557756,0.1619440260,0.1619266647,0.1619012813,0.1618645107,0.1618116749,0.1617362759,0.1616292658,0.1614779973,0.1612526664,0.1609274942,0.1604621475,0.1597493146,0.1586957933,0.1570228922,0.1543922288,0.1500954916,0.1427053911,0.1283900428,0.0534203951
54.000000,0.1539904783,0.1539900850,0.1539892041,0.1539875593,0.1539846427,0.1539801138,0.1539732601,0.1539630581,0.1539480523,0.1539261898,0.1538945916,0.1538492275,0.1537844490,0.1536923123,0.1535615995,0.1533657442,0.1530812683,0.1526713878,0.1520383127,0.1510959439,0.1495877786,0.1471999223,0.1432743290,0.1364787921,0.1232171861,0.0527556698
57.580833,0.1499999179,0.1499995480,0.1499987203,0.1499971775,0.1499944507,0.1499902298,0.1499838609,0.1499744053,0.1499605271,0.1499403393,0.1499111878,0.1498693426,0.1498095505,0.1497243841,0.1496033000,0.1494212686,0.1491559301,0.1487722289,0.1481770066,0.1472876836,0.1458586701,0.1435882280,0.1398432699,0.1333390192,0.1205975735,0.0524548976
