time_h,radius_cm,moisture_1d_kg_kg,moisture_2d_midplane_kg_kg,difference_2d_minus_1d
6,0,1.0188601849,1.0188501468,-0.0000100381
6,0.5,0.9899247857,0.9899151501,-0.0000096356
6,1,0.9031768646,0.9031683256,-0.0000085390
6,1.5,0.7564037556,0.7563967115,-0.0000070441
6,2,0.5339442179,0.5339385205,-0.0000056974
12,0,0.4577115731,0.4577055346,-0.0000060385
12,0.5,0.4446516754,0.4446458899,-0.0000057855
12,1,0.4044180712,0.4044130187,-0.0000050525
12,1.5,0.3308059170,0.3308020120,-0.0000039050
12,2,0.1651608989,0.1651575814,-0.0000033175
18,0,0.2996670572,0.2996623781,-0.0000046791
18,0.5,0.2923314147,0.2923269676,-0.0000044471
18,1,0.2694002834,0.2693965081,-0.0000037753
18,1.5,0.2258091017,0.2258063988,-0.0000027029
18,2,0.0847550162,0.0847536243,-0.0000013919
24,0,0.2382845699,0.2382805856,-0.0000039843
24,0.5,0.2331976827,0.2331938893,-0.0000037934
24,1,0.2171335662,0.2171303278,-0.0000032384
24,1.5,0.1858519422,0.1858495984,-0.0000023438
24,2,0.0665742391,0.0665734590,-0.0000007801
30,0,0.2061495105,0.2061460033,-0.0000035072
30,0.5,0.2021523633,0.2021490161,-0.0000033472
30,1,0.1894432848,0.1894404049,-0.0000028799
30,1.5,0.1642984421,0.1642963247,-0.0000021174
30,2,0.0598860592,0.0598855450,-0.0000005142
36,0,0.1861164865,0.1861133461,-0.0000031404
36,0.5,0.1827546661,0.1827516629,-0.0000030032
36,1,0.1720146170,0.1720120164,-0.0000026006
36,1.5,0.1505282079,0.1505262710,-0.0000019369
36,2,0.0566705846,0.0566702169,-0.0000003677
42,0,0.1722517260,0.1722488794,-0.0000028466
42,0.5,0.1693069881,0.1693042614,-0.0000027267
42,1,0.1598660697,0.1598636963,-0.0000023734
42,1.5,0.1408219520,0.1408201659,-0.0000017861
42,2,0.0548638409,0.0548635640,-0.0000002769
48,0,0.1619779642,0.1619753587,-0.0000026055
48,0.5,0.1593294188,0.1593269198,-0.0000024990
48,1,0.1508146774,0.1508124929,-0.0000021845
48,1.5,0.1335276763,0.1335260185,-0.0000016578
48,2,0.0537392174,0.0537390007,-0.0000002167
54,0,0.1539928826,0.1539904783,-0.0000024043
54,0.5,0.1515665900,0.1515642815,-0.0000023085
54,1,0.1437489945,0.1437469695,-0.0000020250
54,1.5,0.1277943473,0.1277927997,-0.0000015476
54,2,0.0529867263,0.0529865518,-0.0000001745
