time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60.000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999990,2.5499999912,2.5499999163,2.5499992242,2.5499928857,2.5499368993,2.5494481725,2.5454584967,2.5156683982,2.3410200676
120.000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999996,2.5499999967,2.5499999732,2.5499997947,2.5499984192,2.5499883267,2.5499173530,2.5494531305,2.5466221043,2.5315511805,2.4650259881,2.2521590280
180.000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999991,2.5499999941,2.5499999606,2.5499997300,2.5499982405,2.5499887080,2.5499315272,2.5496102208,2.5479682783,2.5403920640,2.5106809551,2.4157973257,2.1880896142
240.000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999989,2.5499999928,2.5499999562,2.5499997399,2.5499984464,2.5499912467,2.5499521413,2.5497552366,2.5488400875,2.5450190608,2.5308261699,2.4862142493,2.3708569383,2.1364304670
300.000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999988,2.5499999933,2.5499999594,2.5499997781,2.5499988235,2.5499937989,2.5499693188,2.5498542671,2.5493565124,2.5473859301,2.5404132443,2.5185618362,2.4602598021,2.3300070383,2.0928072657
360.000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999988,2.5499999937,2.5499999685,2.5499998283,2.5499991501,2.5499959368,2.5499808710,2.5499157195,2.5496461802,2.5486237588,2.5450900234,2.5341798254,2.5043055547,2.4339531925,2.2926990558,2.0547619591
420.000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999990,2.5499999949,2.5499999745,2.5499998821,2.5499994162,2.5499973625,2.5499885277,2.5499512246,2.5498062484,2.5492702869,2.5474567035,2.5418721327,2.5264754924,2.4886631943,2.4078996182,2.2583968706,2.0209271044
480.000000,2.5500000000,2.5499999999,2.5499999998,2.5499999991,2.5499999961,2.5499999813,2.5499999141,2.5499996313,2.5499983265,2.5499930494,2.5499722706,2.5498924783,2.5496106839,2.5486675448,2.5457784263,2.5377184717,2.5175082470,2.4721043432,2.3824155407,2.2266641836,1.9903176971
540.000000,2.5499999999,2.5499999998,2.5499999992,2.5499999968,2.5499999868,2.5499999417,2.5499997503,2.5499990008,2.5499958165,2.5499839192,2.5499407229,2.5497885200,2.5492952716,2.5477836845,2.5435390804,2.5326619570,2.5074903407,2.4549710064,2.3576396056,2.1971172401,1.9624784446
600.000000,2.5499999996,2.5499999992,2.5499999974,2.5499999901,2.5499999612,2.5499998395,2.5499993578,2.5499975931,2.5499906464,2.5499665217,2.5498852093,2.5496202241,2.5488253455,2.5465728830,2.5407130222,2.5267613322,2.4966119896,2.4375024872,2.3336242696,2.1694812154,1.9369296713
660.000000,2.5499999986,2.5499999975,2.5499999923,2.5499999722,2.5499998976,2.5499996027,2.5499985086,2.5499947430,2.5499809314,2.5499360936,2.5497949394,2.5493664521,2.5481675705,2.5449993671,2.5372942230,2.5200880916,2.4850372192,2.4198690693,2.3103782348,2.1435208789,1.9134139606
720.000000,2.5499999958,2.5499999929,2.5499999792,2.5499999295,2.5499997540,2.5499991016,2.5499968230,2.5499894253,2.5499640149,2.5498865006,2.5496573083,2.5490051069,2.5472915266,2.5430373942,2.5332911753,2.5127178633,2.4729054916,2.4021980572,2.2879039907,2.1190715623,1.8915459077
780.000000,2.5499999889,2.5499999815,2.5499999488,2.5499998353,2.5499994550,2.5499981196,2.5499937123,2.5499801646,2.5499363801,2.5498102808,2.5494583342,2.5485141611,2.5461708627,2.5406708987,2.5287237446,2.5047278063,2.4603380823,2.3845882533,2.2661893287,2.0959671777,1.8711681936
840.000000,2.5499999724,2.5499999556,2.5499998831,2.5499996424,2.5499988740,2.5499963181,2.5499883188,2.5499649560,2.5498936084,2.5496987778,2.5491831548,2.5478725084,2.5447838165,2.5378921969,2.5236191581,2.4961919264,2.4474368515,2.3671125926,2.2452152156,2.0740843354,1.8520422210
900.000000,2.5499999362,2.5499999004,2.5499997502,2.5499992714,2.5499978117,2.5499931969,2.5499794566,2.5499412049,2.5498303883,2.5495423448,2.5488165457,2.5470606704,2.5431135013,2.5347010433,2.5180102296,2.4871814475,2.4342905335,2.3498291003,2.2249587056,2.0533009889,1.8340250412
960.000000,2.5499998618,2.5499997899,2.5499994963,2.5499985967,2.5499959696,2.5499880521,2.5499655586,2.5499056910,2.5497405714,2.5493305892,2.5483433847,2.5460612225,2.5411475983,2.5311027065,2.5119314930,2.4777593982,2.4209670837,2.3327670686,2.2053714803,2.0335034141,1.8170976524
1020.000000,2.5499997167,2.5499995800,2.5499990357,2.5499974280,2.5499929204,2.5499799343,2.5499446326,2.5498545565,2.5496172584,2.5490526163,2.5477490048,2.5448589507,2.5388777851,2.5271064041,2.5054176567,2.4679821756,2.4075235111,2.3159525543,2.1864298530,2.0146301332,1.8010484939
1080.000000,2.5499994478,2.5499992004,2.5499982375,2.5499954898,2.5499880768,2.5499676086,2.5499142295,2.5497833186,2.5494529148,2.5486972802,2.5470195139,2.5434410024,2.5362994348,2.5227246021,2.4985031888,2.4578999942,2.3940050352,2.2993965963,2.1680887205,1.9965879916,1.7859934670
1140.000000,2.5499989711,2.5499985424,2.5499969091,2.5499923974,2.5499806589,2.5499495194,2.5498714238,2.5496868994,2.5492394879,2.5482533763,2.5461419223,2.5417966176,2.5334105202,2.5179708220,2.4912192515,2.4475539137,2.3804446164,2.2831042483,2.1503215063,1.9793430191,1.7717066810
1200.000000,2.5499981594,2.5499974454,2.5499947781,2.5499876309,2.5499696616,2.5499237607,2.5498128062,2.5495596728,2.5489685357,2.5477098387,2.5451043297,2.5399172203,2.5302117720,2.5128607112,2.4835975001,2.4369847153,2.3668779207,2.2670906852,2.1331130301,1.9628342947,1.7581594309
1260.000000,2.5499968267,2.5499956790,2.5499914697,2.5499805080,2.5499538249,2.5498880528,2.5497344913,2.5493955295,2.5486313688,2.5470559361,2.5438960870,2.5377964141,2.5267064148,2.5074114884,2.4756690306,2.4262303746,2.3533370820,2.2513687749,2.1164479471,1.9470131185,1.7451855436
1320.000000,2.5499947094,2.5499929233,2.5499864836,2.5499701564,2.5499316065,2.5498397300,2.5496321384,2.5491879566,2.5482191943,2.5462814415,2.5425078925,2.5354298678,2.5228997450,2.5016411892,2.4674631782,2.4153236835,2.3398449716,2.2359358778,2.1002851158,1.9318084461,1.7329133879
