z_center_m,r_center_m,temperature_C,temperature_K,moisture_kg_kg
0.001562500,0.000625000,49.99591667,323.14591667,0.1499656250
0.001562500,0.001875000,49.99591667,323.14591667,0.1496925530
0.001562500,0.003125000,49.99591667,323.14591667,0.1491432033
0.001562500,0.004375000,49.99591667,323.14591667,0.1483109454
0.001562500,0.005625000,49.99591667,323.14591667,0.1471852520
0.001562500,0.006875000,49.99591667,323.14591667,0.1457508973
0.001562500,0.008125000,49.99591667,323.14591667,0.1439866804
0.001562500,0.009375000,49.99591667,323.14591667,0.1418634128
0.001562500,0.010625000,49.99591667,323.14591667,0.1393406876
0.001562500,0.011875000,49.99591667,323.14591667,0.1363614882
0.001562500,0.013125000,49.99591667,323.14591667,0.1328426710
0.001562500,0.014375000,49.99591667,323.14591667,0.1286567802
0.001562500,0.015625000,49.99591667,323.14591667,0.1235932029
0.001562500,0.016875000,49.99591667,323.14591667,0.1172600310
0.001562500,0.018125000,49.99591667,323.14591667,0.1087526586
0.001562500,0.019375000,49.99591667,323.14591667,0.0779502932
0.004687500,0.000625000,49.99591667,323.14591667,0.1499654123
0.004687500,0.001875000,49.99591667,323.14591667,0.1496923413
0.004687500,0.003125000,49.99591667,323.14591667,0.1491429935
0.004687500,0.004375000,49.99591667,323.14591667,0.1483107384
0.004687500,0.005625000,49.99591667,323.14591667,0.1471850487
0.004687500,0.006875000,49.99591667,323.14591667,0.1457506988
0.004687500,0.008125000,49.99591667,323.14591667,0.1439864874
0.004687500,0.009375000,49.99591667,323.14591667,0.1418632265
0.004687500,0.010625000,49.99591667,323.14591667,0.1393405088
0.004687500,0.011875000,49.99591667,323.14591667,0.1363613179
0.004687500,0.013125000,49.99591667,323.14591667,0.1328425103
0.004687500,0.014375000,49.99591667,323.14591667,0.1286566301
0.004687500,0.015625000,49.99591667,323.14591667,0.1235930649
0.004687500,0.016875000,49.99591667,323.14591667,0.1172599067
0.004687500,0.018125000,49.99591667,323.14591667,0.1087525507
0.004687500,0.019375000,49.99591667,323.14591667,0.0779502385
0.007812500,0.000625000,49.99591667,323.14591667,0.1499649717
