时间/h（z=0中截面）,0 cm,0.5 cm,1 cm,1.5 cm,2 cm
6,1.019141,0.989797,0.902988,0.756046,0.534202
12,0.457345,0.444105,0.403830,0.329924,0.165535
18,0.299554,0.292149,0.269314,0.225909,0.084412
24,0.238626,0.233536,0.217700,0.187016,0.066184
30,0.206858,0.202884,0.190446,0.166030,0.059642
36,0.187064,0.183735,0.173270,0.152530,0.056526
42,0.173346,0.170437,0.161262,0.142942,0.054779
48,0.163160,0.160547,0.152283,0.135685,0.053689
54,0.155225,0.152832,0.145251,0.129946,0.052959
烘干结束时间,0.150000,0.147748,0.140602,0.126125,0.052531
