time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0001,28.0002,28.0004,28.0008,28.0014,28.0027,28.0049,28.0085,28.0145,28.0237,28.0378,28.0584
120,28.0001,28.0001,28.0001,28.0002,28.0003,28.0004,28.0007,28.0011,28.0017,28.0028,28.0043,28.0067,28.0101,28.0152,28.0226,28.0330,28.0475,28.0674,28.0942,28.1300,28.1771
180,28.0013,28.0013,28.0016,28.0020,28.0027,28.0037,28.0051,28.0071,28.0100,28.0140,28.0194,28.0268,28.0367,28.0498,28.0668,28.0888,28.1169,28.1522,28.1962,28.2502,28.3162
240,28.0065,28.0068,28.0075,28.0089,28.0109,28.0137,28.0175,28.0227,28.0294,28.0381,28.0492,28.0634,28.0811,28.1033,28.1305,28.1638,28.2040,28.2520,28.3090,28.3759,28.4542
300,28.0195,28.0200,28.0216,28.0243,28.0282,28.0336,28.0407,28.0498,28.0612,28.0755,28.0930,28.1144,28.1404,28.1717,28.2094,28.2544,28.3081,28.3720,28.4479,28.5382,28.6457
360,28.0428,28.0436,28.0462,28.0505,28.0567,28.0651,28.0760,28.0896,28.1065,28.1271,28.1520,28.1820,28.2178,28.2604,28.3108,28.3700,28.4393,28.5199,28.6130,28.7203,28.8433
420,28.0781,28.0793,28.0830,28.0892,28.0981,28.1100,28.1252,28.1441,28.1671,28.1949,28.2280,28.2671,28.3131,28.3668,28.4291,28.5012,28.5840,28.6788,28.7871,28.9103,29.0503
480,28.1272,28.1288,28.1337,28.1420,28.1539,28.1695,28.1894,28.2138,28.2432,28.2782,28.3195,28.3676,28.4234,28.4876,28.5610,28.6446,28.7391,28.8455,28.9645,29.0972,29.2448
540,28.1909,28.1930,28.1991,28.2095,28.2243,28.2438,28.2682,28.2980,28.3336,28.3756,28.4244,28.4807,28.5452,28.6186,28.7018,28.7956,28.9010,29.0193,29.1519,29.3005,29.4673
600,28.2690,28.2715,28.2789,28.2913,28.3089,28.3319,28.3608,28.3957,28.4371,28.4856,28.5418,28.6062,28.6796,28.7627,28.8564,28.9616,29.0794,29.2107,29.3569,29.5194,29.6999
