time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999993,2.54998773,2.54911000,2.52469869,2.29420796
120,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999944,2.54997768,2.54943031,2.54149340,2.47643861,2.18069187
180,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999937,2.54998536,2.54976035,2.54719563,2.52765129,2.42838256,2.09343058
240,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999959,2.54999304,2.54990806,2.54908159,2.54298960,2.51034889,2.38297265,2.02061881
300,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999978,2.54999705,2.54996670,2.54969396,2.54777147,2.53704557,2.49118229,2.34029293,1.95776780
360,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999990,2.54999882,2.54998809,2.54989843,2.54927525,2.54576971,2.52967890,2.47098578,2.30008669,1.90233853
420,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999955,2.54999576,2.54996591,2.54976366,2.54860251,2.54308087,2.52117152,2.45025608,2.26214910,1.85264057
480,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999983,2.54999852,2.54998846,2.54992196,2.54953922,2.54764488,2.53974119,2.51175373,2.42929967,2.22625648,1.80752331
540,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999994,2.54999948,2.54999612,2.54997399,2.54984695,2.54920531,2.54638629,2.53580077,2.50161231,2.40831811,2.19220719,1.76632886
600,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999982,2.54999868,2.54999136,2.54994887,2.54973158,2.54874598,2.54482070,2.53131082,2.49088685,2.38741756,2.15979679,1.72854243
