time_s,radius_cm,oven_temperature_C,oven_temperature_K,oven_moisture_kg_kg,surface_temperature_C,surface_temperature_K,surface_moisture_kg_kg,surface_dry_bulk_density_kg_m3,water_mass_flux_kg_m2_s,latent_heat_J_kg,latent_heat_flux_W_m2,convective_heat_flux_W_m2,conductive_heat_flux_W_m2,surface_energy_residual_W_m2
60,1.995766667,28.528,301.678,0.02002,17.83195936,290.9819594,1.993870216,313.790596,0.0004955005085,2458716.576,1218.295314,267.401016,-950.8942976,-1.183861968e-07
120,1.991533333,29.192,302.342,0.02053,15.02941777,288.1794178,1.77958535,331.043147,0.000465858575,2465330.574,1148.495388,354.0645559,-794.4308322,5.131937542e-08
180,1.9873,29.684,302.834,0.021,13.36783997,286.51784,1.630237034,344.7298937,0.0004438016892,2469251.898,1095.858163,407.9040007,-687.9541627,2.400565791e-08
240,1.983066667,30.037,303.187,0.02151,12.24096932,285.3909693,1.515639845,356.3338321,0.0004259272105,2471911.312,1052.85429,444.900767,-607.9535231,1.755784069e-07
300,1.978833333,30.834,303.984,0.02191,11.50047379,284.6504738,1.424013683,366.40108,0.0004109858431,2473658.882,1016.638781,483.3381554,-533.3006256,-4.607034043e-08
360,1.9746,31.293,304.443,0.02233,10.97084156,284.1208416,1.348568292,375.2801863,0.0003981687627,2474908.814,985.4313803,508.053961,-477.3774191,-1.228775091e-07
420,1.970366667,31.82,304.97,0.02278,10.59671499,283.746715,1.284982236,383.2189098,0.0003869598118,2475791.753,958.0319106,530.5821252,-427.4497854,-8.652136785e-09
480,1.966133333,32.121,305.271,0.02325,10.30973194,283.4597319,1.230381342,390.397061,0.0003770084225,2476469.033,933.6496834,545.2817015,-388.3679818,-1.8013111e-08
540,1.9619,32.73,305.88,0.02377,10.13827522,283.2882752,1.183159659,396.894641,0.0003681244342,2476873.67,911.7977184,564.7931195,-347.0045989,-2.799072263e-08
600,1.957666667,33.202,306.352,0.02428,10.03619102,283.186191,1.141999931,402.7917934,0.0003601667326,2477114.589,892.1742678,579.1452245,-313.0290433,5.19837613e-08
660,1.953433333,33.879,307.029,0.02465,10.01588044,283.1658804,1.105903609,408.1532133,0.0003530537078,2477162.522,874.5714134,596.577989,-277.9934244,5.305400919e-08
720,1.9492,34.268,307.418,0.02506,10.01646107,283.1664611,1.07384456,413.0714649,0.0003465783797,2477161.152,858.5304984,606.2884733,-252.2420251,3.577986263e-08
780,1.944966667,34.806,307.956,0.02552,10.05944081,283.2094408,1.045166092,417.6017544,0.0003406447977,2477059.72,843.797507,618.6639798,-225.1335273,4.855166935e-08
840,1.940733333,35.142,308.292,0.02612,10.11059283,283.2605928,1.019315625,421.7955806,0.0003351404201,2476939.001,830.1223772,625.7851793,-204.3371981,1.010640744e-07
900,1.9365,35.524,308.674,0.0266,10.17828028,283.3282803,0.9957872501,425.7071251,0.0003300719343,2476779.259,817.5153207,633.6429929,-183.8723278,-1.723117293e-08
960,1.932266667,36.091,309.241,0.02687,10.29133676,283.4413368,0.9745047999,429.3255869,0.0003254750933,2476512.445,806.0431192,644.991581,-161.0515382,4.650178198e-08
1020,1.928033333,36.354,309.504,0.02732,10.39220847,283.5422085,0.9550180809,432.7078279,0.0003211377772,2476274.388,795.2252528,649.0447883,-146.1804645,-5.381173196e-08
1080,1.9238,37.067,310.217,0.02793,10.5572301,283.7072301,0.9374365249,435.8177811,0.0003171032924,2475884.937,785.1112652,662.7442475,-122.3670177,2.139063326e-08
1140,1.919566667,37.419,310.569,0.02826,10.71343659,283.8634366,0.9213834176,438.7070794,0.0003134556529,2475516.29,775.9645748,667.6390853,-108.3254895,2.270655841e-08
1200,1.915333333,37.882,311.032,0.02891,10.88204679,284.0320468,0.9066034127,441.4102595,0.0003099383017,2475118.37,767.1339838,674.9988302,-92.13515371,3.975458185e-08
1260,1.9111,38.134,311.284,0.02921,11.03223911,284.1822391,0.8927836984,443.9759987,0.0003067247962,2474763.916,759.0714576,677.5440223,-81.52743528,-7.722064765e-08
1320,1.906866667,38.767,311.917,0.02961,11.23262559,284.3826256,0.8801308957,446.3581671,0.0003037095585,2474291.004,751.4658283,688.3593602,-63.10646818,6.285324616e-08
1380,1.902633333,39.125,312.275,0.03029,11.42849437,284.5784944,0.8685777496,448.5614782,0.0003008188737,2473828.753,744.1743793,692.4126408,-51.7617384,-7.158678272e-08
1440,1.8984,39.458,312.608,0.03051,11.61429533,284.7642953,0.857672674,450.6663377,0.0002982194984,2473390.263,737.6132036,696.0926168,-41.52058674,-3.248828762e-09
1500,1.894166667,39.595,312.745,0.03098,11.77082524,284.9208252,0.8472618981,452.6989766,0.0002956239839,2473020.852,731.0842767,695.604369,-35.47990759,-9.670998224e-08
