case,description,temperature_c,moisture_kg_kg,switch_time_s,drying_time_s,drying_time_h,controlling_radius_cm,delta_vs_baseline_min
baseline_mean_3_4h,原模型：3--4 h时间加权均值，4 h后切换恒值边界,49.99591666666667,0.04999041666666666,14400.0,207120.0,57.53333333333333,0.0,0.0
robust_asymptote,留出检验选窗的Huber鲁棒一阶渐近拟合，4 h后切换,50.01928769476832,0.0500143682903951,14400.0,206968.0,57.49111111111111,0.0,-2.533333333333333
tail30_mean_switch_100min,补充清洗记录口径：末30 min均值，100 min后切换恒值边界,50.01325806451613,0.04998870967741936,6000.0,207000.0,57.5,0.0,-2.0
switch_100min_only,仅提前恒值边界切换时刻，恒值仍取原模型均值,49.99591666666667,0.04999041666666666,6000.0,207116.0,57.532222222222224,0.0,-0.06666666666666667
temperature_minus,,49.49591666666667,0.04999041666666666,14400.0,210446.0,58.45722222222222,0.0,55.43333333333333
temperature_plus,,50.49591666666667,0.04999041666666666,14400.0,203870.0,56.63055555555555,0.0,-54.166666666666664
moisture_minus,,49.99591666666667,0.04899041666666666,14400.0,207050.0,57.513888888888886,0.0,-1.1666666666666667
moisture_plus,,49.99591666666667,0.05099041666666666,14400.0,207194.0,57.55388888888889,0.0,1.2333333333333334
fit_ci_fast_corner,拟合95%区间中较快干燥的边界角点,50.053807126574085,0.049966396568973614,14400.0,206738.0,57.42722222222222,0.0,-6.366666666666666
fit_ci_slow_corner,拟合95%区间中较慢干燥的边界角点,49.98082052915262,0.05007568322272401,14400.0,207226.0,57.562777777777775,0.0,1.7666666666666666
