time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
120,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549988,2.549958,2.549816,2.549242,2.547168,2.541046,2.521160,2.442510,2.214849
180,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549987,2.549959,2.549867,2.549477,2.548096,2.543756,2.532386,2.499686,2.396864,2.164271
240,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549997,2.549989,2.549964,2.549894,2.549679,2.548860,2.546259,2.538949,2.521505,2.476193,2.355367,2.119980
300,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549993,2.549975,2.549919,2.549774,2.549352,2.547888,2.543656,2.532816,2.508844,2.451725,2.317359,2.081059
360,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549995,2.549984,2.549947,2.549840,2.549575,2.548842,2.546498,2.540258,2.525476,2.494813,2.426965,2.282313,2.046078
420,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549990,2.549967,2.549899,2.549713,2.549271,2.548105,2.544644,2.536066,2.517067,2.479758,2.402325,2.249815,2.014445
480,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549997,2.549993,2.549980,2.549940,2.549824,2.549523,2.548837,2.547106,2.542297,2.531110,2.507736,2.463973,2.378074,2.219519,1.985400
540,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549995,2.549987,2.549965,2.549896,2.549711,2.549253,2.548246,2.545811,2.539440,2.525429,2.497615,2.447677,2.354338,2.191165,1.958877
600,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549990,2.549977,2.549940,2.549832,2.549551,2.548887,2.547476,2.544195,2.536069,2.519074,2.486828,2.431049,2.331205,2.164527,1.934341
660,2.550000,2.550000,2.550000,2.549999,2.549998,2.549994,2.549984,2.549961,2.549904,2.549739,2.549333,2.548406,2.546504,2.542237,2.532186,2.512095,2.475480,2.414220,2.308703,2.139429,1.911720
