time_s,time_h,z_m,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,0.01666667,0.000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.005,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.010,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.015,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.020,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.025,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.030,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.035,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.040,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
60,0.01666667,0.045,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549992,2.549962,2.549817,2.549194,2.547028,2.538867,2.493177,2.273736
