time_s,time_h,oven_temperature_c,oven_moisture_kg_kg
14400,4.000000,50.16500000,0.0498600000
14460,4.016667,50.20677471,0.0500348930
14520,4.033333,50.17675322,0.0502861659
14580,4.050000,50.07629571,0.0499100178
14640,4.066667,50.09693941,0.0501076158
14700,4.083333,49.81619111,0.0500786441
14760,4.100000,50.08525267,0.0500154953
14820,4.116667,50.04968997,0.0499607292
14880,4.133333,50.00062723,0.0500262793
14940,4.150000,49.83129384,0.0501564617
15000,4.166667,49.97172508,0.0498827028
15060,4.183333,49.86883216,0.0502043778
15120,4.200000,50.05782179,0.0497740906
15180,4.216667,49.91760656,0.0498057689
15240,4.233333,49.85232203,0.0500582142
15300,4.250000,50.13279327,0.0501182856
15360,4.266667,49.96755571,0.0499611800
15420,4.283333,49.84071511,0.0500944763
15480,4.300000,49.77855862,0.0500264280
15540,4.316667,50.06149903,0.0497387785
15600,4.333333,50.22788523,0.0497097202
15660,4.350000,50.04603465,0.0500594456
15720,4.366667,50.01041561,0.0499653490
15780,4.383333,50.09878532,0.0497584019
15840,4.400000,50.08102476,0.0499613444
15900,4.416667,50.07721564,0.0503189176
15960,4.433333,49.74391613,0.0497221960
16020,4.450000,50.27401839,0.0497987438
16080,4.466667,50.27526356,0.0497332433
16140,4.483333,50.34484282,0.0504421339
16200,4.500000,49.94795137,0.0502285897
16260,4.516667,50.03270243,0.0498967961
16320,4.533333,49.92310716,0.0498322402
16380,4.550000,50.03559460,0.0498323445
16440,4.566667,50.19866928,0.0499899050
16500,4.583333,49.80090309,0.0498438738
16560,4.600000,50.19054984,0.0501078065
16620,4.616667,50.07913480,0.0500811529
16680,4.633333,50.02011274,0.0502644598
16740,4.650000,49.93197424,0.0500417844
16800,4.666667,50.27614018,0.0496572316
16860,4.683333,50.10353193,0.0498738756
16920,4.700000,49.98857644,0.0499491200
16980,4.716667,49.78821760,0.0500719903
17040,4.733333,49.93240147,0.0497838258
17100,4.750000,49.72060494,0.0500860350
17160,4.766667,50.25104104,0.0498963224
17220,4.783333,49.79316553,0.0503074116
17280,4.800000,49.99463323,0.0500065586
17340,4.816667,49.98383699,0.0499633891
17400,4.833333,50.12752540,0.0495636174
17460,4.850000,49.74460565,0.0499506497
17520,4.866667,50.17656668,0.0499841913
17580,4.883333,49.43756109,0.0501549808
17640,4.900000,49.48280180,0.0497633720
17700,4.916667,49.94397829,0.0498039907
17760,4.933333,49.94009060,0.0497518130
17820,4.950000,50.03118165,0.0500291681
17880,4.966667,49.79713567,0.0500496919
17940,4.983333,49.99077883,0.0497539211
18000,5.000000,49.78102528,0.0500413488
18060,5.016667,50.13948718,0.0500424018
18120,5.033333,50.25148446,0.0502410453
18180,5.050000,49.97085786,0.0500333910
18240,5.066667,50.14291599,0.0499124017
18300,5.083333,50.17737043,0.0498838869
18360,5.100000,50.01822082,0.0500272196
18420,5.116667,50.03044580,0.0499600422
18480,5.133333,50.05124723,0.0500740249
18540,5.150000,50.30357145,0.0497722319
18600,5.166667,49.84601880,0.0498833225
18660,5.183333,50.01613691,0.0499479146
18720,5.200000,50.30611466,0.0495503952
18780,5.216667,49.98022014,0.0501633145
18840,5.233333,50.20509067,0.0496165764
18900,5.250000,49.97538996,0.0497995357
18960,5.266667,49.74389789,0.0498900921
19020,5.283333,49.85928939,0.0499374572
19080,5.300000,50.33891523,0.0499691723
19140,5.316667,49.94361596,0.0498807700
19200,5.333333,50.02374989,0.0499009937
19260,5.350000,49.79035613,0.0499711646
19320,5.366667,49.70794105,0.0501933461
19380,5.383333,49.66856135,0.0503082632
19440,5.400000,50.39171700,0.0499761739
19500,5.416667,50.18803952,0.0501582797
19560,5.433333,49.88299959,0.0500054429
19620,5.450000,49.81563118,0.0497908346
