time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
60,1.99576667,301.150000,301.150000,301.150000,301.149999,301.149996,301.149983,301.149934,301.149760,301.149173,301.147317,301.141841,301.126817,301.088554,300.998653,300.804005,300.416736,299.709305,298.524876,296.708155,294.152550,,290.981959
120,1.99153333,301.149681,301.149592,301.149266,301.148480,301.146737,301.143004,301.135277,301.119779,301.089886,301.034312,300.935264,300.765852,300.488338,300.053142,299.400074,298.463015,297.177937,295.493303,293.382268,290.853947,,288.179418
180,1.98730000,301.138612,301.137089,301.132087,301.122120,301.104462,301.074611,301.025664,300.947481,300.825787,300.641465,300.369924,299.980842,299.439667,298.708384,297.749653,296.530208,295.025390,293.225052,291.136811,288.788469,,286.517840
240,1.98306667,301.073252,301.067243,301.048349,301.013591,300.957951,300.873933,300.751225,300.576522,300.333092,300.001348,299.558390,298.979993,298.240776,297.317313,296.189446,294.842943,293.272907,291.484692,289.496361,287.336633,,285.390969
300,1.97883333,300.898588,300.885666,300.845862,300.775484,300.668578,300.516713,300.308869,300.031956,299.670594,299.208042,298.626472,297.908481,297.037826,296.001319,294.789949,293.401232,291.839739,290.119234,288.262798,286.299626,,284.650474
360,1.97460000,300.585015,300.564487,300.501958,300.393821,300.234392,300.015930,299.728517,299.361149,298.901423,298.336508,297.653967,296.842451,295.893017,294.799656,293.561229,292.181395,290.670148,289.043593,287.324203,285.534785,,284.120842
420,1.97036667,300.133022,300.105536,300.022354,299.880435,299.675013,299.399806,299.046994,298.608195,298.074451,297.436809,296.687633,295.820416,294.831386,293.719851,292.488698,291.145405,289.701971,288.175386,286.587140,284.955736,,283.746715
480,1.96613333,299.561867,299.528736,299.428887,299.260034,299.018543,298.699802,298.298375,297.808399,297.224122,296.540107,295.752337,294.858388,293.858002,292.753851,291.551660,290.260630,288.893532,287.466558,285.998685,284.502091,,283.459732
540,1.96190000,298.898539,298.861265,298.749235,298.560934,298.293823,297.944871,297.510870,296.988151,296.373593,295.664878,294.860596,293.961310,292.969386,291.889458,290.729064,289.498421,288.210821,286.882563,285.532458,284.170781,,283.288275
600,1.95766667,298.170722,298.130723,298.010719,297.809859,297.526599,297.159324,296.706588,296.166578,295.538305,294.821801,294.017948,293.129291,292.160154,291.116998,290.008389,288.845476,287.641644,286.412557,285.175110,283.934895,,283.186191
660,1.95343333,297.403249,297.361743,297.237366,297.029807,296.738381,296.362635,295.902411,295.357582,294.728888,294.017976,293.227598,292.361769,291.426226,290.428562,289.378213,288.286599,287.167255,286.035685,284.908310,283.789002,,283.165880
720,1.94920000,296.616899,296.574879,296.449075,296.239607,295.946485,295.570180,295.111534,294.571760,293.952934,293.257926,292.490825,291.656907,290.762986,289.817324,288.829866,287.812108,286.776957,285.738493,284.710330,283.691072,,283.166461
780,1.94496667,295.828443,295.786703,295.661813,295.454236,295.164532,294.793892,294.343911,293.816849,293.215790,292.544491,291.807966,291.012401,290.165083,289.274638,288.350967,287.405244,286.449865,285.498241,284.563152,283.641797,,283.209441
840,1.94073333,295.051097,295.010253,294.888097,294.685358,294.403012,294.042790,293.606828,293.098162,292.520491,291.878364,291.177360,290.424117,289.626253,288.792558,287.932851,287.057908,286.179315,285.309146,284.457860,283.618829,,283.260593
900,1.93650000,294.294973,294.255485,294.137425,293.941711,293.669627,293.323289,292.905199,292.418944,291.868609,291.259284,290.596902,289.888196,289.140982,288.363866,287.566293,286.758474,285.951238,285.155763,284.381334,283.619798,,283.328280
960,1.93226667,293.567478,293.529676,293.416681,293.229543,292.969761,292.639705,292.242097,291.780886,291.260361,290.685930,290.063613,289.400270,288.703622,287.982136,287.245050,286.502337,285.764679,285.043262,284.347439,283.669494,,283.441337
1020,1.92803333,292.873755,292.837860,292.730574,292.553033,292.306875,291.994552,291.619106,291.184446,290.695193,290.156779,289.575298,288.957718,288.311670,287.645529,286.968298,286.289486,285.618918,284.966248,284.338229,283.723402,,283.542208
1080,1.92380000,292.217111,292.183256,292.082077,291.914761,291.683029,291.389359,291.036997,290.629813,290.172629,289.670769,289.130364,288.558270,287.961909,287.349386,286.729390,286.111233,285.504900,284.920872,284.367664,283.837664,,283.707230
1140,1.91956667,291.599538,291.567802,291.472960,291.316224,291.099359,290.824825,290.495952,290.116642,289.691669,289.226334,288.726800,288.199764,287.652710,287.093671,286.531264,285.974567,285.432919,284.915371,284.427788,283.959037,,283.863437
1200,1.91533333,291.022092,290.992509,290.904107,290.758105,290.556287,290.301076,289.995851,289.644518,289.251767,288.822922,288.364006,287.881624,287.382976,286.875752,286.368096,285.868495,285.385688,284.928221,284.501781,284.096406,,284.032047
1260,1.91110000,290.485197,290.457780,290.375850,290.240624,290.053890,289.818015,289.536382,289.212857,288.851991,288.459048,288.039832,287.600764,287.148712,286.691023,286.235329,285.789453,285.361179,284.957620,284.582485,284.223792,,284.182239
1320,1.90686667,289.988870,289.963602,289.888111,289.763587,289.591780,289.375037,289.116647,288.820404,288.490674,288.132583,287.751652,287.353998,286.946134,286.534953,286.127711,285.732008,285.355824,285.007179,284.691822,284.402748,,284.382626
1380,1.90263333,289.532654,289.509488,289.440328,289.326296,289.169075,288.971027,288.735247,288.465419,288.165784,287.841215,287.497117,287.139361,286.774320,286.408758,286.049798,285.704847,285.381354,285.086264,284.823574,284.584874,,284.578494
1440,1.89840000,289.115616,289.094495,289.031485,288.927642,288.784580,288.604652,288.390783,288.146532,287.876067,287.584040,287.275687,286.956654,286.632990,286.311082,285.997541,285.699083,285.422390,285.173474,284.955630,,,284.764295
1500,1.89416667,288.736594,288.717456,288.660407,288.566441,288.437105,288.274729,288.082071,287.862551,287.620202,287.359461,287.085267,286.802946,286.518135,286.236692,285.964555,285.707610,285.471399,285.260527,285.076663,,,284.920825
1560,1.88993333,288.394382,288.377161,288.325866,288.241431,288.125325,287.979803,287.807477,287.611619,287.395994,287.164790,286.922575,286.674264,286.425014,286.180164,285.945201,285.725740,285.527533,285.356107,285.215373,,,285.113036
1620,1.88570000,288.087563,288.072176,288.026377,287.951012,287.847521,287.717989,287.564900,287.391327,287.200770,286.997168,286.784814,286.568344,286.352663,286.142877,285.944235,285.761989,285.601175,285.466080,285.358803,,,285.286251
1680,1.88146667,287.814370,287.800715,287.760106,287.693307,287.601716,287.487255,287.352287,287.199700,287.032765,286.855189,286.671011,286.484548,286.300348,286.123142,285.957776,285.809209,285.682438,285.582211,285.512184,,,285.478176
1740,1.87723333,287.572894,287.560873,287.525147,287.466430,287.386049,287.285785,287.167876,287.035021,286.890295,286.737175,286.579471,286.421280,286.266979,286.121206,285.988891,285.875251,285.785844,285.726349,285.702296,,,285.712026
1800,1.87300000,287.361293,287.350811,287.319678,287.268576,287.198753,287.111870,287.010061,286.895867,286.772241,286.642519,286.510388,286.379882,286.255352,286.141431,286.043003,285.965127,285.912881,285.891110,285.904400,,,285.940373
1860,1.87036667,287.178021,287.169011,287.142275,287.098467,287.038770,286.964761,286.878484,286.782373,286.679275,286.572403,286.465313,286.361880,286.266251,286.182819,286.116146,286.070966,286.052067,286.064278,286.113032,,,286.175144
1920,1.86773333,287.021818,287.014216,286.991683,286.954854,286.904858,286.843202,286.771850,286.693128,286.609768,286.524834,286.441715,286.364068,286.295768,286.240818,286.203219,286.186761,286.194819,286.230177,286.295679,,,286.361348
1980,1.86510000,286.891556,286.885304,286.866805,286.836669,286.795972,286.746147,286.689062,286.626913,286.562261,286.497946,286.437055,286.382856,286.338727,286.308096,286.294380,286.300969,286.331282,286.388997,286.479391,,,286.562407
2040,1.86246667,286.786111,286.781144,286.766479,286.742693,286.710791,286.672109,286.628377,286.581628,286.534203,286.488697,286.447921,286.414871,286.392686,286.384618,286.394014,286.424336,286.479146,286.562482,286.680542,,,286.779460
2100,1.85983333,286.704053,286.700285,286.689194,286.671319,286.647582,286.619221,286.587830,286.555294,286.523774,286.495690,286.473664,286.460520,286.459221,286.472819,286.504413,286.557026,286.633624,286.737403,286.873713,,,286.977912
2160,1.85720000,286.643707,286.641050,286.633271,286.620872,286.604705,286.585924,286.566002,286.546691,286.529999,286.518163,286.513599,286.518889,286.536703,286.569784,286.620882,286.692759,286.788279,286.910938,287.067298,,,287.179801
2220,1.85456667,286.603506,286.601882,286.597180,286.589870,286.580734,286.570846,286.561565,286.554500,286.551508,286.554635,286.566124,286.588351,286.623837,286.675234,286.745332,286.837174,286.954196,287.101087,287.286716,,,287.413694
2280,1.85193333,286.582003,286.581336,286.579485,286.576888,286.574265,286.572612,286.573190,286.577496,286.587273,286.604453,286.631197,286.669809,286.722774,286.792690,286.882232,286.994041,287.130862,287.296093,287.497045,,,287.623754
2340,1.84930000,286.577838,286.578062,286.578866,286.580663,286.584126,286.590193,286.600052,286.615117,286.637032,286.667625,286.708913,286.763043,286.832303,286.919090,287.025939,287.155603,287.311391,287.498253,287.726659,,,287.864350
2400,1.84666667,286.589912,286.590975,286.594281,286.600220,286.609428,286.622785,286.641410,286.666636,286.700013,286.743283,286.798368,286.867360,286.952508,287.056148,287.180665,287.328480,287.502146,287.705282,287.946660,,,288.080963
2460,1.84403333,286.617311,286.619166,286.624838,286.634695,286.649340,286.669608,286.696557,286.731456,286.775767,286.831140,286.899356,286.982372,287.082198,287.200966,287.340926,287.504547,287.694954,287.917236,288.183287,,,288.323960
2520,1.84140000,286.659229,286.661837,286.669755,286.683331,286.703137,286.729958,286.764788,286.808829,286.863449,286.930219,287.010837,287.107176,287.221207,287.355008,287.510733,287.690549,287.896974,288.134055,288.412425,,,288.548357
2580,1.83876667,286.714916,286.718237,286.728280,286.745376,286.770071,286.803102,286.845407,286.898133,286.962560,287.040172,287.132539,287.241329,287.368255,287.515019,287.683182,287.874215,288.089780,288.333028,288.613881,,,288.740603
