中心含水率水平kg/kg,常规模型达到时刻h,潜热模型达到时刻h,滞后h
2.500000,1.139035,2.059781,0.920746
2.450106,1.320659,2.345516,1.024857
2.400213,1.462929,2.566843,1.103914
2.350319,1.588843,2.760277,1.171435
2.300426,1.706885,2.938633,1.231748
2.250532,1.820874,3.108068,1.287194
2.200638,1.933022,3.272098,1.339076
2.150745,2.045395,3.433171,1.387776
2.100851,2.158559,3.592856,1.434297
2.050957,2.274044,3.752219,1.478175
2.001064,2.392229,3.912119,1.519890
1.951170,2.513553,4.073331,1.559777
1.901277,2.638778,4.236574,1.597796
1.851383,2.768273,4.402406,1.634133
1.801489,2.902215,4.571361,1.669146
1.751596,3.041255,4.743951,1.702696
1.701702,3.185708,4.920686,1.734979
1.651809,3.336085,5.102087,1.766002
1.601915,3.492901,5.288692,1.795791
1.552021,3.656390,5.481059,1.824669
1.502128,3.826987,5.679800,1.852813
1.452234,4.005311,5.885563,1.880251
1.402340,4.191704,6.099068,1.907364
1.352447,4.387116,6.321118,1.934002
1.302553,4.591862,6.552595,1.960733
1.252660,4.807195,6.794521,1.987326
1.202766,5.033972,7.048042,2.014071
1.152872,5.273665,7.314504,2.040839
1.102979,5.527194,7.595463,2.068268
1.053085,5.796194,7.892751,2.096557
1.003191,6.083384,8.208556,2.125172
0.953298,6.391039,8.545518,2.154478
0.903404,6.721498,8.906863,2.185365
0.853511,7.079465,9.296586,2.217121
0.803617,7.469025,9.719732,2.250707
0.753723,7.897163,10.182775,2.285612
0.703830,8.371277,10.694237,2.322961
0.653936,8.902931,11.265568,2.362636
0.604043,9.507147,11.912722,2.405575
0.554149,10.206834,12.658667,2.451832
0.504255,11.036013,13.538047,2.502034
0.454362,12.048715,14.606093,2.557379
0.404468,13.337730,15.957122,2.619391
0.354574,15.080230,17.766579,2.686349
0.304681,17.634397,20.397003,2.762606
0.254787,21.852128,24.707035,2.854908
0.204894,30.251064,33.192057,2.940993
0.155000,53.050000,56.123828,3.073828
