表5行,半径cm,常规模型C,潜热模型C,差值ΔC,相对偏差%
6,0.0000,1.0174,1.4253,0.4079,40.0924
6,0.5000,0.9885,1.3705,0.3820,38.6444
6,1.0000,0.9019,1.2100,0.3081,34.1612
6,1.5000,0.7553,0.9516,0.1963,25.9897
6,2.0000,0.5330,0.5850,0.0520,9.7561
12,0.0000,0.4565,0.5978,0.1413,30.9529
12,0.5000,0.4435,0.5789,0.1354,30.5299
12,1.0000,0.4034,0.5215,0.1181,29.2762
12,1.5000,0.3300,0.4202,0.0902,27.3333
12,2.0000,0.1644,0.2256,0.0612,37.2263
18,0.0000,0.2991,0.3492,0.0501,16.7503
18,0.5000,0.2918,0.3400,0.0482,16.5182
18,1.0000,0.2689,0.3111,0.0422,15.6936
18,1.5000,0.2254,0.2573,0.0319,14.1526
18,2.0000,0.0845,0.1022,0.0177,20.9467
24,0.0000,0.2379,0.2612,0.0233,9.7940
24,0.5000,0.2329,0.2553,0.0224,9.6179
24,1.0000,0.2168,0.2367,0.0199,9.1790
24,1.5000,0.1856,0.2009,0.0153,8.2435
24,2.0000,0.0665,0.0721,0.0056,8.4211
30,0.0000,0.2059,0.2193,0.0134,6.5080
30,0.5000,0.2019,0.2149,0.0130,6.4388
30,1.0000,0.1892,0.2008,0.0116,6.1311
30,1.5000,0.1641,0.1732,0.0091,5.5454
30,2.0000,0.0598,0.0623,0.0025,4.1806
36,0.0000,0.1859,0.1948,0.0089,4.7875
36,0.5000,0.1826,0.1912,0.0086,4.7097
36,1.0000,0.1719,0.1796,0.0077,4.4793
36,1.5000,0.1504,0.1565,0.0061,4.0559
36,2.0000,0.0566,0.0579,0.0013,2.2968
42,0.0000,0.1721,0.1784,0.0063,3.6607
42,0.5000,0.1692,0.1753,0.0061,3.6052
42,1.0000,0.1598,0.1653,0.0055,3.4418
42,1.5000,0.1407,0.1452,0.0045,3.1983
42,2.0000,0.0548,0.0556,0.0008,1.4599
48,0.0000,0.1619,0.1667,0.0048,2.9648
48,0.5000,0.1592,0.1639,0.0047,2.9523
48,1.0000,0.1507,0.1550,0.0043,2.8534
48,1.5000,0.1335,0.1369,0.0034,2.5468
48,2.0000,0.0537,0.0542,0.0005,0.9311
54,0.0000,0.1539,0.1577,0.0038,2.4691
54,0.5000,0.1515,0.1552,0.0037,2.4422
54,1.0000,0.1437,0.1470,0.0033,2.2965
54,1.5000,0.1277,0.1305,0.0028,2.1926
54,2.0000,0.0530,0.0533,0.0003,0.5660
烘干结束时间,0.0000,0.1500,0.1500,0.0000,0.0000
烘干结束时间,0.5000,0.1477,0.1477,0.0000,0.0000
烘干结束时间,1.0000,0.1402,0.1402,0.0000,0.0000
烘干结束时间,1.5000,0.1249,0.1249,0.0000,0.0000
烘干结束时间,2.0000,0.0526,0.0526,0.0000,0.0000
60,0.0000,,0.1506,,
60,0.5000,,0.1483,,
60,1.0000,,0.1407,,
60,1.5000,,0.1253,,
60,2.0000,,0.0527,,
