time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
60,2.000000,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1501,301.1503,301.1508,301.1520,301.1547,301.1603,301.1712,301.1910,301.2252,301.2252
120,2.000000,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1501,301.1502,301.1504,301.1508,301.1517,301.1533,301.1561,301.1612,301.1698,301.1841,301.2070,301.2424,301.2957,301.3745,301.3745
180,2.000000,301.1500,301.1500,301.1501,301.1501,301.1502,301.1503,301.1506,301.1511,301.1520,301.1534,301.1558,301.1598,301.1660,301.1758,301.1906,301.2125,301.2443,301.2891,301.3509,301.4339,301.5447,301.5447
240,2.000000,301.1504,301.1505,301.1506,301.1509,301.1513,301.1521,301.1533,301.1552,301.1581,301.1625,301.1690,301.1787,301.1925,301.2121,301.2393,301.2764,301.3258,301.3904,301.4733,301.5777,301.7092,301.7092
300,2.000000,301.1521,301.1522,301.1527,301.1535,301.1549,301.1570,301.1600,301.1645,301.1709,301.1799,301.1923,301.2094,301.2324,301.2631,301.3035,301.3559,301.4234,301.5098,301.6197,301.7593,301.9397,301.9397
360,2.000000,301.1564,301.1568,301.1578,301.1597,301.1626,301.1667,301.1726,301.1808,301.1918,301.2067,301.2264,301.2524,301.2863,301.3301,301.3863,301.4576,301.5473,301.6591,301.7968,301.9647,302.1715,302.1715
420,2.000000,301.1652,301.1658,301.1676,301.1709,301.1759,301.1829,301.1925,301.2053,301.2223,301.2443,301.2729,301.3094,301.3558,301.4142,301.4870,301.5771,301.6875,301.8214,301.9828,302.1760,302.4114,302.4114
480,2.000000,301.1798,301.1807,301.1837,301.1888,301.1964,301.2069,301.2210,301.2395,301.2634,301.2938,301.3321,301.3801,301.4397,301.5129,301.6022,301.7102,301.8396,301.9930,302.1729,302.3826,302.6306,302.6306
540,2.000000,301.2017,301.2031,301.2073,301.2146,301.2253,301.2400,301.2593,301.2842,301.3156,301.3550,301.4036,301.4633,301.5357,301.6231,301.7276,301.8517,301.9979,302.1692,302.3693,302.6032,302.8835,302.8835
600,2.000000,301.2322,301.2340,301.2397,301.2494,301.2636,301.2828,301.3077,301.3393,301.3787,301.4272,301.4862,301.5574,301.6427,301.7443,301.8643,302.0054,302.1703,302.3620,302.5839,302.8407,303.1444,303.1444
660,2.000000,301.2720,301.2744,301.2816,301.2939,301.3117,301.3356,301.3664,301.4050,301.4525,301.5103,301.5799,301.6629,301.7614,301.8774,302.0133,302.1717,302.3557,302.5685,302.8143,303.0998,303.4396,303.4396
720,2.000000,301.3217,301.3247,301.3335,301.3485,301.3700,301.3988,301.4356,301.4814,301.5372,301.6046,301.6850,301.7802,301.8923,302.0234,302.1761,302.3530,302.5569,302.7907,303.0577,303.3628,303.7187,303.7187
780,2.000000,301.3817,301.3851,301.3956,301.4133,301.4388,301.4726,301.5156,301.5687,301.6332,301.7104,301.8020,301.9097,302.0355,302.1816,302.3502,302.5439,302.7652,303.0171,303.3029,303.6287,304.0091,304.0091
840,2.000000,301.4521,301.4561,301.4683,301.4889,301.5183,301.5573,301.6066,301.6672,301.7404,301.8276,301.9303,302.0502,302.1894,302.3498,302.5338,302.7436,302.9815,303.2500,303.5517,303.8915,304.2825,304.2825
900,2.000000,301.5333,301.5379,301.5518,301.5752,301.6087,301.6529,301.7085,301.7767,301.8586,301.9555,302.0691,302.2009,302.3527,302.5266,302.7243,302.9481,303.1997,303.4813,303.7956,304.1477,304.5516,304.5516
960,2.000000,301.6253,301.6305,301.6461,301.6725,301.7100,301.7593,301.8212,301.8968,301.9871,302.0934,302.2172,302.3600,302.5236,302.7096,302.9200,303.1567,303.4218,303.7179,304.0485,304.4203,304.8501,304.8501
1020,2.000000,301.7281,301.7339,301.7512,301.7804,301.8218,301.8761,301.9441,302.0267,302.1250,302.2402,302.3738,302.5272,302.7020,302.9001,303.1233,303.3735,303.6526,303.9626,304.3061,304.6881,305.1224,305.1224
1080,2.000000,301.8415,301.8478,301.8667,301.8986,301.9438,302.0029,302.0767,302.1661,302.2721,302.3959,302.5388,302.7023,302.8880,303.0974,303.3323,303.5945,303.8863,304.2103,304.5708,304.9761,305.4454,305.4454
1140,2.000000,301.9648,301.9717,301.9922,302.0266,302.0755,302.1392,302.2186,302.3144,302.4278,302.5598,302.7118,302.8852,303.0816,303.3026,303.5503,303.8266,304.1338,304.4744,304.8518,305.2722,305.7518,305.7518
1200,2.000000,302.0979,302.1052,302.1272,302.1642,302.2165,302.2847,302.3694,302.4716,302.5923,302.7324,302.8935,303.0768,303.2840,303.5167,303.7766,304.0656,304.3858,304.7393,305.1298,305.5642,306.0600,306.0600
1260,2.000000,302.2403,302.2481,302.2716,302.3110,302.3667,302.4392,302.5293,302.6377,302.7654,302.9136,303.0835,303.2764,303.4939,303.7375,304.0087,304.3093,304.6409,305.0052,305.4049,305.8456,306.3429,306.3429
1320,2.000000,302.3918,302.4001,302.4250,302.4668,302.5258,302.6026,302.6978,302.8123,302.9469,303.1028,303.2810,303.4829,303.7098,303.9631,304.2441,304.5545,304.8960,305.2711,305.6840,306.1430,306.6682,306.6682
1380,2.000000,302.5522,302.5610,302.5873,302.6314,302.6936,302.7745,302.8747,302.9949,303.1360,303.2990,303.4851,303.6954,303.9313,304.1943,304.4858,304.8076,305.1616,305.5500,305.9766,306.4482,306.9824,306.9824
1440,2.000000,302.7212,302.7304,302.7580,302.8043,302.8696,302.9544,303.0593,303.1850,303.3324,303.5024,303.6962,303.9148,304.1598,304.4323,304.7338,305.0657,305.4297,305.8276,306.2626,306.7415,307.2816,307.2816
1500,2.000000,302.8983,302.9080,302.9369,302.9853,303.0536,303.1421,303.2515,303.3826,303.5360,303.7127,303.9138,304.1403,304.3935,304.6744,304.9843,305.3242,305.6951,306.0981,306.5356,307.0128,307.5446,307.5446
1560,2.000000,303.0834,303.0935,303.1236,303.1740,303.2451,303.3373,303.4510,303.5870,303.7461,303.9290,304.1366,304.3700,304.6300,304.9175,305.2334,305.5785,305.9539,306.3612,306.8039,307.2894,307.8365,307.8365
1620,2.000000,303.2759,303.2864,303.3177,303.3701,303.4438,303.5392,303.6569,303.7975,303.9615,304.1498,304.3631,304.6023,304.8681,305.1615,305.4832,305.8342,306.2154,306.6282,307.0751,307.5620,308.1046,308.1046
1680,2.000000,303.4755,303.4863,303.5186,303.5727,303.6488,303.7473,303.8685,304.0131,304.1816,304.3746,304.5930,304.8373,305.1083,305.4068,305.7333,306.0887,306.4737,306.8900,307.3409,307.8334,308.3855,308.3855
1740,2.000000,303.6813,303.6924,303.7257,303.7813,303.8595,303.9606,304.0850,304.2332,304.4056,304.6029,304.8256,305.0744,305.3501,305.6532,305.9846,306.3452,306.7365,307.1607,307.6224,308.1302,308.7040,308.7040
1800,2.000000,303.8927,303.9041,303.9382,303.9952,304.0753,304.1788,304.3059,304.4573,304.6332,304.8344,305.0613,305.3147,305.5953,305.9040,306.2418,306.6098,307.0096,307.4434,307.9153,308.4327,309.0138,309.0138
1860,2.000000,304.1091,304.1207,304.1555,304.2138,304.2956,304.4013,304.5311,304.6855,304.8649,305.0700,305.3013,305.5596,305.8456,306.1603,306.5046,306.8795,307.2866,307.7280,308.2080,308.7343,309.3258,309.3258
1920,2.000000,304.3300,304.3419,304.3775,304.4369,304.5204,304.6281,304.7605,304.9180,305.1009,305.3100,305.5458,305.8090,306.1003,306.4207,306.7708,307.1515,307.5637,308.0086,308.4886,309.0088,309.5837,309.5837
1980,2.000000,304.5554,304.5676,304.6038,304.6645,304.7496,304.8594,304.9944,305.1548,305.3412,305.5541,305.7940,306.0615,306.3571,306.6813,307.0347,307.4174,307.8302,308.2743,308.7528,309.2724,309.8502,309.8502
2040,2.000000,304.7853,304.7976,304.8346,304.8963,304.9830,305.0949,305.2322,305.3954,305.5848,305.8009,306.0440,306.3147,306.6132,306.9401,307.2957,307.6804,308.0951,308.5414,309.0227,309.5463,310.1295,310.1295
2100,2.000000,305.0192,305.0318,305.0694,305.1322,305.2203,305.3339,305.4733,305.6388,305.8307,306.0493,306.2951,306.5684,306.8695,307.1988,307.5567,307.9436,308.3602,308.8078,309.2890,309.8100,310.3862,310.3862
2160,2.000000,305.2569,305.2697,305.3078,305.3715,305.4608,305.5759,305.7170,305.8845,306.0785,306.2993,306.5473,306.8227,307.1259,307.4569,307.8162,308.2038,308.6203,309.0670,309.5467,310.0661,310.6410,310.6410
2220,2.000000,305.4978,305.5107,305.5492,305.6137,305.7040,305.8203,305.9629,306.1320,306.3277,306.5502,306.7999,307.0769,307.3814,307.7136,308.0736,308.4620,308.8794,309.3279,309.8111,310.3370,310.9234,310.9234
