scenario,time_s,time_h,is_drying_endpoint,radius_cm,C_r_0_cm_kg_kg,C_r_0.5_cm_kg_kg,C_r_1_cm_kg_kg,C_r_1.5_cm_kg_kg,C_r_2_cm_kg_kg,C_surface_kg_kg
constant_radius,21600,6,False,2,2.200104729,2.0980242,1.782461927,1.2435899421191017,0.44460924947009606,0.4446092495
constant_radius,43200,12,False,2,1.434386308,1.358021658,1.136544437,0.7866985536970463,0.2514469611843783,0.2514469612
constant_radius,64800,18,False,2,0.9695349679,0.9213161835,0.7806634978,0.5541260973074784,0.16175048027699815,0.1617504803
constant_radius,86400,24,False,2,0.702283792,0.6704285439,0.5765398086,0.42136718199967166,0.11561524472065224,0.1156152447
constant_radius,108000,30,False,2,0.5420178163,0.5196413569,0.4530076689,0.3401539427195741,0.09110666763460076,0.09110666763
constant_radius,129600,36,False,2,0.4404064548,0.4237559747,0.3737108852,0.2871031947966788,0.077393196205907,0.07739319621
constant_radius,151200,42,False,2,0.372330469,0.3593209205,0.3199038776,0.2504182712807183,0.06924733189579067,0.0692473319
constant_radius,172800,48,False,2,0.3244177658,0.3138436558,0.2815860807,0.2238265501038667,0.0641308100268561,0.06413081003
constant_radius,194400,54,False,2,0.2892477773,0.2803788894,0.2531660464,0.20379117848899148,0.060756666747765885,0.06075666675
constant_radius,216000,60,False,2,0.2625050267,0.2548781847,0.2313604808,0.18820703419711565,0.058436841518483086,0.05843684152
constant_radius,237600,66,False,2,0.2415623677,0.2348711033,0.214150569,0.17576045010071892,0.05678415333909944,0.05678415334
constant_radius,259200,72,False,2,0.2247519623,0.2187857597,0.2002424717,0.16559734271290558,0.05557039334837334,0.05557039335
constant_radius,280800,78,False,2,0.2109746156,0.205584059,0.1887760378,0.15714231783421082,0.0546553947840364,0.05465539478
constant_radius,302400,84,False,2,0.1994815771,0.1945575517,0.1791607282,0.14999553728123138,0.05394987213995206,0.05394987214
constant_radius,324000,90,False,2,0.1897477777,0.185208597,0.170979483,0.14387152531401554,0.05339508916390022,0.05339508916
constant_radius,345600,96,False,2,0.1813954675,0.1771786371,0.1639303417,0.13856154812428872,0.0529512878960719,0.0529512879
constant_radius,367200,102,False,2,0.1741466743,0.1702034633,0.1577898232,0.13390974212542342,0.05259086549018979,0.05259086549
constant_radius,388800,108,False,2,0.1677927126,0.1640844784,0.152389276,0.12979753174817202,0.05229421976737257,0.05229421977
constant_radius,410400,114,False,2,0.1621740964,0.1586697362,0.1475991991,0.12613319675350487,0.05204714553859584,0.05204714554
constant_radius,432000,120,False,2,0.1571669829,0.153841128,0.1433185984,0.12284472588867901,0.05183915964284709,0.05183915964
constant_radius,453600,126,False,2,0.1526738209,0.1495055324,0.1394676058,0.11987481964336744,0.05166239763687698,0.05166239764
constant_radius,467593,129.8869444,True,2,0.1499998995,0.1469241822,0.1371713638,0.11809867540174955,0.051561666075278755,0.05156166608
shrinking_radius,21600,6,False,1.374,1.7198,1.538,1.0228,,,0.4208
shrinking_radius,43200,12,False,1.248,0.7382,0.6551,0.4086,,,0.1671
shrinking_radius,64800,18,False,1.214,0.4091,0.3689,0.2399,,,0.0892
shrinking_radius,86400,24,False,1.204,0.2853,0.2612,0.1791,,,0.0674
shrinking_radius,108000,30,False,1.201,0.2265,0.2095,0.1493,,,0.0595
shrinking_radius,129600,36,False,1.2,0.1929,0.1797,0.1317,,,0.056
shrinking_radius,151200,42,False,1.2,0.1713,0.1604,0.12,,,0.0541
shrinking_radius,172800,48,False,1.2,0.1562,0.1469,0.1116,,,0.053
shrinking_radius,184022,51.11722222,True,1.2,0.15,0.1413,0.1081,,,0.0526
