time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
60,1.995767,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1501,301.1503,301.1508,301.1521,301.1549,301.1606,301.1718,301.1921,,301.2252
120,1.991533,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1500,301.1501,301.1502,301.1504,301.1509,301.1518,301.1534,301.1564,301.1617,301.1707,301.1856,301.2093,301.2461,301.3012,,301.3745
180,1.987300,301.1500,301.1500,301.1501,301.1501,301.1502,301.1504,301.1507,301.1512,301.1521,301.1536,301.1562,301.1603,301.1669,301.1772,301.1928,301.2158,301.2490,301.2958,301.3600,301.4461,,301.5446
240,1.983067,301.1504,301.1505,301.1506,301.1509,301.1514,301.1522,301.1535,301.1555,301.1586,301.1633,301.1702,301.1804,301.1951,301.2158,301.2445,301.2834,301.3352,301.4028,301.4891,301.5976,,301.7090
300,1.978833,301.1522,301.1524,301.1529,301.1538,301.1552,301.1575,301.1607,301.1655,301.1723,301.1819,301.1952,301.2133,301.2378,301.2702,301.3129,301.3682,301.4395,301.5304,301.6461,301.7932,,301.9394
360,1.974600,301.1569,301.1573,301.1584,301.1604,301.1635,301.1680,301.1743,301.1830,301.1948,301.2107,301.2318,301.2595,301.2957,301.3423,301.4020,301.4778,301.5728,301.6909,301.8359,302.0126,,302.1712
420,1.970367,301.1663,301.1669,301.1689,301.1725,301.1778,301.1854,301.1957,301.2095,301.2277,301.2514,301.2820,301.3212,301.3708,301.4332,301.5108,301.6066,301.7237,301.8656,302.0360,302.2403,,302.4111
480,1.966133,301.1820,301.1831,301.1862,301.1917,301.2000,301.2114,301.2266,301.2466,301.2723,301.3050,301.3463,301.3978,301.4617,301.5400,301.6355,301.7505,301.8879,302.0502,302.2400,302.4612,,302.6303
540,1.961900,301.2057,301.2073,301.2118,301.2197,301.2313,301.2472,301.2681,301.2950,301.3290,301.3715,301.4239,301.4881,301.5659,301.6596,301.7713,301.9036,302.0592,302.2413,302.4537,302.7032,,302.8834
600,1.957667,301.2388,301.2409,301.2470,301.2576,301.2729,301.2938,301.3208,301.3551,301.3977,301.4501,301.5138,301.5906,301.6824,301.7915,301.9202,302.0712,302.2474,302.4517,302.6878,302.9623,,303.1444
660,1.953433,301.2822,301.2848,301.2926,301.3060,301.3254,301.3514,301.3848,301.4267,301.4783,301.5409,301.6162,301.7059,301.8121,301.9371,302.0833,302.2534,302.4506,302.6785,302.9420,303.2499,,303.4399
720,1.949200,301.3364,301.3396,301.3492,301.3655,301.3890,301.4204,301.4604,301.5102,301.5710,301.6441,301.7314,301.8346,301.9559,302.0976,302.2624,302.4528,302.6719,302.9225,303.2082,303.5365,,303.7194
780,1.944967,301.4018,301.4056,301.4170,301.4364,301.4642,301.5012,301.5481,301.6060,301.6763,301.7604,301.8601,301.9771,302.1135,302.2716,302.4539,302.6627,302.9007,303.1711,303.4780,303.8308,,304.0104
840,1.940733,301.4789,301.4833,301.4967,301.5192,301.5515,301.5941,301.6480,301.7144,301.7943,301.8894,302.0014,302.1319,302.2831,302.4571,302.6562,302.8826,303.1386,303.4266,303.7502,304.1174,,304.2845
900,1.936500,301.5680,301.5730,301.5883,301.6141,301.6508,301.6993,301.7603,301.8350,301.9246,302.0306,302.1545,302.2981,302.4632,302.6518,302.8658,303.1072,303.3778,303.6800,304.0174,304.3993,,304.5543
960,1.932267,301.6692,301.6749,301.6921,301.7211,301.7624,301.8165,301.8846,301.9674,302.0664,302.1827,302.3179,302.4737,302.6516,302.8536,303.0815,303.3372,303.6231,303.9422,304.2995,304.7071,,304.8539
1020,1.928033,301.7825,301.7888,301.8079,301.8400,301.8857,301.9454,302.0202,302.1109,302.2187,302.3449,302.4910,302.6584,302.8490,303.0644,303.3066,303.5773,303.8785,304.2123,304.5825,304.9990,,305.1275
1080,1.923800,301.9075,301.9144,301.9353,301.9705,302.0203,302.0854,302.1667,302.2649,302.3813,302.5171,302.6737,302.8524,303.0549,303.2828,303.5379,303.8222,304.1381,304.4893,304.8824,305.3327,,305.4520
1140,1.919567,302.0437,302.0512,302.0739,302.1120,302.1659,302.2362,302.3236,302.4292,302.5538,302.6989,302.8655,303.0554,303.2701,303.5114,303.7813,304.0819,304.4155,304.7849,305.1956,305.6602,,305.7601
1200,1.915333,302.1908,302.1989,302.2233,302.2642,302.3220,302.3973,302.4908,302.6035,302.7364,302.8907,303.0676,303.2688,303.4957,303.7501,304.0336,304.3482,304.6960,305.0799,305.5061,305.9892,,306.0704
1260,1.911100,302.3485,302.3571,302.3831,302.4268,302.4884,302.5687,302.6683,302.7881,302.9290,303.0923,303.2793,303.4913,303.7298,303.9963,304.2924,304.6195,304.9793,305.3741,305.8088,306.2967,,306.3556
1320,1.906867,302.5165,302.5257,302.5534,302.5997,302.6652,302.7503,302.8557,302.9823,303.1311,303.3030,303.4994,303.7214,303.9702,304.2473,304.5541,304.8922,305.2639,305.6729,306.1270,306.6445,,306.6834
1380,1.902633,302.6947,302.7044,302.7337,302.7827,302.8518,302.9415,303.0526,303.1857,303.3417,303.5218,303.7270,303.9585,304.2177,304.5061,304.8252,305.1767,305.5629,305.9869,306.4555,306.9854,,307.0005
1440,1.898400,302.8826,302.8929,302.9236,302.9751,303.0477,303.1419,303.2583,303.3977,303.5609,303.7489,303.9629,304.2040,304.4734,304.7726,305.1028,305.4653,305.8620,306.2959,306.7736,,,307.3028
