time,row,location,regular,steam,difference,relative_pct
6.0,6,0 cm,1.7198,2.3272,0.6073999999999999,35.31806023956274
6.0,6,0.5 cm,1.538,2.105,0.567,36.86605981794537
6.0,6,1 cm,1.0228,1.3584,0.3356000000000001,32.81188893234259
6.0,6,表面,0.4208,0.3934,-0.02739999999999998,-6.51140684410646
12.0,12,0 cm,0.7382,1.2099,0.4717,63.898672446491474
12.0,12,0.5 cm,0.6551,1.0493,0.3941999999999999,60.174019233704755
12.0,12,1 cm,0.4086,0.6019,0.19329999999999997,47.30788056779245
12.0,12,表面,0.1671,0.2255,0.05840000000000001,34.94913225613405
18.0,18,0 cm,0.4091,0.6119,0.20279999999999998,49.572231728183816
18.0,18,0.5 cm,0.3689,0.5414,0.1725,46.76063973976687
18.0,18,1 cm,0.2399,0.328,0.08810000000000001,36.72363484785328
18.0,18,表面,0.0892,0.1234,0.034199999999999994,38.34080717488788
24.0,24,0 cm,0.2853,0.3745,0.0892,31.26533473536628
24.0,24,0.5 cm,0.2612,0.3384,0.07719999999999999,29.555895865237368
24.0,24,1 cm,0.1791,0.2205,0.04139999999999999,23.115577889447223
24.0,24,表面,0.0674,0.0806,0.013200000000000003,19.584569732937695
30.0,30,0 cm,0.2265,0.2725,0.04600000000000001,20.309050772626946
30.0,30,0.5 cm,0.2095,0.2499,0.04040000000000002,19.284009546539394
30.0,30,1 cm,0.1493,0.1722,0.022900000000000004,15.33824514400537
30.0,30,表面,0.0595,0.065,0.005500000000000005,9.243697478991608
36.0,36,0 cm,0.1929,0.2204,0.027500000000000024,14.256091238983949
36.0,36,0.5 cm,0.1797,0.2041,0.024400000000000005,13.578185865331104
36.0,36,1 cm,0.1317,0.146,0.01429999999999998,10.858010630220182
36.0,36,表面,0.056,0.0586,0.002599999999999998,4.642857142857149
42.0,42,0 cm,0.1713,0.1895,0.018199999999999994,10.62463514302394
42.0,42,0.5 cm,0.1604,0.1767,0.01630000000000001,10.162094763092266
42.0,42,1 cm,0.12,0.1299,0.009899999999999992,8.250000000000002
42.0,42,表面,0.0541,0.0556,0.0014999999999999944,2.772643253234741
48.0,48,0 cm,0.1562,0.1691,0.012899999999999995,8.258642765685021
48.0,48,0.5 cm,0.1469,0.1585,0.0116,7.896528250510548
48.0,48,1 cm,0.1116,0.1188,0.007199999999999998,6.451612903225801
48.0,48,表面,0.053,0.0539,0.000900000000000005,1.6981132075471805
54.0,54,0 cm,0.15,0.1547,0.00470000000000001,3.1333333333333435
54.0,54,0.5 cm,0.1413,0.1455,0.0041999999999999815,2.972399150743077
54.0,54,1 cm,0.1081,0.1107,0.002600000000000005,2.405180388529149
54.0,54,表面,0.0526,0.0529,0.00030000000000000165,0.5703422053231932
