time_s,oven_temperature_c,surface_temperature_c,heat_flux_into_herb_w_m2,oven_moisture_kg_kg,surface_moisture_kg_kg,moisture_ratio_flux_out_m_s,moisture_mass_flux_out_kg_m2_s
0,28,28,0,0.01963,2.55,2.024296e-06,0.00165992272
1,28.0088,28.0001916,0.2152101013,0.0196365,2.518152192,1.998812553e-06,0.001639026294
2,28.0176,28.0005321,0.4266975595,0.019643,2.504773515,1.988104412e-06,0.001630245618
3,28.0264,28.00096969,0.6357576989,0.0196495,2.494607526,1.97996642e-06,0.001623572465
4,28.0352,28.00148506,0.8428735045,0.019656,2.486088787,1.97314623e-06,0.001617979908
5,28.044,28.00206703,1.048324126,0.0196625,2.478618197,1.967164557e-06,0.001613074937
6,28.0528,28.00270808,1.252298,0.019669,2.471890246,1.961776997e-06,0.001608657137
7,28.0616,28.00340266,1.454933482,0.0196755,2.465724071,1.956838857e-06,0.001604607862
8,28.0704,28.00414649,1.65633776,0.019682,2.460002102,1.952256082e-06,0.001600849987
9,28.0792,28.00493612,1.856597052,0.0196885,2.454642813,1.94796345e-06,0.001597330029
10,28.088,28.00576869,2.05578266,0.019695,2.449586922,1.943913538e-06,0.001594009101
11,28.0968,28.00664181,2.253954827,0.0197015,2.444789721,1.940070577e-06,0.001590857873
12,28.1056,28.00755339,2.451165324,0.019708,2.440216504,1.936406804e-06,0.001587853579
13,28.1144,28.00850163,2.647459266,0.0197145,2.435839694,1.932900155e-06,0.001584978127
14,28.1232,28.00948494,2.842876421,0.019721,2.43163694,1.929532752e-06,0.001582216856
15,28.132,28.01050191,3.037452188,0.0197275,2.427589833,1.926289867e-06,0.001579557691
16,28.1408,28.01155127,3.231218339,0.019734,2.423682997,1.923159197e-06,0.001576990542
17,28.1496,28.01263186,3.424203599,0.0197405,2.419903426,1.920130341e-06,0.00157450688
18,28.1584,28.01374264,3.6164341,0.019747,2.41624001,1.917194408e-06,0.001572099415
19,28.1672,28.01488265,3.807933747,0.0197535,2.412683165,1.914343732e-06,0.00156976186
20,28.176,28.01605102,3.99872452,0.01976,2.409224554,1.911571643e-06,0.001567488747
21,28.1848,28.01724693,4.188826712,0.0197665,2.405856874,1.908872299e-06,0.001565275285
22,28.1936,28.01846963,4.37825914,0.019773,2.402573683,1.906240546e-06,0.001563117248
23,28.2024,28.01971843,4.567039309,0.0197795,2.399369265,1.903671812e-06,0.001561010886
24,28.2112,28.02099266,4.755183559,0.019786,2.396238519,1.901162015e-06,0.001558952852
25,28.22,28.02229171,4.94270719,0.0197925,2.393176873,1.898707498e-06,0.001556940149
26,28.2288,28.02361502,5.129624563,0.019799,2.390180207,1.896304966e-06,0.001554970072
27,28.2376,28.02496203,5.315949195,0.0198055,2.387244796,1.893951437e-06,0.001553040178
28,28.2464,28.02633225,5.501693837,0.019812,2.384367256,1.891644205e-06,0.001551148248
29,28.2552,28.02772518,5.686870543,0.0198185,2.381544504,1.889380803e-06,0.001549292259
30,28.264,28.02914037,5.87149073,0.019825,2.37877372,1.887158976e-06,0.001547470361
31,28.2728,28.03057739,6.055565235,0.0198315,2.376052319,1.884976655e-06,0.001545680857
32,28.2816,28.03203583,6.239104357,0.019838,2.373377922,1.882831938e-06,0.001543922189
33,28.2904,28.03351528,6.422117905,0.0198445,2.370748335,1.880723068e-06,0.001542192916
34,28.2992,28.03501539,6.60461523,0.019851,2.36816153,1.878648424e-06,0.001540491708
35,28.308,28.03653579,6.786605265,0.0198575,2.365615626,1.876606501e-06,0.001538817331
36,28.3168,28.03807614,6.96809655,0.019864,2.363108876,1.874595901e-06,0.001537168639
37,28.3256,28.03963611,7.149097262,0.0198705,2.360639656,1.872615324e-06,0.001535544566
38,28.3344,28.04121539,7.329615241,0.019877,2.358206447,1.870663557e-06,0.001533944117
39,28.3432,28.04281368,7.50965801,0.0198835,2.355807833,1.868739466e-06,0.001532366362
40,28.352,28.04443069,7.689232795,0.01989,2.353442486,1.866841989e-06,0.001530810431
41,28.3608,28.04606614,7.868346548,0.0198965,2.351109163,1.86497013e-06,0.001529275507
