time_s,is_observation,observed_temperature_C,temperature_linear_C,temperature_pchip_C,temperature_pchip_minus_linear_C,temperature_absolute_difference_C,observed_moisture_kg_kg,moisture_linear_kg_kg,moisture_pchip_kg_kg,moisture_pchip_minus_linear_kg_kg,moisture_absolute_difference_kg_kg
0,1,28.000000,28.0000000000,28.0000000000,0.0000000000,0.0000000000,0.01963000,0.019630000000,0.019630000000,0.000000000000,0.000000000000
1,0,,28.0088000000,28.0076876747,-0.0011123253,0.0011123253,,0.019636500000,0.019635518852,-0.000000981148,0.000000981148
2,0,,28.0176000000,28.0154172220,-0.0021827780,0.0021827780,,0.019643000000,0.019641075259,-0.000001924741,0.000001924741
3,0,,28.0264000000,28.0231884262,-0.0032115738,0.0032115738,,0.019649500000,0.019646669000,-0.000002831000,0.000002831000
4,0,,28.0352000000,28.0310010718,-0.0041989282,0.0041989282,,0.019656000000,0.019652299852,-0.000003700148,0.000003700148
5,0,,28.0440000000,28.0388549435,-0.0051450565,0.0051450565,,0.019662500000,0.019657967593,-0.000004532407,0.000004532407
6,0,,28.0528000000,28.0467498255,-0.0060501745,0.0060501745,,0.019669000000,0.019663672000,-0.000005328000,0.000005328000
7,0,,28.0616000000,28.0546855025,-0.0069144975,0.0069144975,,0.019675500000,0.019669412852,-0.000006087148,0.000006087148
8,0,,28.0704000000,28.0626617589,-0.0077382411,0.0077382411,,0.019682000000,0.019675189926,-0.000006810074,0.000006810074
9,0,,28.0792000000,28.0706783792,-0.0085216208,0.0085216208,,0.019688500000,0.019681003000,-0.000007497000,0.000007497000
10,0,,28.0880000000,28.0787351479,-0.0092648521,0.0092648521,,0.019695000000,0.019686851852,-0.000008148148,0.000008148148
11,0,,28.0968000000,28.0868318495,-0.0099681505,0.0099681505,,0.019701500000,0.019692736259,-0.000008763741,0.000008763741
12,0,,28.1056000000,28.0949682685,-0.0106317315,0.0106317315,,0.019708000000,0.019698656000,-0.000009344000,0.000009344000
13,0,,28.1144000000,28.1031441893,-0.0112558107,0.0112558107,,0.019714500000,0.019704610852,-0.000009889148,0.000009889148
14,0,,28.1232000000,28.1113593965,-0.0118406035,0.0118406035,,0.019721000000,0.019710600593,-0.000010399407,0.000010399407
15,0,,28.1320000000,28.1196136745,-0.0123863255,0.0123863255,,0.019727500000,0.019716625000,-0.000010875000,0.000010875000
16,0,,28.1408000000,28.1279068079,-0.0128931921,0.0128931921,,0.019734000000,0.019722683852,-0.000011316148,0.000011316148
17,0,,28.1496000000,28.1362385810,-0.0133614190,0.0133614190,,0.019740500000,0.019728776926,-0.000011723074,0.000011723074
18,0,,28.1584000000,28.1446087785,-0.0137912215,0.0137912215,,0.019747000000,0.019734904000,-0.000012096000,0.000012096000
19,0,,28.1672000000,28.1530171848,-0.0141828152,0.0141828152,,0.019753500000,0.019741064852,-0.000012435148,0.000012435148
20,0,,28.1760000000,28.1614635844,-0.0145364156,0.0145364156,,0.019760000000,0.019747259259,-0.000012740741,0.000012740741
21,0,,28.1848000000,28.1699477617,-0.0148522383,0.0148522383,,0.019766500000,0.019753487000,-0.000013013000,0.000013013000
22,0,,28.1936000000,28.1784695014,-0.0151304986,0.0151304986,,0.019773000000,0.019759747852,-0.000013252148,0.000013252148
23,0,,28.2024000000,28.1870285877,-0.0153714123,0.0153714123,,0.019779500000,0.019766041593,-0.000013458407,0.000013458407
24,0,,28.2112000000,28.1956248054,-0.0155751946,0.0155751946,,0.019786000000,0.019772368000,-0.000013632000,0.000013632000
25,0,,28.2200000000,28.2042579387,-0.0157420613,0.0157420613,,0.019792500000,0.019778726852,-0.000013773148,0.000013773148
26,0,,28.2288000000,28.2129277723,-0.0158722277,0.0158722277,,0.019799000000,0.019785117926,-0.000013882074,0.000013882074
27,0,,28.2376000000,28.2216340906,-0.0159659094,0.0159659094,,0.019805500000,0.019791541000,-0.000013959000,0.000013959000
28,0,,28.2464000000,28.2303766781,-0.0160233219,0.0160233219,,0.019812000000,0.019797995852,-0.000014004148,0.000014004148
29,0,,28.2552000000,28.2391553193,-0.0160446807,0.0160446807,,0.019818500000,0.019804482259,-0.000014017741,0.000014017741
30,0,,28.2640000000,28.2479697987,-0.0160302013,0.0160302013,,0.019825000000,0.019811000000,-0.000014000000,0.000014000000
31,0,,28.2728000000,28.2568199007,-0.0159800993,0.0159800993,,0.019831500000,0.019817548852,-0.000013951148,0.000013951148
32,0,,28.2816000000,28.2657054099,-0.0158945901,0.0158945901,,0.019838000000,0.019824128593,-0.000013871407,0.000013871407
33,0,,28.2904000000,28.2746261107,-0.0157738893,0.0157738893,,0.019844500000,0.019830739000,-0.000013761000,0.000013761000
34,0,,28.2992000000,28.2835817877,-0.0156182123,0.0156182123,,0.019851000000,0.019837379852,-0.000013620148,0.000013620148
35,0,,28.3080000000,28.2925722253,-0.0154277747,0.0154277747,,0.019857500000,0.019844050926,-0.000013449074,0.000013449074
36,0,,28.3168000000,28.3015972081,-0.0152027919,0.0152027919,,0.019864000000,0.019850752000,-0.000013248000,0.000013248000
37,0,,28.3256000000,28.3106565204,-0.0149434796,0.0149434796,,0.019870500000,0.019857482852,-0.000013017148,0.000013017148
38,0,,28.3344000000,28.3197499468,-0.0146500532,0.0146500532,,0.019877000000,0.019864243259,-0.000012756741,0.000012756741
39,0,,28.3432000000,28.3288772718,-0.0143227282,0.0143227282,,0.019883500000,0.019871033000,-0.000012467000,0.000012467000
40,0,,28.3520000000,28.3380382799,-0.0139617201,0.0139617201,,0.019890000000,0.019877851852,-0.000012148148,0.000012148148
41,0,,28.3608000000,28.3472327555,-0.0135672445,0.0135672445,,0.019896500000,0.019884699593,-0.000011800407,0.000011800407
42,0,,28.3696000000,28.3564604832,-0.0131395168,0.0131395168,,0.019903000000,0.019891576000,-0.000011424000,0.000011424000
43,0,,28.3784000000,28.3657212475,-0.0126787525,0.0126787525,,0.019909500000,0.019898480852,-0.000011019148,0.000011019148
44,0,,28.3872000000,28.3750148327,-0.0121851673,0.0121851673,,0.019916000000,0.019905413926,-0.000010586074,0.000010586074
45,0,,28.3960000000,28.3843410235,-0.0116589765,0.0116589765,,0.019922500000,0.019912375000,-0.000010125000,0.000010125000
46,0,,28.4048000000,28.3936996043,-0.0111003957,0.0111003957,,0.019929000000,0.019919363852,-0.000009636148,0.000009636148
47,0,,28.4136000000,28.4030903596,-0.0105096404,0.0105096404,,0.019935500000,0.019926380259,-0.000009119741,0.000009119741
48,0,,28.4224000000,28.4125130738,-0.0098869262,0.0098869262,,0.019942000000,0.019933424000,-0.000008576000,0.000008576000
49,0,,28.4312000000,28.4219675316,-0.0092324684,0.0092324684,,0.019948500000,0.019940494852,-0.000008005148,0.000008005148
50,0,,28.4400000000,28.4314535173,-0.0085464827,0.0085464827,,0.019955000000,0.019947592593,-0.000007407407,0.000007407407
51,0,,28.4488000000,28.4409708154,-0.0078291846,0.0078291846,,0.019961500000,0.019954717000,-0.000006783000,0.000006783000
52,0,,28.4576000000,28.4505192105,-0.0070807895,0.0070807895,,0.019968000000,0.019961867852,-0.000006132148,0.000006132148
53,0,,28.4664000000,28.4600984871,-0.0063015129,0.0063015129,,0.019974500000,0.019969044926,-0.000005455074,0.000005455074
54,0,,28.4752000000,28.4697084295,-0.0054915705,0.0054915705,,0.019981000000,0.019976248000,-0.000004752000,0.000004752000
55,0,,28.4840000000,28.4793488224,-0.0046511776,0.0046511776,,0.019987500000,0.019983476852,-0.000004023148,0.000004023148
56,0,,28.4928000000,28.4890194502,-0.0037805498,0.0037805498,,0.019994000000,0.019990731259,-0.000003268741,0.000003268741
57,0,,28.5016000000,28.4987200973,-0.0028799027,0.0028799027,,0.020000500000,0.019998011000,-0.000002489000,0.000002489000
58,0,,28.5104000000,28.5084505483,-0.0019494517,0.0019494517,,0.020007000000,0.020005315852,-0.000001684148,0.000001684148
