scenario_id,parameter,factor,parameter_value,elapsed_s,average_temperature_c,average_moisture_kg_kg,center_temperature_c,surface_temperature_c,center_moisture_kg_kg,surface_moisture_kg_kg,heating_gain_c,water_removed_kg_kg,temperature_gradient_c,moisture_gradient_kg_kg,maximum_picard_iterations
baseline,baseline,1.0,1,18.7650,49.90424342,1.382588174,49.84939976,49.96637598,1.766285491,1.008118327,21.90424342,1.167411826,0.1169762198,0.7581671636,4
h_0.8,h,0.8,20,18.9804,49.79002642,1.387547149,49.72014394,49.8652418,1.776676204,1.00963323,21.79002642,1.162452851,0.1450978603,0.7670429746,4
h_0.9,h,0.9,22.5,19.1058,49.85935538,1.384805957,49.79856157,49.92653437,1.770830804,1.008878627,21.85935538,1.165194043,0.1279727992,0.7619521773,4
h_1.1,h,1.1,27.5,19.0152,49.93450317,1.380760763,49.88351841,49.99355503,1.762665589,1.00739616,21.93450317,1.169239237,0.1100366203,0.7552694289,4
h_1.2,h,1.2,30,19.2410,49.95569504,1.379231307,49.90716251,50.01296811,1.759723231,1.006728899,21.95569504,1.170768693,0.1058056029,0.7529943314,4
km_0.8,km,0.8,6.4e-07,17.9034,49.89287774,1.512795369,49.83679155,49.956053,1.858237065,1.177482681,21.89287774,1.037204631,0.1192614564,0.6807543839,4
km_0.9,km,0.9,7.2e-07,19.1975,49.89889353,1.443818585,49.84347364,49.96149903,1.809728679,1.087773167,21.89889353,1.106181415,0.118025392,0.7219555115,4
km_1.1,km,1.1,8.8e-07,18.8435,49.90901548,1.328090501,49.85467174,49.9707565,1.727281551,0.9371377046,21.90901548,1.221909499,0.1160847599,0.7901438462,4
km_1.2,km,1.2,9.6e-07,19.1566,49.91328417,1.279464306,49.85937557,49.97470203,1.692178933,0.8736712789,21.91328417,1.270535694,0.1153264621,0.818507654,4
lambda_0.8,lambda,0.8,0.8,18.7301,49.87148249,1.383379628,49.80008926,49.95334336,1.768806257,1.008027904,21.87148249,1.166620372,0.1532540987,0.7607783537,4
lambda_0.9,lambda,0.9,0.9,15.2838,49.89039377,1.382940326,49.82867718,49.96089638,1.76738956,1.008086719,21.89039377,1.167059674,0.1322192018,0.7593028415,4
lambda_1.1,lambda,1.1,1.1,15.9903,49.91475628,1.382299749,49.86507499,49.97045853,1.765401806,1.008133949,21.91475628,1.167700251,0.1053835453,0.7572678578,4
lambda_1.2,lambda,1.2,1.2,19.1192,49.92297148,1.382059288,49.87735181,49.97356646,1.764679032,1.008139925,21.92297148,1.167940712,0.09621464692,0.7565391073,4
D_0.8,D,0.8,0.8,18.4632,49.89890946,1.429200344,49.8426795,49.96254814,1.894959299,0.9739668566,21.89890946,1.120799656,0.1198686454,0.9209924428,4
D_0.9,D,0.9,0.9,18.6782,49.90176731,1.404138659,49.8462823,49.9645945,1.825652825,0.9928720279,21.90176731,1.145861341,0.1183122069,0.8327807973,4
D_1.1,D,1.1,1.1,18.5837,49.90640854,1.363859141,49.85212094,49.96794127,1.715189777,1.020522631,21.90640854,1.186140859,0.115820333,0.6946671459,4
D_1.2,D,1.2,1.2,18.4724,49.90831675,1.347434552,49.85451461,49.96932727,1.670951279,1.03070238,21.90831675,1.202565448,0.1148126635,0.6402488987,4
