scenario_id,parameter,factor,time_s,average_temperature_c,average_moisture_kg_kg,center_temperature_c,surface_temperature_c,center_moisture_kg_kg,surface_moisture_kg_kg
baseline,baseline,1.0,0,28,2.55,28,28,2.55,2.55
baseline,baseline,1.0,60,28.01105879,2.538583874,28.00000011,28.05842064,2.55,2.327342948
baseline,baseline,1.0,120,28.04519236,2.527731123,28.00007686,28.17715646,2.55,2.242229335
baseline,baseline,1.0,180,28.09963865,2.517226204,28.0012678,28.31628358,2.55,2.179920482
baseline,baseline,1.0,240,28.16702731,2.506991643,28.00654113,28.45424698,2.55,2.129341461
baseline,baseline,1.0,300,28.25388868,2.496982403,28.01954338,28.64574852,2.55,2.086396722
baseline,baseline,1.0,360,28.36034195,2.4871672,28.04282115,28.84339104,2.55,2.048904129
baseline,baseline,1.0,420,28.48043607,2.477523736,28.07813747,29.0503623,2.55,2.015484226
baseline,baseline,1.0,480,28.61021561,2.468034806,28.12722116,29.24481786,2.55,1.985240736
baseline,baseline,1.0,540,28.75201976,2.458686843,28.19091792,29.46734225,2.55,1.957654579
baseline,baseline,1.0,600,28.90834595,2.449468018,28.26904618,29.69999154,2.55,1.932343373
baseline,baseline,1.0,660,29.08039993,2.44036793,28.36096017,29.96235022,2.55,1.909001728
baseline,baseline,1.0,720,29.26502151,2.431377508,28.46643713,30.21684951,2.55,1.887328988
baseline,baseline,1.0,780,29.45955816,2.422489669,28.58559647,30.48267469,2.55,1.867096958
baseline,baseline,1.0,840,29.66222904,2.413698295,28.71855297,30.73889709,2.549999999,1.848129536
baseline,baseline,1.0,900,29.87001887,2.404997875,28.86486067,30.99377104,2.549999997,1.830245969
baseline,baseline,1.0,960,30.088151,2.396382526,29.02369803,31.2736003,2.549999991,1.813414422
baseline,baseline,1.0,1020,30.3128092,2.387847362,29.19384613,31.53703458,2.549999974,1.797495826
baseline,baseline,1.0,1080,30.54817684,2.379389024,29.37438193,31.84068806,2.549999932,1.782492671
baseline,baseline,1.0,1140,30.79433042,2.371002788,29.56472584,32.13626931,2.549999837,1.768314484
baseline,baseline,1.0,1200,31.04611863,2.36268527,29.76449729,32.43512075,2.54999964,1.754844472
baseline,baseline,1.0,1260,31.30099172,2.354433118,29.97382958,32.71696871,2.549999253,1.741976295
baseline,baseline,1.0,1320,31.56373156,2.346242955,30.19242453,33.03210951,2.549998541,1.729745701
baseline,baseline,1.0,1380,31.83514421,2.338112483,30.41948075,33.34254448,2.549997292,1.718141716
baseline,baseline,1.0,1440,32.1086591,2.330038682,30.65427122,33.64291246,2.549995199,1.707004854
baseline,baseline,1.0,1500,32.37954823,2.322019011,30.89667037,33.91664245,2.549991827,1.696256393
baseline,baseline,1.0,1560,32.65219707,2.31405203,31.14615134,34.21192741,2.549986585,1.685932971
baseline,baseline,1.0,1620,32.92642045,2.306135488,31.40141664,34.49121226,2.54997869,1.676008512
baseline,baseline,1.0,1680,33.20117154,2.298267713,31.66107917,34.77993006,2.549967134,1.666446272
baseline,baseline,1.0,1740,33.48455659,2.290446754,31.92431454,35.098947,2.54995065,1.657335963
baseline,baseline,1.0,1800,33.77431728,2.282670598,32.19046662,35.41406217,2.549927683,1.648626185
baseline,baseline,1.0,1860,34.06742098,2.274937424,32.45970136,35.73169068,2.549896355,1.640253216
baseline,baseline,1.0,1920,34.35627921,2.267246093,32.73273727,36.00917456,2.549854448,1.632115147
baseline,baseline,1.0,1980,34.64067618,2.259595814,33.00986762,36.29115164,2.549799372,1.624187985
baseline,baseline,1.0,2040,34.92721194,2.251984657,33.29043073,36.58331603,2.549728152,1.616534558
baseline,baseline,1.0,2100,35.2117611,2.244411253,33.57297945,36.85877175,2.549637424,1.60909843
baseline,baseline,1.0,2160,35.49310972,2.236875053,33.85664308,37.13176606,2.549523432,1.601859578
baseline,baseline,1.0,2220,35.77736162,2.229375296,34.14092112,37.42568735,2.549382032,1.594883772
baseline,baseline,1.0,2280,36.06110737,2.221910565,34.42518338,37.70097888,2.549208707,1.588110561
baseline,baseline,1.0,2340,36.34601346,2.214478969,34.70926977,37.99661821,2.548998588,1.58153366
baseline,baseline,1.0,2400,36.63075179,2.207079569,34.99334788,38.27302819,2.548746472,1.57515204
baseline,baseline,1.0,2460,36.91553795,2.199712269,35.27749542,38.5649831,2.548446849,1.568957456
baseline,baseline,1.0,2520,37.20016974,2.192375949,35.56185764,38.84229935,2.548093936,1.562936585
baseline,baseline,1.0,2580,37.47665807,2.185070258,35.84637672,39.09053076,2.54768171,1.556997237
baseline,baseline,1.0,2640,37.75313733,2.177794543,36.13100197,39.36983193,2.54720395,1.551213503
baseline,baseline,1.0,2700,38.03156171,2.17054722,36.41497813,39.64206219,2.546654285,1.5455972
baseline,baseline,1.0,2760,38.30176082,2.163328188,36.69762856,39.88072093,2.546026258,1.540047178
