time_s,time_h,oven_temperature_C,oven_temperature_K,oven_moisture_kg_kg
0,0.00000000,28.00000000,301.15000000,0.0196300000
60,0.01666667,28.52800000,301.67800000,0.0200200000
120,0.03333333,29.19200000,302.34200000,0.0205300000
180,0.05000000,29.68400000,302.83400000,0.0210000000
240,0.06666667,30.03700000,303.18700000,0.0215100000
300,0.08333333,30.83400000,303.98400000,0.0219100000
360,0.10000000,31.29300000,304.44300000,0.0223300000
420,0.11666667,31.82000000,304.97000000,0.0227800000
480,0.13333333,32.12100000,305.27100000,0.0232500000
540,0.15000000,32.73000000,305.88000000,0.0237700000
600,0.16666667,33.20200000,306.35200000,0.0242800000
660,0.18333333,33.87900000,307.02900000,0.0246500000
720,0.20000000,34.26800000,307.41800000,0.0250600000
780,0.21666667,34.80600000,307.95600000,0.0255200000
840,0.23333333,35.14200000,308.29200000,0.0261200000
900,0.25000000,35.52400000,308.67400000,0.0266000000
960,0.26666667,36.09100000,309.24100000,0.0268700000
1020,0.28333333,36.35400000,309.50400000,0.0273200000
1080,0.30000000,37.06700000,310.21700000,0.0279300000
1140,0.31666667,37.41900000,310.56900000,0.0282600000
1200,0.33333333,37.88200000,311.03200000,0.0289100000
1260,0.35000000,38.13400000,311.28400000,0.0292100000
1320,0.36666667,38.76700000,311.91700000,0.0296100000
1380,0.38333333,39.12500000,312.27500000,0.0302900000
1440,0.40000000,39.45800000,312.60800000,0.0305100000
1500,0.41666667,39.59500000,312.74500000,0.0309800000
1560,0.43333333,40.06100000,313.21100000,0.0313700000
1620,0.45000000,40.23800000,313.38800000,0.0317900000
1680,0.46666667,40.62100000,313.77100000,0.0321900000
1740,0.48333333,41.16600000,314.31600000,0.0326200000
1800,0.50000000,41.51300000,314.66300000,0.0330700000
1860,0.51666667,41.91800000,315.06800000,0.0334500000
1920,0.53333333,41.95200000,315.10200000,0.0340300000
1980,0.55000000,42.26300000,315.41300000,0.0344700000
2040,0.56666667,42.58900000,315.73900000,0.0347600000
2100,0.58333333,42.74500000,315.89500000,0.0351300000
2160,0.60000000,42.98500000,316.13500000,0.0355800000
2220,0.61666667,43.39300000,316.54300000,0.0360900000
2280,0.63333333,43.53400000,316.68400000,0.0364600000
2340,0.65000000,43.97000000,317.12000000,0.0365300000
2400,0.66666667,44.10200000,317.25200000,0.0369400000
2460,0.68333333,44.50300000,317.65300000,0.0373100000
2520,0.70000000,44.66300000,317.81300000,0.0376600000
2580,0.71666667,44.70100000,317.85100000,0.0381200000
2640,0.73333333,45.13800000,318.28800000,0.0384000000
2700,0.75000000,45.32300000,318.47300000,0.0385800000
2760,0.76666667,45.32400000,318.47400000,0.0390300000
2820,0.78333333,45.46200000,318.61200000,0.0394000000
2880,0.80000000,45.81800000,318.96800000,0.0395400000
2940,0.81666667,45.73900000,318.88900000,0.0401300000
3000,0.83333333,45.93000000,319.08000000,0.0401100000
3060,0.85000000,45.99900000,319.14900000,0.0407600000
3120,0.86666667,46.51200000,319.66200000,0.0407000000
3180,0.88333333,46.60200000,319.75200000,0.0412800000
3240,0.90000000,46.76100000,319.91100000,0.0415700000
3300,0.91666667,46.93300000,320.08300000,0.0418700000
3360,0.93333333,46.91200000,320.06200000,0.0420500000
3420,0.95000000,47.08900000,320.23900000,0.0422900000
3480,0.96666667,47.00800000,320.15800000,0.0424700000
3540,0.98333333,47.11100000,320.26100000,0.0427700000
3600,1.00000000,47.48500000,320.63500000,0.0427200000
3660,1.01666667,47.49800000,320.64800000,0.0431200000
3720,1.03333333,47.64600000,320.79600000,0.0433300000
3780,1.05000000,47.84000000,320.99000000,0.0436900000
3840,1.06666667,47.87300000,321.02300000,0.0437300000
3900,1.08333333,47.92600000,321.07600000,0.0438900000
3960,1.10000000,48.01600000,321.16600000,0.0442000000
4020,1.11666667,47.97700000,321.12700000,0.0442200000
4080,1.13333333,47.92600000,321.07600000,0.0443500000
4140,1.15000000,48.19900000,321.34900000,0.0446800000
4200,1.16666667,48.16600000,321.31600000,0.0448300000
4260,1.18333333,48.33100000,321.48100000,0.0449100000
4320,1.20000000,48.61500000,321.76500000,0.0451400000
4380,1.21666667,48.38000000,321.53000000,0.0453000000
4440,1.23333333,48.35700000,321.50700000,0.0454300000
4500,1.25000000,48.52600000,321.67600000,0.0456100000
4560,1.26666667,48.59000000,321.74000000,0.0458900000
4620,1.28333333,48.82500000,321.97500000,0.0458500000
4680,1.30000000,48.82700000,321.97700000,0.0462900000
4740,1.31666667,48.98800000,322.13800000,0.0464100000
4800,1.33333333,48.97900000,322.12900000,0.0463300000
4860,1.35000000,48.90000000,322.05000000,0.0463900000
4920,1.36666667,49.14400000,322.29400000,0.0466000000
4980,1.38333333,48.87000000,322.02000000,0.0468700000
5040,1.40000000,48.84000000,321.99000000,0.0468900000
5100,1.41666667,48.91300000,322.06300000,0.0470700000
5160,1.43333333,49.26100000,322.41100000,0.0470500000
5220,1.45000000,49.16900000,322.31900000,0.0472000000
5280,1.46666667,49.05600000,322.20600000,0.0471300000
5340,1.48333333,49.25700000,322.40700000,0.0474400000
5400,1.50000000,49.11600000,322.26600000,0.0472800000
5460,1.51666667,49.41500000,322.56500000,0.0476000000
5520,1.53333333,49.32100000,322.47100000,0.0477700000
5580,1.55000000,49.31700000,322.46700000,0.0475100000
5640,1.56666667,49.30400000,322.45400000,0.0478200000
5700,1.58333333,49.49200000,322.64200000,0.0476500000
5760,1.60000000,49.38400000,322.53400000,0.0480200000
5820,1.61666667,49.27200000,322.42200000,0.0477900000
5880,1.63333333,49.31000000,322.46000000,0.0482700000
5940,1.65000000,49.74900000,322.89900000,0.0479500000
6000,1.66666667,49.74300000,322.89300000,0.0484100000
6060,1.68333333,49.66000000,322.81000000,0.0484000000
6120,1.70000000,49.46300000,322.61300000,0.0483600000
6180,1.71666667,49.83000000,322.98000000,0.0485100000
6240,1.73333333,49.75300000,322.90300000,0.0485800000
6300,1.75000000,49.73900000,322.88900000,0.0487100000
6360,1.76666667,49.62200000,322.77200000,0.0484200000
6420,1.78333333,49.55000000,322.70000000,0.0486400000
6480,1.80000000,49.47700000,322.62700000,0.0484500000
6540,1.81666667,49.89100000,323.04100000,0.0487500000
6600,1.83333333,49.68300000,322.83300000,0.0485800000
6660,1.85000000,49.56900000,322.71900000,0.0488200000
6720,1.86666667,49.63300000,322.78300000,0.0488600000
6780,1.88333333,49.78100000,322.93100000,0.0488500000
6840,1.90000000,49.59200000,322.74200000,0.0489200000
6900,1.91666667,49.94100000,323.09100000,0.0490800000
6960,1.93333333,49.90200000,323.05200000,0.0491300000
7020,1.95000000,49.89200000,323.04200000,0.0490200000
7080,1.96666667,49.75900000,322.90900000,0.0491100000
7140,1.98333333,49.86500000,323.01500000,0.0493000000
7200,2.00000000,49.85200000,323.00200000,0.0489400000
7260,2.01666667,49.89300000,323.04300000,0.0489700000
7320,2.03333333,49.61900000,322.76900000,0.0489800000
7380,2.05000000,49.79200000,322.94200000,0.0492900000
7440,2.06666667,49.61200000,322.76200000,0.0492000000
7500,2.08333333,49.84500000,322.99500000,0.0494100000
7560,2.10000000,49.77000000,322.92000000,0.0493800000
7620,2.11666667,49.68300000,322.83300000,0.0492400000
7680,2.13333333,49.66900000,322.81900000,0.0495400000
7740,2.15000000,49.91600000,323.06600000,0.0495000000
7800,2.16666667,49.71400000,322.86400000,0.0492800000
7860,2.18333333,50.09500000,323.24500000,0.0493500000
7920,2.20000000,49.92900000,323.07900000,0.0493400000
7980,2.21666667,49.81700000,322.96700000,0.0492900000
8040,2.23333333,49.94300000,323.09300000,0.0493000000
8100,2.25000000,49.66400000,322.81400000,0.0497100000
8160,2.26666667,50.13500000,323.28500000,0.0494800000
8220,2.28333333,49.90200000,323.05200000,0.0494700000
8280,2.30000000,50.05600000,323.20600000,0.0496600000
8340,2.31666667,49.71000000,322.86000000,0.0495900000
8400,2.33333333,49.91500000,323.06500000,0.0498000000
8460,2.35000000,49.92000000,323.07000000,0.0497300000
8520,2.36666667,50.14700000,323.29700000,0.0496000000
8580,2.38333333,49.96700000,323.11700000,0.0495600000
8640,2.40000000,49.92100000,323.07100000,0.0498800000
8700,2.41666667,49.82100000,322.97100000,0.0497600000
8760,2.43333333,49.85600000,323.00600000,0.0498900000
8820,2.45000000,49.95300000,323.10300000,0.0494900000
8880,2.46666667,49.91500000,323.06500000,0.0498600000
8940,2.48333333,49.70800000,322.85800000,0.0497700000
9000,2.50000000,50.16300000,323.31300000,0.0498100000
9060,2.51666667,50.19800000,323.34800000,0.0500400000
9120,2.53333333,49.82000000,322.97000000,0.0500900000
9180,2.55000000,50.02700000,323.17700000,0.0497600000
9240,2.56666667,49.80400000,322.95400000,0.0499800000
9300,2.58333333,50.08600000,323.23600000,0.0501600000
9360,2.60000000,49.89100000,323.04100000,0.0499000000
9420,2.61666667,50.08000000,323.23000000,0.0499800000
9480,2.63333333,50.11300000,323.26300000,0.0499700000
9540,2.65000000,50.13400000,323.28400000,0.0499000000
9600,2.66666667,49.80400000,322.95400000,0.0502100000
9660,2.68333333,50.20800000,323.35800000,0.0501400000
9720,2.70000000,49.86500000,323.01500000,0.0498100000
9780,2.71666667,49.76900000,322.91900000,0.0502500000
9840,2.73333333,50.02700000,323.17700000,0.0501900000
9900,2.75000000,49.93500000,323.08500000,0.0498900000
9960,2.76666667,50.16500000,323.31500000,0.0501700000
10020,2.78333333,50.15400000,323.30400000,0.0498000000
10080,2.80000000,49.90900000,323.05900000,0.0502500000
10140,2.81666667,50.22600000,323.37600000,0.0500800000
10200,2.83333333,49.89500000,323.04500000,0.0500800000
10260,2.85000000,50.00800000,323.15800000,0.0498000000
10320,2.86666667,49.87800000,323.02800000,0.0502000000
10380,2.88333333,50.21800000,323.36800000,0.0497600000
10440,2.90000000,49.83200000,322.98200000,0.0498700000
10500,2.91666667,49.77200000,322.92200000,0.0498200000
10560,2.93333333,49.96800000,323.11800000,0.0501400000
10620,2.95000000,50.24600000,323.39600000,0.0498500000
10680,2.96666667,50.19600000,323.34600000,0.0502100000
10740,2.98333333,50.12400000,323.27400000,0.0500800000
10800,3.00000000,50.19500000,323.34500000,0.0497700000
10860,3.01666667,50.19700000,323.34700000,0.0497500000
10920,3.03333333,50.00900000,323.15900000,0.0497800000
10980,3.05000000,49.90800000,323.05800000,0.0500500000
11040,3.06666667,50.13600000,323.28600000,0.0501500000
11100,3.08333333,50.08100000,323.23100000,0.0498700000
11160,3.10000000,49.93700000,323.08700000,0.0501700000
11220,3.11666667,49.79700000,322.94700000,0.0497800000
11280,3.13333333,50.12300000,323.27300000,0.0501500000
11340,3.15000000,49.88100000,323.03100000,0.0502100000
11400,3.16666667,50.21800000,323.36800000,0.0501400000
11460,3.18333333,49.87000000,323.02000000,0.0501000000
11520,3.20000000,49.81100000,322.96100000,0.0501700000
11580,3.21666667,50.16600000,323.31600000,0.0497700000
11640,3.23333333,49.82700000,322.97700000,0.0498500000
11700,3.25000000,49.84000000,322.99000000,0.0498100000
11760,3.26666667,50.05000000,323.20000000,0.0500000000
11820,3.28333333,50.18700000,323.33700000,0.0501200000
11880,3.30000000,49.84800000,322.99800000,0.0500700000
11940,3.31666667,49.90500000,323.05500000,0.0501800000
12000,3.33333333,50.13900000,323.28900000,0.0498300000
12060,3.35000000,50.23600000,323.38600000,0.0501200000
12120,3.36666667,50.00000000,323.15000000,0.0498500000
12180,3.38333333,49.82200000,322.97200000,0.0498900000
12240,3.40000000,49.75700000,322.90700000,0.0501000000
12300,3.41666667,49.86500000,323.01500000,0.0502400000
12360,3.43333333,49.81600000,322.96600000,0.0500600000
12420,3.45000000,50.08900000,323.23900000,0.0497800000
12480,3.46666667,49.81100000,322.96100000,0.0500600000
12540,3.48333333,50.00300000,323.15300000,0.0497700000
12600,3.50000000,50.09700000,323.24700000,0.0501900000
12660,3.51666667,50.04100000,323.19100000,0.0501000000
12720,3.53333333,49.85000000,323.00000000,0.0498400000
12780,3.55000000,50.15200000,323.30200000,0.0498000000
12840,3.56666667,50.10800000,323.25800000,0.0498400000
12900,3.58333333,50.11900000,323.26900000,0.0502400000
12960,3.60000000,49.81600000,322.96600000,0.0499800000
13020,3.61666667,49.81200000,322.96200000,0.0501400000
13080,3.63333333,50.21400000,323.36400000,0.0500700000
13140,3.65000000,49.94900000,323.09900000,0.0500400000
13200,3.66666667,49.90000000,323.05000000,0.0498200000
13260,3.68333333,49.99400000,323.14400000,0.0502200000
13320,3.70000000,50.08100000,323.23100000,0.0499000000
13380,3.71666667,50.22800000,323.37800000,0.0500400000
13440,3.73333333,49.89300000,323.04300000,0.0501000000
13500,3.75000000,50.21200000,323.36200000,0.0500700000
13560,3.76666667,49.76200000,322.91200000,0.0502200000
13620,3.78333333,50.02800000,323.17800000,0.0498200000
13680,3.80000000,50.06700000,323.21700000,0.0500000000
13740,3.81666667,49.80300000,322.95300000,0.0499500000
13800,3.83333333,49.82000000,322.97000000,0.0499900000
13860,3.85000000,49.96000000,323.11000000,0.0498100000
13920,3.86666667,50.23300000,323.38300000,0.0498200000
13980,3.88333333,50.04800000,323.19800000,0.0498900000
14040,3.90000000,50.21700000,323.36700000,0.0499000000
14100,3.91666667,50.15200000,323.30200000,0.0499600000
14160,3.93333333,49.98400000,323.13400000,0.0500600000
14220,3.95000000,50.14200000,323.29200000,0.0500700000
14280,3.96666667,49.75900000,322.90900000,0.0499600000
14340,3.98333333,49.80500000,322.95500000,0.0499500000
14400,4.00000000,50.16500000,323.31500000,0.0498600000
14460,4.01666667,49.99591667,323.14591667,0.0499904167
14520,4.03333333,49.99591667,323.14591667,0.0499904167
14580,4.05000000,49.99591667,323.14591667,0.0499904167
14640,4.06666667,49.99591667,323.14591667,0.0499904167
14700,4.08333333,49.99591667,323.14591667,0.0499904167
14760,4.10000000,49.99591667,323.14591667,0.0499904167
14820,4.11666667,49.99591667,323.14591667,0.0499904167
14880,4.13333333,49.99591667,323.14591667,0.0499904167
14940,4.15000000,49.99591667,323.14591667,0.0499904167
15000,4.16666667,49.99591667,323.14591667,0.0499904167
15060,4.18333333,49.99591667,323.14591667,0.0499904167
15120,4.20000000,49.99591667,323.14591667,0.0499904167
15180,4.21666667,49.99591667,323.14591667,0.0499904167
15240,4.23333333,49.99591667,323.14591667,0.0499904167
15300,4.25000000,49.99591667,323.14591667,0.0499904167
15360,4.26666667,49.99591667,323.14591667,0.0499904167
15420,4.28333333,49.99591667,323.14591667,0.0499904167
15480,4.30000000,49.99591667,323.14591667,0.0499904167
15540,4.31666667,49.99591667,323.14591667,0.0499904167
15600,4.33333333,49.99591667,323.14591667,0.0499904167
15660,4.35000000,49.99591667,323.14591667,0.0499904167
15720,4.36666667,49.99591667,323.14591667,0.0499904167
15780,4.38333333,49.99591667,323.14591667,0.0499904167
15840,4.40000000,49.99591667,323.14591667,0.0499904167
15900,4.41666667,49.99591667,323.14591667,0.0499904167
15960,4.43333333,49.99591667,323.14591667,0.0499904167
16020,4.45000000,49.99591667,323.14591667,0.0499904167
16080,4.46666667,49.99591667,323.14591667,0.0499904167
16140,4.48333333,49.99591667,323.14591667,0.0499904167
16200,4.50000000,49.99591667,323.14591667,0.0499904167
16260,4.51666667,49.99591667,323.14591667,0.0499904167
16320,4.53333333,49.99591667,323.14591667,0.0499904167
16380,4.55000000,49.99591667,323.14591667,0.0499904167
16440,4.56666667,49.99591667,323.14591667,0.0499904167
16500,4.58333333,49.99591667,323.14591667,0.0499904167
16560,4.60000000,49.99591667,323.14591667,0.0499904167
16620,4.61666667,49.99591667,323.14591667,0.0499904167
16680,4.63333333,49.99591667,323.14591667,0.0499904167
16740,4.65000000,49.99591667,323.14591667,0.0499904167
16800,4.66666667,49.99591667,323.14591667,0.0499904167
16860,4.68333333,49.99591667,323.14591667,0.0499904167
16920,4.70000000,49.99591667,323.14591667,0.0499904167
16980,4.71666667,49.99591667,323.14591667,0.0499904167
17040,4.73333333,49.99591667,323.14591667,0.0499904167
17100,4.75000000,49.99591667,323.14591667,0.0499904167
17160,4.76666667,49.99591667,323.14591667,0.0499904167
17220,4.78333333,49.99591667,323.14591667,0.0499904167
17280,4.80000000,49.99591667,323.14591667,0.0499904167
17340,4.81666667,49.99591667,323.14591667,0.0499904167
