time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549993,2.549936,2.549442,2.545413,2.515647,2.340887
120,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549988,2.549914,2.549450,2.546600,2.531457,2.465009,2.252037
180,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549988,2.549929,2.549601,2.547963,2.540356,2.510563,2.415777,2.187975
240,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549991,2.549950,2.549747,2.548820,2.545014,2.530781,2.486089,2.370832,2.136322
300,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549993,2.549969,2.549849,2.549341,2.547353,2.540410,2.518512,2.460133,2.329977,2.092704
360,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549980,2.549914,2.549636,2.548598,2.545044,2.534181,2.504253,2.433828,2.292665,2.054663
420,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549997,2.549988,2.549949,2.549804,2.549253,2.547420,2.541814,2.526482,2.488610,2.407777,2.258360,2.020833
480,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549993,2.549971,2.549888,2.549607,2.548642,2.545730,2.537649,2.517520,2.472051,2.382296,2.226625,1.990227
540,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549984,2.549938,2.549781,2.549290,2.547749,2.543479,2.532583,2.507507,2.454918,2.357524,2.197077,1.962391
600,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549997,2.549990,2.549966,2.549880,2.549608,2.548818,2.546528,2.540642,2.526675,2.496633,2.437450,2.333512,2.169439,1.936845
660,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549994,2.549981,2.549935,2.549787,2.549350,2.548159,2.544945,2.537214,2.519996,2.485061,2.419817,2.310269,2.143478,1.913333
720,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549997,2.549989,2.549964,2.549885,2.549646,2.548982,2.547282,2.542972,2.533202,2.512621,2.472932,2.402147,2.287798,2.119028,1.891467
780,2.550000,2.550000,2.550000,2.550000,2.549999,2.549998,2.549994,2.549979,2.549936,2.549808,2.549443,2.548485,2.546161,2.540596,2.528627,2.504628,2.460367,2.384538,2.266087,2.095923,1.871092
840,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549988,2.549964,2.549893,2.549696,2.549164,2.547836,2.544773,2.537808,2.523517,2.496090,2.447467,2.367063,2.245116,2.074040,1.851969
900,2.550000,2.550000,2.550000,2.549999,2.549998,2.549993,2.549979,2.549939,2.549829,2.549539,2.548792,2.547017,2.543103,2.534608,2.517903,2.487078,2.434322,2.349780,2.224862,2.053257,1.833954
960,2.550000,2.550000,2.549999,2.549998,2.549996,2.549988,2.549965,2.549903,2.549739,2.549327,2.548313,2.546009,2.541138,2.531002,2.511820,2.477655,2.420999,2.332719,2.205278,2.033459,1.817029
1020,2.550000,2.550000,2.549999,2.549997,2.549992,2.549979,2.549944,2.549850,2.549616,2.549048,2.547713,2.544799,2.538869,2.526999,2.505302,2.467877,2.407556,2.315905,2.186339,2.014586,1.800982
1080,2.549999,2.549999,2.549998,2.549995,2.549987,2.549967,2.549913,2.549778,2.549451,2.548692,2.546977,2.543374,2.536291,2.522611,2.498385,2.457795,2.394037,2.299349,2.168001,1.996544,1.785929
1140,2.549999,2.549998,2.549997,2.549992,2.549979,2.549948,2.549870,2.549680,2.549238,2.548248,2.546093,2.541721,2.533404,2.517851,2.491100,2.447450,2.380477,2.283058,2.150236,1.979299,1.771644
1200,2.549998,2.549997,2.549994,2.549987,2.549968,2.549922,2.549812,2.549551,2.548967,2.547704,2.545049,2.539835,2.530206,2.512736,2.483477,2.436881,2.366910,2.267045,2.133030,1.962791,1.758098
1260,2.549997,2.549995,2.549991,2.549979,2.549951,2.549886,2.549733,2.549385,2.548630,2.547050,2.543834,2.537706,2.526703,2.507283,2.475547,2.426128,2.353368,2.251324,2.116367,1.946970,1.745126
1320,2.549994,2.549993,2.549986,2.549969,2.549928,2.549837,2.549631,2.549175,2.548218,2.546276,2.542439,2.535333,2.522898,2.501509,2.467341,2.415223,2.339875,2.235891,2.100207,1.931766,1.732856
1380,2.549991,2.549988,2.549978,2.549953,2.549897,2.549773,2.549500,2.548915,2.547723,2.545371,2.540857,2.532711,2.518798,2.495432,2.458883,2.404190,2.326445,2.220741,2.084524,1.917165,1.721173
1440,2.549986,2.549982,2.549968,2.549932,2.549855,2.549689,2.549334,2.548597,2.547135,2.544327,2.539079,2.529840,2.514410,2.489068,2.450198,2.393058,2.313098,2.205883,2.069314,1.903128,1.709957
1500,2.549978,2.549973,2.549953,2.549904,2.549800,2.549582,2.549130,2.548215,2.546446,2.543136,2.537102,2.526720,2.509744,2.482438,2.441314,2.381855,2.299859,2.191326,2.054567,1.889615,1.699114
1560,2.549968,2.549960,2.549932,2.549866,2.549729,2.549448,2.548880,2.547760,2.545648,2.541791,2.534920,2.523354,2.504811,2.475561,2.432255,2.370605,2.286741,2.177066,2.040248,1.876567,1.688746
1620,2.549953,2.549942,2.549904,2.549817,2.549638,2.549282,2.548579,2.547226,2.544734,2.540284,2.532532,2.519744,2.499621,2.468454,2.423044,2.359328,2.273754,2.163096,2.026338,1.863975,1.678739
1680,2.549933,2.549918,2.549868,2.549754,2.549525,2.549080,2.548221,2.546606,2.543696,2.538610,2.529935,2.515895,2.494187,2.461137,2.413700,2.348042,2.260907,2.149410,2.012817,1.851799,1.669128
1740,2.549906,2.549886,2.549820,2.549674,2.549386,2.548836,2.547799,2.545892,2.542528,2.536765,2.527129,2.511813,2.488519,2.453624,2.404241,2.336756,2.248195,2.135987,1.999647,1.840020,1.659989
1800,2.549870,2.549844,2.549759,2.549574,2.549216,2.548546,2.547308,2.545078,2.541223,2.534745,2.524113,2.507502,2.482628,2.445929,2.394678,2.325477,2.235618,2.122818,1.986822,1.828642,1.651222
1860,2.549823,2.549790,2.549682,2.549451,2.549010,2.548203,2.546740,2.544158,2.539776,2.532546,2.520888,2.502967,2.476523,2.438065,2.385025,2.314216,2.223180,2.109901,1.974336,1.817643,1.642803
1920,2.549763,2.549722,2.549586,2.549300,2.548765,2.547802,2.546090,2.543124,2.538182,2.530166,2.517456,2.498214,2.470215,2.430046,2.375299,2.302988,2.210892,2.097248,1.962197,1.807009,1.634576
1980,2.549687,2.549635,2.549467,2.549118,2.548475,2.547337,2.545351,2.541971,2.536435,2.527602,2.513818,2.493251,2.463718,2.421889,2.365516,2.291808,2.198768,2.084859,1.950387,1.796690,1.626601
2040,2.549591,2.549528,2.549322,2.548900,2.548135,2.546803,2.544517,2.540694,2.534532,2.524854,2.509979,2.488087,2.457043,2.413609,2.355689,2.280685,2.186805,2.072721,1.938875,1.786669,1.618902
2100,2.549473,2.549396,2.549147,2.548641,2.547740,2.546194,2.543583,2.539287,2.532471,2.521922,2.505941,2.482729,2.450202,2.405217,2.345832,2.269627,2.175005,2.060828,1.927656,1.776938,1.611401
2160,2.549329,2.549235,2.548937,2.548338,2.547284,2.545503,2.542542,2.537747,2.530248,2.518807,2.501710,2.477185,2.443206,2.396728,2.335956,2.258644,2.163372,2.049176,1.916717,1.767476,1.604113
2220,2.549153,2.549042,2.548687,2.547984,2.546762,2.544726,2.541391,2.536068,2.527862,2.515510,2.497291,2.471464,2.436066,2.388153,2.326070,2.247737,2.151899,2.037749,1.906035,1.758268,1.597109
2280,2.548942,2.548810,2.548394,2.547574,2.546168,2.543856,2.540123,2.534248,2.525311,2.512031,2.492687,2.465574,2.428793,2.379501,2.316182,2.236910,2.140586,2.026542,1.895607,1.749319,1.590273
2340,2.548692,2.548537,2.548050,2.547103,2.545497,2.542889,2.538733,2.532282,2.522594,2.508374,2.487905,2.459523,2.421395,2.370783,2.306299,2.226167,2.129429,2.015547,1.885417,1.740600,1.583671
2400,2.548396,2.548216,2.547653,2.546566,2.544743,2.541819,2.537219,2.530169,2.519711,2.504540,2.482950,2.453318,2.413882,2.362005,2.296427,2.215510,2.118426,2.004759,1.875463,1.732117,1.577230
2460,2.548049,2.547841,2.547194,2.545956,2.543900,2.540640,2.535575,2.527906,2.516662,2.500533,2.477826,2.446967,2.406263,2.353178,2.286573,2.204941,2.107576,1.994171,1.865732,1.723848,1.571011
2520,2.547647,2.547408,2.546670,2.545269,2.542964,2.539349,2.533797,2.525491,2.513447,2.496355,2.472540,2.440478,2.398545,2.344308,2.276741,2.194462,2.096878,1.983780,1.856220,1.715797,1.564935
2580,2.547182,2.546911,2.546074,2.544498,2.541928,2.537940,2.531884,2.522922,2.510066,2.492009,2.467097,2.433858,2.390739,2.335406,2.266941,2.184081,2.086338,1.973593,1.846933,1.707945,1.558933
2640,2.546649,2.546343,2.545400,2.543637,2.540788,2.536410,2.529830,2.520199,2.506522,2.487501,2.461505,2.427117,2.382853,2.326479,2.257180,2.173802,2.075954,1.963596,1.837843,1.700262,1.553134
2700,2.546043,2.545698,2.544643,2.542681,2.539539,2.534753,2.527635,2.517320,2.502816,2.482833,2.455769,2.420261,2.374896,2.317534,2.247459,2.163621,2.065716,1.953776,1.828938,1.692761,1.547470
2760,2.545356,2.544971,2.543796,2.541625,2.538175,2.532967,2.525295,2.514286,2.498950,2.478010,2.449895,2.413297,2.366874,2.308577,2.237785,2.153544,2.055631,1.944143,1.820232,1.685433,1.541859
2820,2.544583,2.544155,2.542853,2.540463,2.536692,2.531048,2.522809,2.511097,2.494927,2.473037,2.443891,2.406236,2.358797,2.299619,2.228167,2.143578,2.045702,1.934694,1.811712,1.678252,1.536327
2880,2.543717,2.543245,2.541809,2.539190,2.535086,2.528993,2.520176,2.507754,2.490749,2.467919,2.437763,2.399083,2.350673,2.290666,2.218607,2.133720,2.035920,1.925411,1.803350,1.671205,1.530956
2940,2.542753,2.542233,2.540659,2.537801,2.533353,2.526799,2.517395,2.504257,2.486420,2.462662,2.431518,2.391848,2.342509,2.281722,2.209108,2.123970,2.026283,1.916294,1.795157,1.664309,1.525630
3000,2.541684,2.541115,2.539396,2.536292,2.531489,2.524465,2.514465,2.500609,2.481944,2.457270,2.425163,2.384536,2.334312,2.272795,2.199676,2.114333,2.016794,1.907341,1.787123,1.657532,1.520361
3060,2.540505,2.539885,2.538016,2.534657,2.529491,2.521988,2.511386,2.496811,2.477324,2.451750,2.418705,2.377157,2.326090,2.263890,2.190315,2.104808,2.007447,1.898545,1.779237,1.650876,1.515183
3120,2.539209,2.538537,2.536514,2.532893,2.527356,2.519366,2.508159,2.492865,2.472564,2.446107,2.412149,2.369715,2.317848,2.255010,2.181021,2.095388,1.998229,1.889884,1.771475,1.644329,1.510187
3180,2.537793,2.537066,2.534884,2.530996,2.525082,2.516599,2.504784,2.488774,2.467668,2.440345,2.405502,2.362215,2.309587,2.246153,2.171792,2.086065,1.989130,1.881351,1.763843,1.637923,1.505301
3240,2.536251,2.535468,2.533124,2.528962,2.522665,2.513686,2.501261,2.484539,2.462639,2.434469,2.398768,2.354662,2.301312,2.237324,2.162628,2.076841,1.980154,1.872955,1.756352,1.631641,1.500477
3300,2.534578,2.533738,2.531228,2.526789,2.520104,2.510626,2.497592,2.480164,2.457482,2.428484,2.391951,2.347061,2.293027,2.228524,2.153532,2.067716,1.971301,1.864693,1.748992,1.625470,1.495728
3360,2.532769,2.531871,2.529193,2.524474,2.517397,2.507418,2.493777,2.475649,2.452199,2.422394,2.385058,2.339417,2.284737,2.219759,2.144507,2.058694,1.962573,1.856568,1.741767,1.619404,1.490982
