时间/h（z=0中截面）,0 cm,0.5 cm,1 cm,1.5 cm,2 cm
6,1.018234,0.989319,0.902563,0.755879,0.533514
12,0.457041,0.444004,0.403806,0.330305,0.164721
18,0.299303,0.291982,0.269075,0.225559,0.084621
24,0.238070,0.232992,0.216939,0.185701,0.066522
30,0.206007,0.202015,0.189311,0.164194,0.059860
36,0.186013,0.182655,0.171917,0.150450,0.056655
42,0.172172,0.169231,0.159790,0.140760,0.054854
48,0.161915,0.159268,0.150753,0.133477,0.053733
54,0.153941,0.151516,0.143697,0.127752,0.052982
烘干结束时间,0.150000,0.147682,0.140200,0.124901,0.052649
