time_s,oven_temperature_C,oven_moisture_kg_kg,surface_temperature_C,surface_moisture_kg_kg,water_mass_flux_kg_m2_s,latent_heat_J_kg,latent_heat_flux_W_m2,convective_heat_flux_W_m2,conductive_heat_flux_W_m2,surface_energy_residual_W_m2
60,28.528,0.02002,19.95233242,2.294207964,0.0005003982259,2453712.495,1227.83338,214.3916894,-1013.44169,-1.285116014e-09
120,29.192,0.02053,17.38545393,2.180691872,0.0004753086313,2459770.329,1169.150068,295.1636517,-873.9864166,7.469225238e-10
180,29.684,0.021,15.71609496,2.093430584,0.0004560047825,2463710.016,1123.46355,349.1976259,-774.2659241,8.274128049e-10
240,30.037,0.02151,14.4861247,2.020618807,0.000439871513,2466612.746,1084.99268,388.7718824,-696.220798,-3.371496859e-09
300,30.834,0.02191,13.5809149,1.957767798,0.000425954153,2468749.041,1051.573907,431.3271276,-620.246779,-3.547029337e-10
360,31.293,0.02233,12.86541145,1.902338526,0.0004136654253,2470437.629,1021.934632,460.6897138,-561.2449186,2.285673872e-09
420,31.82,0.02278,12.2917934,1.852640566,0.000402631179,2471791.368,995.2202725,488.205165,-507.0151075,-4.711182555e-10
480,32.121,0.02325,11.80496944,1.807523311,0.0003926004418,2472940.272,970.8774433,507.9007641,-462.9766793,-8.84142537e-10
540,32.73,0.02377,11.4237741,1.766328862,0.0003834218529,2473839.893,948.5242757,532.6556474,-415.8686283,-2.150613909e-09
600,33.202,0.02428,11.1138586,1.728542431,0.0003749953437,2474571.294,927.9527127,552.203535,-375.7491777,3.976765584e-10
660,33.879,0.02465,10.8837066,1.693748626,0.0003672581179,2475114.452,909.0058753,574.882335,-334.1235403,-1.125840754e-09
720,34.268,0.02506,10.68729857,1.661509474,0.000360074201,2475577.975,891.3917614,589.5175357,-301.8742257,-4.757794159e-10
780,34.806,0.02552,10.53901762,1.631508406,0.0003533717363,2475927.918,874.9229476,606.6745594,-268.2483882,-3.331024345e-10
840,35.142,0.02612,10.41333051,1.603492747,0.000347075324,2476224.54,859.4364344,618.2167373,-241.2196971,-2.099000085e-09
900,35.524,0.0266,10.31534327,1.577203609,0.0003411852088,2476455.79,844.9300857,630.2164184,-214.7136673,3.37649908e-11
960,36.091,0.02687,10.26818407,1.552614024,0.0003357152598,2476567.086,831.4213626,645.5703982,-185.8509644,-1.145963324e-09
1020,36.354,0.02732,10.22799741,1.529506185,0.0003305317389,2476661.926,818.6153731,653.1500647,-165.4653084,4.00746103e-10
1080,37.067,0.02793,10.25136207,1.507916858,0.0003256471365,2476606.786,806.499908,670.3909481,-136.1089598,-5.785523172e-10
1140,37.419,0.02826,10.28541392,1.487691166,0.0003211241893,2476526.423,795.27254,678.3396521,-116.9328879,1.24532562e-09
1200,37.882,0.02891,10.34235881,1.468654471,0.000316792451,2476392.033,784.5023018,688.4910297,-96.01127218,-1.044895725e-09
1260,38.134,0.02921,10.39911896,1.450636723,0.0003127619273,2476258.079,774.4792493,693.3720259,-81.10722341,-2.411297828e-10
1320,38.767,0.02961,10.5065635,1.433716188,0.000308950824,2476004.51,764.9636338,706.5109125,-58.45272127,-1.607759259e-09
1380,39.125,0.03029,10.62441472,1.417869327,0.000305314356,2475726.381,755.8748057,712.5146321,-43.36017359,9.874838724e-10
1440,39.458,0.03051,10.74594968,1.402831886,0.0003019572033,2475439.559,747.476806,717.801258,-29.67554802,-7.947846825e-10
1500,39.595,0.03098,10.85450409,1.388478056,0.0002986954597,2475183.37,739.3260346,718.5123978,-20.81363682,1.906983016e-09
1560,40.061,0.03137,10.99877017,1.37488782,0.0002956193352,2474842.902,731.6114135,726.5557457,-5.055667789,1.332182364e-09
1620,40.238,0.03179,11.13844609,1.362007183,0.0002926927454,2474513.267,724.2720817,727.4888478,3.216766104,5.62522473e-10
1680,40.621,0.03219,11.29977958,1.349782254,0.0002899148343,2474132.52,717.2877196,733.0305105,15.74279088,3.434479368e-10
1740,41.166,0.03262,11.50239931,1.3383636,0.0002873077298,2473654.338,710.7000121,741.5900173,30.89000528,-1.497141966e-09
1800,41.513,0.03307,11.71008082,1.327649328,0.0002848512127,2473164.209,704.4838242,745.0729794,40.5891552,-2.791011866e-10
1860,41.918,0.03345,11.92941124,1.317531155,0.0002825412597,2472646.589,698.6246822,749.7147191,51.09003689,-1.104695002e-09
1920,41.952,0.03403,12.11672502,1.30783207,0.0002802795135,2472204.529,692.9082827,745.8818746,52.97359194,9.810037227e-10
1980,42.263,0.03447,12.31820408,1.29852727,0.000278135328,2471729.038,687.4751668,748.619898,61.14473125,-6.617710824e-10
2040,42.589,0.03476,12.53744049,1.289719428,0.0002761334953,2471211.64,682.384308,751.2889877,68.90467967,9.706582205e-10
2100,42.745,0.03513,12.74677626,1.281304534,0.0002742005216,2470717.608,677.4720568,749.9555935,72.48353667,8.121787687e-10
2160,42.985,0.03558,12.96135928,1.273254192,0.0002723301591,2470211.192,672.713007,750.591018,77.878011,6.062919056e-10
