time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,27.999892,27.999861,27.999748,27.999472,27.998840,27.997459,27.994488,27.988340,27.976025,27.952280,27.908070,27.829373,27.694701,27.474553,27.129910,26.614133,25.877695,24.871396,23.558903,21.920090,19.952332
120,27.971979,27.969457,27.961539,27.946753,27.922333,27.884519,27.827314,27.743194,27.621998,27.451116,27.214793,26.895632,26.473342,25.927564,25.237465,24.384463,23.354658,22.138397,20.735039,19.149443,17.385454
180,27.761704,27.751378,27.720123,27.665557,27.583394,27.468845,27.314291,27.111765,26.851401,26.522480,26.112985,25.611646,25.006473,24.287480,23.445727,22.475123,21.373457,20.141276,18.784243,17.308972,15.716095
240,27.255375,27.236348,27.179509,27.082709,26.942039,26.754054,26.512399,26.211444,25.844191,25.403636,24.882276,24.274045,23.572726,22.774254,21.875601,20.876049,19.777658,18.584127,17.302005,15.936738,14.486125
300,26.483301,26.457668,26.381544,26.253365,26.070161,25.830260,25.529147,25.163723,24.729807,24.223581,23.641034,22.979693,22.237052,21.412549,20.506490,19.521066,18.460604,17.330588,16.138261,14.889123,13.580915
360,25.529107,25.499395,25.411431,25.264202,25.055630,24.785513,24.450944,24.050843,23.583234,23.046689,22.439727,21.762338,21.014482,20.197756,19.314380,18.367959,17.363541,16.306680,15.203576,14.057935,12.865411
420,24.472818,24.441121,24.347448,24.191217,23.971055,23.687809,23.339787,22.927332,22.450015,21.908021,21.301529,20.632054,19.901029,19.111246,18.265931,17.369368,16.426884,15.444020,14.426461,13.377267,12.291793
480,23.376133,23.343963,23.248999,23.090959,22.868980,22.584579,22.236909,21.827235,21.356143,20.824852,20.234598,19.587818,18.886829,18.135070,17.336253,16.494856,15.616028,14.704807,13.765891,12.801158,11.804969
540,22.281772,22.250135,22.156811,22.001723,21.784354,21.506612,21.168211,20.770966,20.316085,19.805397,19.240760,18.625113,17.961269,17.253015,16.504365,15.720001,14.905173,14.065042,13.204398,12.325501,11.423774
600,21.217313,21.186836,21.096981,20.947800,20.739014,20.472736,20.149053,19.770099,19.337479,18.853404,18.320145,17.740967,17.119025,16.458330,15.763063,15.037925,14.287991,13.518079,12.732400,11.932607,11.113859
660,20.199752,20.170824,20.085564,19.944115,19.746368,19.494529,19.188939,18.831907,18.425269,17.971451,17.472951,16.933180,16.355452,15.743854,15.102630,14.436495,13.750488,13.049438,12.337601,11.616971,10.883707
720,19.239519,19.212370,19.132377,18.999744,18.814486,18.578820,18.293269,17.960213,17.581627,17.160051,16.698113,16.199277,15.666919,15.105084,14.517910,13.909864,13.285546,12.649178,12.004192,11.351710,10.687299
780,18.342637,18.317394,18.243039,18.119812,17.947818,17.729231,17.464687,17.156557,16.806850,16.418104,15.992940,15.534730,15.046763,14.532912,13.997139,13.443697,12.876966,12.301024,11.719267,11.133102,10.539018
840,17.511956,17.488660,17.420054,17.306396,17.147848,16.946499,16.703044,16.419787,16.098719,15.742324,15.353172,14.934517,14.489539,14.021929,13.535424,13.033971,12.521535,12.001689,11.477237,10.949029,10.413331
900,16.747698,16.726330,16.663406,16.559197,16.413898,16.229490,16.006690,15.747702,15.454446,15.129298,14.774712,14.393757,13.989425,13.565163,13.124450,12.670945,12.208316,11.739891,11.268315,10.794515,10.315343
960,16.048406,16.028900,15.971469,15.876380,15.743849,15.575726,15.372730,15.136937,14.870178,14.574704,14.252857,13.907539,13.541613,13.158368,12.761169,12.353588,11.939259,11.521594,11.103471,10.686347,10.268184
1020,15.411416,15.393687,15.341495,15.255102,15.134740,14.982140,14.798021,14.584346,14.342877,14.075771,13.785283,13.474184,13.145217,12.801492,12.446157,12.082470,11.713632,11.342502,10.971259,10.600622,10.227997
1080,14.833872,14.817840,14.770652,14.692567,14.583831,14.446055,14.279952,14.087366,13.869966,13.629783,13.368948,13.090059,12.795713,12.488869,12.172586,11.850130,11.524858,11.200054,10.878646,10.562602,10.251362
1140,14.312982,14.298562,14.256127,14.185929,14.088229,13.964527,13.815534,13.642998,13.448531,13.234096,13.001777,12.754093,12.493593,12.223139,11.945667,11.664223,11.381808,11.101187,10.824570,10.553081,10.285414
1200,13.846039,13.833163,13.795281,13.732645,13.645534,13.535348,13.402805,13.249554,13.077136,12.887413,12.682358,12.464324,12.235690,11.999103,11.757281,11.513053,11.269233,11.028500,10.793126,10.564568,10.342359
1260,13.430820,13.419420,13.385885,13.330464,13.253445,13.156120,13.039193,12.904204,12.752611,12.586160,12.406711,12.216453,12.017604,11.812601,11.603919,11.394081,11.185527,10.980490,10.780733,10.587206,10.399119
1320,13.064689,13.054680,13.025245,12.976623,12.909103,12.823865,12.721589,12.603691,12.471527,12.326713,12.170971,12.006321,11.834834,11.658801,11.480619,11.302821,11.128003,10.958796,10.797637,10.646578,10.506564
1380,12.744575,12.735864,12.710252,12.667970,12.609308,12.535342,12.446742,12.344827,12.230892,12.106481,11.973264,11.833189,11.688282,11.540763,11.392940,11.247202,11.105900,10.971315,10.845391,10.729605,10.624415
1440,12.467565,12.460080,12.438082,12.401800,12.351532,12.288271,12.212682,12.126000,12.029456,11.924506,11.812723,11.695911,11.575945,11.454845,11.334698,11.217643,11.105769,11.001115,10.905435,10.820150,10.745950
1500,12.231457,12.225133,12.206558,12.175953,12.133620,12.080456,12.017108,11.944707,11.864399,11.777520,11.685517,11.590017,11.492706,11.395366,11.299811,11.207850,11.121191,11.041435,10.969868,10.907445,10.854504
1560,12.033752,12.028506,12.013109,11.987765,11.952768,11.908914,11.856808,11.797462,11.731910,11.661349,11.587077,11.510546,11.433278,11.356903,11.283137,11.213780,11.150669,11.095744,11.050880,11.017967,10.998770
1620,11.871282,11.867017,11.854504,11.833936,11.805593,11.770183,11.728275,11.680791,11.628690,11.573088,11.515214,11.456435,11.398206,11.342063,11.289612,11.242478,11.202231,11.170422,11.148392,11.137376,11.138446
1680,11.740915,11.737550,11.727690,11.711519,11.689314,11.661704,11.629240,11.592757,11.553143,11.511422,11.468722,11.426281,11.385432,11.347579,11.314221,11.286922,11.267272,11.256982,11.257723,11.271315,11.299780
1740,11.640195,11.637662,11.630252,11.618140,11.601600,11.581189,11.557439,11.531114,11.503049,11.474209,11.445679,11.418653,11.394456,11.374508,11.360377,11.353755,11.356421,11.370381,11.397693,11.440740,11.502399
1800,11.566934,11.565178,11.560061,11.551756,11.540545,11.526935,11.511468,11.494871,11.477970,11.461718,11.447206,11.435618,11.428290,11.426622,11.432146,11.446464,11.471186,11.508061,11.558783,11.625301,11.710081
1860,11.519846,11.518845,11.515956,11.511355,11.505340,11.498376,11.491016,11.483954,11.477991,11.474044,11.473163,11.476460,11.485196,11.500675,11.524329,11.557660,11.602200,11.659672,11.731817,11.820771,11.929411
1920,11.498270,11.498003,11.497275,11.496265,11.495275,11.494726,11.495167,11.497243,11.501716,11.509447,11.521419,11.538642,11.562254,11.593376,11.633193,11.682858,11.743430,11.815998,11.901519,12.001167,12.116725
1980,11.501186,11.501613,11.502929,11.505305,11.509040,11.514487,11.522170,11.532644,11.546589,11.564743,11.587953,11.617055,11.653006,11.696739,11.749284,11.811704,11.885090,11.970743,12.070055,12.184927,12.318204
2040,11.526700,11.527749,11.530894,11.536293,11.544227,11.554978,11.569031,11.586862,11.609076,11.636335,11.669415,11.709085,11.756260,11.811849,11.876885,11.952465,12.039730,12.140059,12.254932,12.386374,12.537440
2100,11.572228,11.573829,11.578600,11.586688,11.598369,11.613875,11.633672,11.658185,11.687979,11.723671,11.765994,11.815663,11.873533,11.940434,12.017296,12.105067,12.204681,12.317239,12.443872,12.586187,12.746776
2160,11.635834,11.637941,11.644203,11.654762,11.669891,11.689773,11.714859,11.745519,11.782269,11.825660,11.876350,11.934960,12.002249,12.078941,12.165868,12.263900,12.373934,12.497100,12.634644,12.788407,12.961359
2220,11.716007,11.718575,11.726192,11.738994,11.757244,11.781082,11.810937,11.847127,11.890125,11.940432,11.998665,12.065402,12.141387,12.227348,12.324170,12.432828,12.554396,12.690279,12.842095,13.012197,13.204251
2280,11.811176,11.814162,11.823014,11.837861,11.858970,11.886446,11.920719,11.962082,12.010996,12.067954,12.133572,12.208419,12.293232,12.388707,12.495661,12.614931,12.747351,12.893955,13.055840,13.234677,13.433297
2340,11.920303,11.923688,11.933716,11.950517,11.974362,12.005326,12.043838,12.090159,12.144723,12.207981,12.280501,12.362794,12.455540,12.559390,12.675152,12.803729,12.946125,13.103711,13.278108,13.471760,13.688553
2400,12.042726,12.046488,12.057625,12.076267,12.102683,12.136925,12.179417,12.230399,12.290293,12.359539,12.438705,12.528290,12.628971,12.741371,12.866236,13.004334,13.156427,13.323498,13.506611,13.707461,13.928989
2460,12.177714,12.181835,12.194031,12.214431,12.243307,12.280685,12.326986,12.382419,12.447377,12.522259,12.607583,12.703784,12.811478,12.931229,13.063765,13.209894,13.370520,13.546923,13.740640,13.954070,14.191109
2520,12.324634,12.329092,12.342279,12.364320,12.395490,12.435785,12.485622,12.545186,12.614855,12.695014,12.786173,12.888756,13.003372,13.130564,13.271009,13.425410,13.594481,13.779192,13.980633,14.200596,14.442201
2580,12.482709,12.487484,12.501605,12.525197,12.558535,12.601589,12.654773,12.718239,12.792335,12.877399,12.973878,13.082106,13.202573,13.335668,13.481871,13.641648,13.815435,14.003885,14.207749,14.428443,14.668661
2640,12.651224,12.656288,12.671258,12.696251,12.731531,12.777030,12.833131,12.899932,12.977720,13.066760,13.167421,13.279958,13.404801,13.542313,13.693028,13.857577,14.036723,14.231660,14.443918,14.675977,14.931899
2700,12.828814,12.834119,12.849799,12.875964,12.912867,12.960413,13.018972,13.088619,13.169633,13.262279,13.366946,13.483920,13.613683,13.756649,13.913384,14.084497,14.270636,14.472744,14.691926,14.930043,15.190325
2760,13.014226,13.019753,13.036086,13.063336,13.101761,13.151252,13.212183,13.284616,13.368820,13.465037,13.573622,13.694800,13.828964,13.976391,14.137460,14.312528,14.501923,14.706193,14.925984,15.162614,15.418661
2820,13.207056,13.212791,13.229738,13.258000,13.297829,13.349090,13.412131,13.486970,13.573822,13.672858,13.784343,13.908398,14.045298,14.195204,14.358393,14.535156,14.725824,14.931032,15.151627,15.389244,15.646883
2880,13.406377,13.412279,13.429715,13.458777,13.499703,13.552320,13.616947,13.693559,13.782324,13.883373,13.996936,14.123112,14.262186,14.414368,14.580042,14.759679,14.953878,15.163649,15.390318,15.636125,15.904800
2940,13.610666,13.616696,13.634507,13.664188,13.705969,13.759667,13.825596,13.903723,13.994221,14.097227,14.212989,14.341623,14.483415,14.638544,14.807294,14.989923,15.186653,15.397899,15.624146,15.866491,16.127181
3000,13.819111,13.825258,13.843415,13.873671,13.916253,13.970964,14.038108,14.117627,14.209661,14.314294,14.431705,14.561918,14.705116,14.861371,15.030881,15.213876,15.410655,15.621853,15.848359,16.091883,16.355487
3060,14.031255,14.037496,14.055929,14.086632,14.129825,14.185286,14.253297,14.333772,14.426818,14.532496,14.650955,14.782204,14.926413,15.083652,15.254110,15.437997,15.635557,15.847317,16.073987,16.316999,16.579017
3120,14.246101,14.252409,14.271034,14.302052,14.345674,14.401665,14.470295,14.551460,14.645255,14.751726,14.871024,15.003168,15.148378,15.306820,15.478862,15.665017,15.865979,16.082943,16.317501,16.572245,16.851291
3180,14.462920,14.469281,14.488065,14.519350,14.563352,14.619842,14.689109,14.771077,14.865882,14.973634,15.094565,15.228794,15.376643,15.538361,15.714348,15.905038,16.110881,16.332600,16.571046,16.827752,17.105435
3240,14.681919,14.688359,14.707378,14.739063,14.783645,14.840910,14.911170,14.994362,15.090639,15.200111,15.322998,15.459377,15.609505,15.773536,15.951756,16.144476,16.352045,16.575123,16.814567,17.071994,17.350273
3300,14.903999,14.910534,14.929834,14.961987,15.007225,15.065326,15.136598,15.220965,15.318562,15.429476,15.553897,15.691869,15.843613,16.009248,16.189028,16.383243,16.592231,16.816655,17.057384,17.316060,17.595556
