time_s,time_h,temperature_20270912,moisture_20270912,temperature_20270913,moisture_20270913,temperature_20270914,moisture_20270914,temperature_20270915,moisture_20270915,temperature_20270916,moisture_20270916,temperature_20270917,moisture_20270917,temperature_20270918,moisture_20270918,temperature_20270919,moisture_20270919,temperature_20270920,moisture_20270920,temperature_20270921,moisture_20270921,temperature_20270922,moisture_20270922,temperature_20270923,moisture_20270923
14400.0000000000,4.0000000000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000,50.1650000000,0.0498600000
14460.0000000000,4.0166666667,50.3079376326,0.0499291486,49.6643370853,0.0501444792,50.0009964086,0.0498761200,49.8881983122,0.0500474384,49.9867296933,0.0497321791,49.9628210344,0.0497953522,49.7331905230,0.0497335585,50.0175156296,0.0499100380,49.7926240045,0.0497734209,49.9175196472,0.0501308203,50.2074109556,0.0500158202,50.0536121953,0.0500587655
14520.0000000000,4.0333333333,49.9942142380,0.0498463440,50.0730333973,0.0499699259,49.8944137484,0.0498010487,50.2465973874,0.0496620437,49.9985874198,0.0497648426,49.8193557360,0.0500505904,49.9005396052,0.0499544590,49.8075166202,0.0497439573,50.2174826588,0.0501026891,49.9483967733,0.0502503442,50.1293177541,0.0498435001,50.0100277196,0.0499230625
14580.0000000000,4.0500000000,50.1839626395,0.0500826712,49.8003626446,0.0498527467,50.0333672492,0.0500269507,49.8550446945,0.0499591000,50.1802772832,0.0500785173,50.0120883905,0.0496775818,50.1529544713,0.0499193881,49.8076189726,0.0501275442,49.9494724064,0.0502449383,50.0690998533,0.0498296489,50.1410805599,0.0499589760,49.5969273717,0.0498781844
14640.0000000000,4.0666666667,49.8780416295,0.0499837141,50.0483181191,0.0497630578,49.9018851036,0.0502657624,50.0428235687,0.0497384163,49.9567142956,0.0498692969,49.8743509729,0.0501158977,50.1661111810,0.0498625077,49.8882284278,0.0500721188,50.0606186624,0.0500914245,49.8830098061,0.0500669295,49.8979277866,0.0499365413,50.0808592925,0.0500298021
14700.0000000000,4.0833333333,50.1860876447,0.0503767176,49.9406596788,0.0502073913,49.7931419962,0.0500293040,49.8335148313,0.0499824004,50.2402557704,0.0501637595,49.9345615322,0.0499377087,49.8351292130,0.0501891468,49.7156337575,0.0499710340,49.4686005306,0.0500150528,50.1772332950,0.0496916682,49.9800808814,0.0498986103,50.0262861731,0.0501376868
14760.0000000000,4.1000000000,49.5760275819,0.0499504539,49.8483640356,0.0500062972,49.9624160766,0.0501739467,49.9589702549,0.0499234707,50.2891109581,0.0497382870,50.1997605309,0.0497350867,49.9579536694,0.0502476804,49.8792166480,0.0500061439,49.9752749423,0.0500128089,50.1299878924,0.0498542797,49.6848029414,0.0500238950,49.8423360751,0.0499096332
14820.0000000000,4.1166666667,49.9784622962,0.0499716725,49.9936793143,0.0496721444,50.0943493799,0.0498607719,50.2371547459,0.0496428575,49.8121314868,0.0501724029,50.0918016111,0.0498497184,49.6061307334,0.0498072214,49.8995270362,0.0496358989,49.9394619015,0.0499897048,49.7992547518,0.0501931556,49.6094885589,0.0501808365,49.7856686188,0.0498752832
14880.0000000000,4.1333333333,50.2788797743,0.0499523233,50.1839664600,0.0498297589,49.9864765620,0.0499784464,49.9280962852,0.0500586915,50.0528986084,0.0499238072,50.1355393118,0.0498549726,49.7858137497,0.0500620157,50.0098154716,0.0499991151,49.9470065098,0.0499987355,49.7479081702,0.0500590900,50.0612256361,0.0500826404,49.9231884961,0.0497594531
14940.0000000000,4.1500000000,50.1048577500,0.0498080454,50.0323374403,0.0500949356,49.9663021499,0.0500017438,50.0304533642,0.0497419358,49.6917720712,0.0502774944,50.2315611078,0.0497237711,50.0067597303,0.0498368721,49.9682020632,0.0497953431,50.0236646135,0.0501758771,50.2890946380,0.0500081385,49.8374481811,0.0499049083,49.7925556553,0.0499858203
