case_key,kind,sigma_multiplier,seed,drying_time_coarse_s,drying_time_coarse_h,controlling_radius_cm,maximum_picard_iterations
baseline_mean_3_4h,constant,0.0,0,207120.0,57.53333333333333,0.0,12
constant_huber_equilibrium,constant,0.0,0,207100.0,57.52777777777778,0.0,12
ou_s0.5_seed20265912,ou,0.5,20265912,207104.0,57.528888888888886,0.0,14
ou_s0.5_seed20265913,ou,0.5,20265913,207094.0,57.52611111111111,0.0,14
ou_s0.5_seed20265914,ou,0.5,20265914,207118.0,57.53277777777778,0.0,14
ou_s0.5_seed20265915,ou,0.5,20265915,207096.0,57.526666666666664,0.0,14
ou_s0.5_seed20265916,ou,0.5,20265916,207088.0,57.52444444444444,0.0,14
ou_s0.5_seed20265917,ou,0.5,20265917,207108.0,57.53,0.0,14
ou_s0.5_seed20265918,ou,0.5,20265918,207110.0,57.53055555555556,0.0,14
ou_s0.5_seed20265919,ou,0.5,20265919,207098.0,57.52722222222222,0.0,14
ou_s0.5_seed20265920,ou,0.5,20265920,207112.0,57.53111111111111,0.0,14
ou_s0.5_seed20265921,ou,0.5,20265921,207106.0,57.529444444444444,0.0,14
ou_s0.5_seed20265922,ou,0.5,20265922,207102.0,57.528333333333336,0.0,14
ou_s0.5_seed20265923,ou,0.5,20265923,207088.0,57.52444444444444,0.0,14
ou_s0.5_seed20265924,ou,0.5,20265924,207106.0,57.529444444444444,0.0,14
ou_s0.5_seed20265925,ou,0.5,20265925,207112.0,57.53111111111111,0.0,14
ou_s0.5_seed20265926,ou,0.5,20265926,207094.0,57.52611111111111,0.0,14
ou_s0.5_seed20265927,ou,0.5,20265927,207106.0,57.529444444444444,0.0,14
ou_s0.5_seed20265928,ou,0.5,20265928,207074.0,57.52055555555555,0.0,14
ou_s0.5_seed20265929,ou,0.5,20265929,207112.0,57.53111111111111,0.0,14
ou_s0.5_seed20265930,ou,0.5,20265930,207098.0,57.52722222222222,0.0,14
ou_s0.5_seed20265931,ou,0.5,20265931,207116.0,57.532222222222224,0.0,14
ou_s0.5_seed20265932,ou,0.5,20265932,207104.0,57.528888888888886,0.0,14
ou_s0.5_seed20265933,ou,0.5,20265933,207094.0,57.52611111111111,0.0,14
ou_s0.5_seed20265934,ou,0.5,20265934,207098.0,57.52722222222222,0.0,14
ou_s0.5_seed20265935,ou,0.5,20265935,207088.0,57.52444444444444,0.0,14
ou_s0_limit,ou,0.0,20260912,207100.0,57.52777777777778,0.0,12
ou_s1.5_seed20275912,ou,1.5,20275912,207108.0,57.53,0.0,15
ou_s1.5_seed20275913,ou,1.5,20275913,207118.0,57.53277777777778,0.0,15
ou_s1.5_seed20275914,ou,1.5,20275914,207100.0,57.52777777777778,0.0,15
ou_s1.5_seed20275915,ou,1.5,20275915,207096.0,57.526666666666664,0.0,15
ou_s1.5_seed20275916,ou,1.5,20275916,207120.0,57.53333333333333,0.0,15
ou_s1.5_seed20275917,ou,1.5,20275917,207104.0,57.528888888888886,0.0,15
ou_s1.5_seed20275918,ou,1.5,20275918,207132.0,57.53666666666667,0.0,15
ou_s1.5_seed20275919,ou,1.5,20275919,207140.0,57.53888888888889,0.0,15
ou_s1.5_seed20275920,ou,1.5,20275920,207114.0,57.531666666666666,0.0,15
ou_s1.5_seed20275921,ou,1.5,20275921,207138.0,57.538333333333334,0.0,15
ou_s1.5_seed20275922,ou,1.5,20275922,207100.0,57.52777777777778,0.0,15
ou_s1.5_seed20275923,ou,1.5,20275923,207050.0,57.513888888888886,0.0,15
ou_s1.5_seed20275924,ou,1.5,20275924,207132.0,57.53666666666667,0.0,15
ou_s1.5_seed20275925,ou,1.5,20275925,207098.0,57.52722222222222,0.0,15
ou_s1.5_seed20275926,ou,1.5,20275926,207064.0,57.51777777777778,0.0,15
ou_s1.5_seed20275927,ou,1.5,20275927,207082.0,57.522777777777776,0.0,15
ou_s1.5_seed20275928,ou,1.5,20275928,207082.0,57.522777777777776,0.0,15
ou_s1.5_seed20275929,ou,1.5,20275929,207120.0,57.53333333333333,0.0,15
ou_s1.5_seed20275930,ou,1.5,20275930,207132.0,57.53666666666667,0.0,15
ou_s1.5_seed20275931,ou,1.5,20275931,207092.0,57.525555555555556,0.0,15
ou_s1.5_seed20275932,ou,1.5,20275932,207112.0,57.53111111111111,0.0,16
ou_s1.5_seed20275933,ou,1.5,20275933,207070.0,57.519444444444446,0.0,15
ou_s1.5_seed20275934,ou,1.5,20275934,207116.0,57.532222222222224,0.0,15
ou_s1.5_seed20275935,ou,1.5,20275935,207146.0,57.54055555555556,0.0,15
ou_s1_seed20270912,ou,1.0,20270912,207104.0,57.528888888888886,0.0,15
ou_s1_seed20270913,ou,1.0,20270913,207090.0,57.525,0.0,15
ou_s1_seed20270914,ou,1.0,20270914,207126.0,57.535,0.0,15
ou_s1_seed20270915,ou,1.0,20270915,207106.0,57.529444444444444,0.0,15
ou_s1_seed20270916,ou,1.0,20270916,207116.0,57.532222222222224,0.0,15
ou_s1_seed20270917,ou,1.0,20270917,207086.0,57.52388888888889,0.0,15
ou_s1_seed20270918,ou,1.0,20270918,207080.0,57.522222222222226,0.0,15
ou_s1_seed20270919,ou,1.0,20270919,207088.0,57.52444444444444,0.0,15
ou_s1_seed20270920,ou,1.0,20270920,207118.0,57.53277777777778,0.0,15
ou_s1_seed20270921,ou,1.0,20270921,207124.0,57.534444444444446,0.0,15
ou_s1_seed20270922,ou,1.0,20270922,207118.0,57.53277777777778,0.0,15
ou_s1_seed20270923,ou,1.0,20270923,207056.0,57.51555555555556,0.0,15
ou_s1_seed20270924,ou,1.0,20270924,207102.0,57.528333333333336,0.0,15
ou_s1_seed20270925,ou,1.0,20270925,207084.0,57.52333333333333,0.0,15
ou_s1_seed20270926,ou,1.0,20270926,207076.0,57.52111111111111,0.0,15
ou_s1_seed20270927,ou,1.0,20270927,207132.0,57.53666666666667,0.0,15
ou_s1_seed20270928,ou,1.0,20270928,207104.0,57.528888888888886,0.0,15
ou_s1_seed20270929,ou,1.0,20270929,207126.0,57.535,0.0,15
ou_s1_seed20270930,ou,1.0,20270930,207102.0,57.528333333333336,0.0,15
ou_s1_seed20270931,ou,1.0,20270931,207096.0,57.526666666666664,0.0,15
ou_s1_seed20270932,ou,1.0,20270932,207104.0,57.528888888888886,0.0,15
ou_s1_seed20270933,ou,1.0,20270933,207092.0,57.525555555555556,0.0,15
ou_s1_seed20270934,ou,1.0,20270934,207086.0,57.52388888888889,0.0,15
ou_s1_seed20270935,ou,1.0,20270935,207080.0,57.522222222222226,0.0,15
ou_s1_seed20270936,ou,1.0,20270936,207102.0,57.528333333333336,0.0,15
ou_s1_seed20270937,ou,1.0,20270937,207132.0,57.53666666666667,0.0,15
ou_s1_seed20270938,ou,1.0,20270938,207104.0,57.528888888888886,0.0,15
ou_s1_seed20270939,ou,1.0,20270939,207138.0,57.538333333333334,0.0,15
ou_s1_seed20270940,ou,1.0,20270940,207104.0,57.528888888888886,0.0,15
ou_s1_seed20270941,ou,1.0,20270941,207078.0,57.52166666666667,0.0,15
ou_s1_seed20270942,ou,1.0,20270942,207112.0,57.53111111111111,0.0,15
ou_s1_seed20270943,ou,1.0,20270943,207132.0,57.53666666666667,0.0,15
ou_s1_seed20270944,ou,1.0,20270944,207098.0,57.52722222222222,0.0,15
ou_s1_seed20270945,ou,1.0,20270945,207098.0,57.52722222222222,0.0,15
ou_s1_seed20270946,ou,1.0,20270946,207092.0,57.525555555555556,0.0,15
ou_s1_seed20270947,ou,1.0,20270947,207092.0,57.525555555555556,0.0,15
ou_s1_seed20270948,ou,1.0,20270948,207130.0,57.53611111111111,0.0,15
ou_s1_seed20270949,ou,1.0,20270949,207098.0,57.52722222222222,0.0,15
ou_s1_seed20270950,ou,1.0,20270950,207094.0,57.52611111111111,0.0,15
ou_s1_seed20270951,ou,1.0,20270951,207078.0,57.52166666666667,0.0,15
ou_s1_seed20270952,ou,1.0,20270952,207128.0,57.535555555555554,0.0,15
ou_s1_seed20270953,ou,1.0,20270953,207134.0,57.53722222222222,0.0,15
ou_s1_seed20270954,ou,1.0,20270954,207114.0,57.531666666666666,0.0,15
ou_s1_seed20270955,ou,1.0,20270955,207110.0,57.53055555555556,0.0,15
ou_s1_seed20270956,ou,1.0,20270956,207086.0,57.52388888888889,0.0,15
ou_s1_seed20270957,ou,1.0,20270957,207110.0,57.53055555555556,0.0,15
ou_s1_seed20270958,ou,1.0,20270958,207114.0,57.531666666666666,0.0,15
ou_s1_seed20270959,ou,1.0,20270959,207136.0,57.53777777777778,0.0,15
ou_s1_seed20270960,ou,1.0,20270960,207110.0,57.53055555555556,0.0,15
ou_s1_seed20270961,ou,1.0,20270961,207084.0,57.52333333333333,0.0,15
ou_s1_seed20270962,ou,1.0,20270962,207082.0,57.522777777777776,0.0,15
ou_s1_seed20270963,ou,1.0,20270963,207096.0,57.526666666666664,0.0,15
ou_s1_seed20270964,ou,1.0,20270964,207066.0,57.51833333333333,0.0,15
ou_s1_seed20270965,ou,1.0,20270965,207058.0,57.51611111111111,0.0,15
ou_s1_seed20270966,ou,1.0,20270966,207124.0,57.534444444444446,0.0,15
ou_s1_seed20270967,ou,1.0,20270967,207112.0,57.53111111111111,0.0,15
ou_s1_seed20270968,ou,1.0,20270968,207132.0,57.53666666666667,0.0,15
ou_s1_seed20270969,ou,1.0,20270969,207130.0,57.53611111111111,0.0,15
ou_s1_seed20270970,ou,1.0,20270970,207084.0,57.52333333333333,0.0,15
ou_s1_seed20270971,ou,1.0,20270971,207140.0,57.53888888888889,0.0,15
ou_s2_seed20280912,ou,2.0,20280912,207130.0,57.53611111111111,0.0,16
ou_s2_seed20280913,ou,2.0,20280913,207148.0,57.541111111111114,0.0,16
ou_s2_seed20280914,ou,2.0,20280914,207148.0,57.541111111111114,0.0,16
ou_s2_seed20280915,ou,2.0,20280915,207100.0,57.52777777777778,0.0,15
ou_s2_seed20280916,ou,2.0,20280916,207114.0,57.531666666666666,0.0,15
ou_s2_seed20280917,ou,2.0,20280917,207036.0,57.51,0.0,16
ou_s2_seed20280918,ou,2.0,20280918,207036.0,57.51,0.0,16
ou_s2_seed20280919,ou,2.0,20280919,207132.0,57.53666666666667,0.0,16
ou_s2_seed20280920,ou,2.0,20280920,207116.0,57.532222222222224,0.0,16
ou_s2_seed20280921,ou,2.0,20280921,207130.0,57.53611111111111,0.0,16
ou_s2_seed20280922,ou,2.0,20280922,207084.0,57.52333333333333,0.0,15
ou_s2_seed20280923,ou,2.0,20280923,207114.0,57.531666666666666,0.0,16
ou_s2_seed20280924,ou,2.0,20280924,207094.0,57.52611111111111,0.0,16
ou_s2_seed20280925,ou,2.0,20280925,207128.0,57.535555555555554,0.0,16
ou_s2_seed20280926,ou,2.0,20280926,207134.0,57.53722222222222,0.0,16
ou_s2_seed20280927,ou,2.0,20280927,207118.0,57.53277777777778,0.0,16
ou_s2_seed20280928,ou,2.0,20280928,207150.0,57.541666666666664,0.0,15
ou_s2_seed20280929,ou,2.0,20280929,207080.0,57.522222222222226,0.0,15
ou_s2_seed20280930,ou,2.0,20280930,207102.0,57.528333333333336,0.0,16
ou_s2_seed20280931,ou,2.0,20280931,207034.0,57.50944444444445,0.0,16
ou_s2_seed20280932,ou,2.0,20280932,207098.0,57.52722222222222,0.0,16
ou_s2_seed20280933,ou,2.0,20280933,207144.0,57.54,0.0,16
ou_s2_seed20280934,ou,2.0,20280934,207088.0,57.52444444444444,0.0,16
ou_s2_seed20280935,ou,2.0,20280935,207112.0,57.53111111111111,0.0,16
