case_key,drying_time_coarse_s,drying_time_coarse_h,controlling_radius_cm,maximum_picard_iterations
45.995916666667|0.034993291667,235150.0,65.31944444444444,0.0,26
45.995916666667|0.042491854167,235496.0,65.41555555555556,0.0,17
45.995916666667|0.049990416667,235936.0,65.53777777777778,0.0,13
45.995916666667|0.057488979167,236536.0,65.70444444444445,0.0,10
45.995916666667|0.064987541667,237398.0,65.94388888888889,0.0,9
47.995916666667|0.034993291667,220064.0,61.12888888888889,0.0,26
47.995916666667|0.042491854167,220424.0,61.22888888888889,0.0,17
47.995916666667|0.049990416667,220880.0,61.355555555555554,0.0,12
47.995916666667|0.057488979167,221492.0,61.525555555555556,0.0,10
47.995916666667|0.064987541667,222356.0,61.76555555555556,0.0,9
49.968170833333|0.049869083333,207294.0,57.58166666666666,0.0,12
49.995916666667|0.034993291667,206276.0,57.29888888888889,0.0,26
49.995916666667|0.042491854167,206650.0,57.40277777777778,0.0,17
49.995916666667|0.049990416667,207120.0,57.53333333333333,0.0,12
49.995916666667|0.057488979167,207746.0,57.70722222222222,0.0,10
49.995916666667|0.064987541667,208616.0,57.94888888888889,0.0,9
49.997900000000|0.049957666667,207106.0,57.529444444444444,0.0,12
50.003177777778|0.049995500000,207074.0,57.52055555555555,0.0,12
50.009333333333|0.049987500000,207032.0,57.50888888888889,0.0,12
51.995916666667|0.034993291667,193664.0,53.79555555555555,0.0,25
51.995916666667|0.042491854167,194054.0,53.903888888888886,0.0,17
51.995916666667|0.049990416667,194538.0,54.038333333333334,0.0,12
51.995916666667|0.057488979167,195176.0,54.215555555555554,0.0,10
51.995916666667|0.064987541667,196054.0,54.45944444444444,0.0,9
53.995916666667|0.034993291667,182120.0,50.58888888888889,0.0,25
53.995916666667|0.042491854167,182524.0,50.70111111111111,0.0,16
53.995916666667|0.049990416667,183024.0,50.84,0.0,12
53.995916666667|0.057488979167,183674.0,51.02055555555555,0.0,10
53.995916666667|0.064987541667,184560.0,51.266666666666666,0.0,9
