scenario_id,group,plateau_temperature_c,plateau_moisture_kg_kg,temperature_delta_c,moisture_factor,averaging_window_h,drying_time_coarse_s,drying_time_coarse_h,controlling_radius_cm,maximum_picard_iterations,drying_time_corrected_h,change_from_baseline_h,change_from_baseline_pct
joint_T-4_C0.70,joint,45.9959166667,0.0349932917,-4.0000000000,0.7000000000,,235150.0000000000,65.3194444444,0.0000000000,26.0000000000,65.2908333333,7.7861111111,13.5399508253
joint_T-4_C0.85,joint,45.9959166667,0.0424918542,-4.0000000000,0.8500000000,,235496.0000000000,65.4155555556,0.0000000000,17.0000000000,65.3869444445,7.8822222223,13.7070868577
joint_T-4_C1.00,joint,45.9959166667,0.0499904167,-4.0000000000,1.0000000000,,235936.0000000000,65.5377777778,0.0000000000,13.0000000000,65.5091666667,8.0044444445,13.9196297890
joint_T-4_C1.15,joint,45.9959166667,0.0574889792,-4.0000000000,1.1500000000,,236536.0000000000,65.7044444444,0.0000000000,10.0000000000,65.6758333333,8.1711111111,14.2094610587
joint_T-4_C1.30,joint,45.9959166667,0.0649875417,-4.0000000000,1.3000000000,,237398.0000000000,65.9438888889,0.0000000000,9.0000000000,65.9152777778,8.4105555556,14.6258519832
joint_T-2_C0.70,joint,47.9959166667,0.0349932917,-2.0000000000,0.7000000000,,220064.0000000000,61.1288888889,0.0000000000,26.0000000000,61.1002777778,3.5955555556,6.2526265960
joint_T-2_C0.85,joint,47.9959166667,0.0424918542,-2.0000000000,0.8500000000,,220424.0000000000,61.2288888889,0.0000000000,17.0000000000,61.2002777778,3.6955555556,6.4265253579
joint_T-2_C1.00,joint,47.9959166667,0.0499904167,-2.0000000000,1.0000000000,,220880.0000000000,61.3555555556,0.0000000000,12.0000000000,61.3269444445,3.8222222223,6.6467971231
joint_T-2_C1.15,joint,47.9959166667,0.0574889792,-2.0000000000,1.1500000000,,221492.0000000000,61.5255555556,0.0000000000,10.0000000000,61.4969444445,3.9922222223,6.9424250184
joint_T-2_C1.30,joint,47.9959166667,0.0649875417,-2.0000000000,1.3000000000,,222356.0000000000,61.7655555556,0.0000000000,9.0000000000,61.7369444445,4.2322222223,7.3597820470
joint_T+0_C0.70,joint,49.9959166667,0.0349932917,0.0000000000,0.7000000000,,206276.0000000000,57.2988888889,0.0000000000,26.0000000000,57.2702777778,-0.2344444444,-0.4076959862
joint_T+0_C0.85,joint,49.9959166667,0.0424918542,0.0000000000,0.8500000000,,206650.0000000000,57.4027777778,0.0000000000,17.0000000000,57.3741666667,-0.1305555555,-0.2270344947
joint_T+0_C1.00,joint,49.9959166667,0.0499904167,0.0000000000,1.0000000000,,207120.0000000000,57.5333333333,0.0000000000,12.0000000000,57.5047222222,0.0000000000,0.0000000000
joint_T+0_C1.15,joint,49.9959166667,0.0574889792,0.0000000000,1.1500000000,,207746.0000000000,57.7072222222,0.0000000000,10.0000000000,57.6786111111,0.1738888889,0.3023906249
joint_T+0_C1.30,joint,49.9959166667,0.0649875417,0.0000000000,1.3000000000,,208616.0000000000,57.9488888889,0.0000000000,9.0000000000,57.9202777778,0.4155555556,0.7226459664
joint_T+2_C0.70,joint,51.9959166667,0.0349932917,2.0000000000,0.7000000000,,193664.0000000000,53.7955555556,0.0000000000,25.0000000000,53.7669444445,-3.7377777777,-6.4999492794
joint_T+2_C0.85,joint,51.9959166667,0.0424918542,2.0000000000,0.8500000000,,194054.0000000000,53.9038888889,0.0000000000,17.0000000000,53.8752777778,-3.6294444444,-6.3115589540
joint_T+2_C1.00,joint,51.9959166667,0.0499904167,2.0000000000,1.0000000000,,194538.0000000000,54.0383333333,0.0000000000,12.0000000000,54.0097222222,-3.4950000000,-6.0777617297
joint_T+2_C1.15,joint,51.9959166667,0.0574889792,2.0000000000,1.1500000000,,195176.0000000000,54.2155555556,0.0000000000,10.0000000000,54.1869444445,-3.3177777777,-5.7695744793
joint_T+2_C1.30,joint,51.9959166667,0.0649875417,2.0000000000,1.3000000000,,196054.0000000000,54.4594444444,0.0000000000,9.0000000000,54.4308333333,-3.0738888889,-5.3454547211
joint_T+4_C0.70,joint,53.9959166667,0.0349932917,4.0000000000,0.7000000000,,182120.0000000000,50.5888888889,0.0000000000,25.0000000000,50.5602777778,-6.9444444444,-12.0763029122
