xi_center,z_center_m,r_center_m,temperature_K,moisture_kg_kg
0.0155029297,0.0030859375,0.0001860352,323.14591667,0.1499877745
0.0462646484,0.0030859375,0.0005551758,323.14591667,0.1498950825
0.0765380859,0.0030859375,0.0009184570,323.14591667,0.1497138882
0.1063232422,0.0030859375,0.0012758789,323.14591667,0.1494481456
0.1356201172,0.0030859375,0.0016274414,323.14591667,0.1491015953
0.1644287109,0.0030859375,0.0019731445,323.14591667,0.1486777843
0.1927490234,0.0030859375,0.0023129883,323.14591667,0.1481800822
0.2205810547,0.0030859375,0.0026469727,323.14591667,0.1476116943
0.2479248047,0.0030859375,0.0029750977,323.14591667,0.1469756742
0.2747802734,0.0030859375,0.0032973633,323.14591667,0.1462749330
0.3011474609,0.0030859375,0.0036137695,323.14591667,0.1455122483
0.3270263672,0.0030859375,0.0039243164,323.14591667,0.1446902714
0.3524169922,0.0030859375,0.0042290039,323.14591667,0.1438115336
0.3773193359,0.0030859375,0.0045278320,323.14591667,0.1428784518
0.4017333984,0.0030859375,0.0048208008,323.14591667,0.1418933331
0.4256591797,0.0030859375,0.0051079102,323.14591667,0.1408583788
0.4490966797,0.0030859375,0.0053891602,323.14591667,0.1397756878
0.4720458984,0.0030859375,0.0056645508,323.14591667,0.1386472598
0.4945068359,0.0030859375,0.0059340820,323.14591667,0.1374749978
0.5164794922,0.0030859375,0.0061977539,323.14591667,0.1362607099
0.5379638672,0.0030859375,0.0064555664,323.14591667,0.1350061115
0.5589599609,0.0030859375,0.0067075195,323.14591667,0.1337128262
0.5794677734,0.0030859375,0.0069536133,323.14591667,0.1323823872
0.5994873047,0.0030859375,0.0071938477,323.14591667,0.1310162378
0.6190185547,0.0030859375,0.0074282227,323.14591667,0.1296157320
0.6380615234,0.0030859375,0.0076567383,323.14591667,0.1281821343
0.6566162109,0.0030859375,0.0078793945,323.14591667,0.1267166196
0.6746826172,0.0030859375,0.0080961914,323.14591667,0.1252202725
0.6922607422,0.0030859375,0.0083071289,323.14591667,0.1236940863
0.7093505859,0.0030859375,0.0085122070,323.14591667,0.1221389617
0.7259521484,0.0030859375,0.0087114258,323.14591667,0.1205557047
0.7420654297,0.0030859375,0.0089047852,323.14591667,0.1189450243
0.7576904297,0.0030859375,0.0090922852,323.14591667,0.1173075295
0.7728271484,0.0030859375,0.0092739258,323.14591667,0.1156437260
0.7874755859,0.0030859375,0.0094497070,323.14591667,0.1139540117
0.8016357422,0.0030859375,0.0096196289,323.14591667,0.1122386716
0.8153076172,0.0030859375,0.0097836914,323.14591667,0.1104978717
0.8284912109,0.0030859375,0.0099418945,323.14591667,0.1087316522
0.8411865234,0.0030859375,0.0100942383,323.14591667,0.1069399188
0.8533935547,0.0030859375,0.0102407227,323.14591667,0.1051224330
0.8651123047,0.0030859375,0.0103813477,323.14591667,0.1032788006
0.8763427734,0.0030859375,0.0105161133,323.14591667,0.1014084586
0.8870849609,0.0030859375,0.0106450195,323.14591667,0.0995106590
0.8973388672,0.0030859375,0.0107680664,323.14591667,0.0975844512
0.9071044922,0.0030859375,0.0108852539,323.14591667,0.0956286604
0.9163818359,0.0030859375,0.0109965820,323.14591667,0.0936418640
0.9251708984,0.0030859375,0.0111020508,323.14591667,0.0916223638
0.9334716797,0.0030859375,0.0112016602,323.14591667,0.0895681552
0.9412841797,0.0030859375,0.0112954102,323.14591667,0.0874768942
0.9486083984,0.0030859375,0.0113833008,323.14591667,0.0853458634
0.9554443359,0.0030859375,0.0114653320,323.14591667,0.0831719415
0.9617919922,0.0030859375,0.0115415039,323.14591667,0.0809515857
0.9676513672,0.0030859375,0.0116118164,323.14591667,0.0786808424
0.9730224609,0.0030859375,0.0116762695,323.14591667,0.0763554230
0.9779052734,0.0030859375,0.0117348633,323.14591667,0.0739709126
0.9822998047,0.0030859375,0.0117875977,323.14591667,0.0715232540
0.9862060547,0.0030859375,0.0118344727,323.14591667,0.0690097976
0.9896240234,0.0030859375,0.0118754883,323.14591667,0.0664315334
0.9925537109,0.0030859375,0.0119106445,323.14591667,0.0637978155
0.9949951172,0.0030859375,0.0119399414,323.14591667,0.0611363332
0.9969482422,0.0030859375,0.0119633789,323.14591667,0.0585135875
0.9984130859,0.0030859375,0.0119809570,323.14591667,0.0560726800
0.9993896484,0.0030859375,0.0119926758,323.14591667,0.0540816841
0.9998779297,0.0030859375,0.0119985352,323.14591667,0.0529254997
0.0155029297,0.0091796875,0.0001860352,323.14591667,0.1499877696
0.0462646484,0.0091796875,0.0005551758,323.14591667,0.1498950776
0.0765380859,0.0091796875,0.0009184570,323.14591667,0.1497138834
0.1063232422,0.0091796875,0.0012758789,323.14591667,0.1494481408
0.1356201172,0.0091796875,0.0016274414,323.14591667,0.1491015905
0.1644287109,0.0091796875,0.0019731445,323.14591667,0.1486777795
0.1927490234,0.0091796875,0.0023129883,323.14591667,0.1481800774
0.2205810547,0.0091796875,0.0026469727,323.14591667,0.1476116896
0.2479248047,0.0091796875,0.0029750977,323.14591667,0.1469756695
0.2747802734,0.0091796875,0.0032973633,323.14591667,0.1462749283
0.3011474609,0.0091796875,0.0036137695,323.14591667,0.1455122437
0.3270263672,0.0091796875,0.0039243164,323.14591667,0.1446902668
0.3524169922,0.0091796875,0.0042290039,323.14591667,0.1438115291
0.3773193359,0.0091796875,0.0045278320,323.14591667,0.1428784474
0.4017333984,0.0091796875,0.0048208008,323.14591667,0.1418933288
0.4256591797,0.0091796875,0.0051079102,323.14591667,0.1408583745
0.4490966797,0.0091796875,0.0053891602,323.14591667,0.1397756835
0.4720458984,0.0091796875,0.0056645508,323.14591667,0.1386472556
