time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface
60,1.99576667,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
120,1.99153333,301.150001,301.150001,301.150002,301.150004,301.150008,301.150019,301.150042,301.150094,301.150204,301.150434,301.150896,301.151784,301.153443,301.156465,301.161783,301.170800,301.185634,301.209330,301.246143,301.301291,,301.374555
180,1.98730000,301.150042,301.150049,301.150072,301.150121,301.150212,301.150378,301.150675,301.151200,301.152111,301.153664,301.156242,301.160400,301.167010,301.177252,301.192844,301.215841,301.249085,301.295834,301.360048,301.446191,,301.544733
240,1.98306667,301.150458,301.150507,301.150658,301.150951,301.151446,301.152249,301.153526,301.155530,301.158628,301.163334,301.170340,301.180527,301.195228,301.215864,301.244592,301.283466,301.335358,301.402901,301.489189,301.597724,,301.709089
300,1.97883333,301.152237,301.152402,301.152900,301.153823,301.155291,301.157514,301.160796,301.165563,301.172387,301.182001,301.195312,301.213398,301.237908,301.270267,301.312965,301.368268,301.439648,301.530627,301.646281,301.793356,,301.939565
360,1.97460000,301.156959,301.157337,301.158459,301.160480,301.163573,301.168053,301.174355,301.183063,301.194922,301.210860,301.231994,301.259629,301.295890,301.342419,301.402064,301.477860,301.573042,301.691134,301.836141,302.012762,,302.171384
420,1.97036667,301.166360,301.167045,301.169063,301.172634,301.177980,301.185516,301.195812,301.209608,301.227830,301.251603,301.282238,301.321218,301.371053,301.433319,301.510895,301.606815,301.723931,301.865762,302.036184,302.240488,,302.411251
480,1.96613333,301.182126,301.183213,301.186391,301.191958,301.200170,301.211544,301.226769,301.246718,301.272461,301.305253,301.346517,301.397860,301.461931,301.540256,301.635601,301.750736,301.887986,302.050256,302.240120,302.461446,,302.630455
540,1.96190000,301.205875,301.207450,301.212026,301.219985,301.231598,301.247460,301.268353,301.295242,301.329279,301.371777,301.424178,301.488189,301.566205,301.659818,301.771502,301.903869,302.059283,302.241442,302.453858,302.703416,,302.883549
600,1.95766667,301.238967,301.241094,301.247246,301.257889,301.273277,301.294063,301.321078,301.355336,301.398019,301.450454,301.514083,301.590766,301.682699,301.791796,301.920496,302.071527,302.247543,302.451928,302.688070,302.962549,,303.144584
660,1.95343333,301.282328,301.285047,301.292881,301.306379,301.325764,301.351723,301.385126,301.427018,301.478612,301.541259,301.616419,301.706151,301.812407,301.937445,302.083597,302.253693,302.450881,302.678839,302.942295,303.250174,,303.440125
