time_s,time_h,radius_cm,z_m,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface
60,0.01666667,1.99576667,0.000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.005,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.010,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.015,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.020,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.025,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.030,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.035,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.040,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.045,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.050,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.055,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.060,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.065,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.070,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
60,0.01666667,1.99576667,0.075,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499997850,2.5480354433,,2.0789778934
