time_s,time_h,model_radius_cm,oven_temperature_C,oven_temperature_K,oven_moisture_kg_kg,segment_start_s,segment_end_s,segment_start_radius_cm,segment_end_radius_cm,segment_slope_cm_s,data_type
14400,4.000000,1.4770000000,50.1650000000,323.3150000000,0.049860000000,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,附件2节点
14460,4.016667,1.4760000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14520,4.033333,1.4750000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14580,4.050000,1.4740000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14640,4.066667,1.4730000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14700,4.083333,1.4720000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14760,4.100000,1.4710000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14820,4.116667,1.4700000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14880,4.133333,1.4690000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
14940,4.150000,1.4680000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
15000,4.166667,1.4670000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
15060,4.183333,1.4660000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
15120,4.200000,1.4650000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
15180,4.216667,1.4640000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
15240,4.233333,1.4630000000,49.9959166667,323.1459166667,0.049990416667,14400,16200,1.4770000000,1.4470000000,-1.6666666666667e-05,分段线性插值
