time_s,oven_temperature_C,oven_temperature_K,oven_moisture_kg_kg
0,28.000000,301.150000,0.01963000
1,28.008800,301.158800,0.01963650
2,28.017600,301.167600,0.01964300
3,28.026400,301.176400,0.01964950
4,28.035200,301.185200,0.01965600
5,28.044000,301.194000,0.01966250
6,28.052800,301.202800,0.01966900
7,28.061600,301.211600,0.01967550
8,28.070400,301.220400,0.01968200
9,28.079200,301.229200,0.01968850
10,28.088000,301.238000,0.01969500
11,28.096800,301.246800,0.01970150
12,28.105600,301.255600,0.01970800
13,28.114400,301.264400,0.01971450
14,28.123200,301.273200,0.01972100
15,28.132000,301.282000,0.01972750
16,28.140800,301.290800,0.01973400
17,28.149600,301.299600,0.01974050
18,28.158400,301.308400,0.01974700
19,28.167200,301.317200,0.01975350
20,28.176000,301.326000,0.01976000
21,28.184800,301.334800,0.01976650
22,28.193600,301.343600,0.01977300
23,28.202400,301.352400,0.01977950
24,28.211200,301.361200,0.01978600
25,28.220000,301.370000,0.01979250
26,28.228800,301.378800,0.01979900
27,28.237600,301.387600,0.01980550
28,28.246400,301.396400,0.01981200
29,28.255200,301.405200,0.01981850
30,28.264000,301.414000,0.01982500
31,28.272800,301.422800,0.01983150
32,28.281600,301.431600,0.01983800
33,28.290400,301.440400,0.01984450
34,28.299200,301.449200,0.01985100
35,28.308000,301.458000,0.01985750
36,28.316800,301.466800,0.01986400
37,28.325600,301.475600,0.01987050
38,28.334400,301.484400,0.01987700
39,28.343200,301.493200,0.01988350
40,28.352000,301.502000,0.01989000
41,28.360800,301.510800,0.01989650
42,28.369600,301.519600,0.01990300
43,28.378400,301.528400,0.01990950
44,28.387200,301.537200,0.01991600
45,28.396000,301.546000,0.01992250
46,28.404800,301.554800,0.01992900
47,28.413600,301.563600,0.01993550
48,28.422400,301.572400,0.01994200
49,28.431200,301.581200,0.01994850
50,28.440000,301.590000,0.01995500
51,28.448800,301.598800,0.01996150
52,28.457600,301.607600,0.01996800
53,28.466400,301.616400,0.01997450
54,28.475200,301.625200,0.01998100
55,28.484000,301.634000,0.01998750
56,28.492800,301.642800,0.01999400
57,28.501600,301.651600,0.02000050
58,28.510400,301.660400,0.02000700
59,28.519200,301.669200,0.02001350
60,28.528000,301.678000,0.02002000
61,28.539067,301.689067,0.02002850
62,28.550133,301.700133,0.02003700
63,28.561200,301.711200,0.02004550
64,28.572267,301.722267,0.02005400
65,28.583333,301.733333,0.02006250
66,28.594400,301.744400,0.02007100
67,28.605467,301.755467,0.02007950
68,28.616533,301.766533,0.02008800
69,28.627600,301.777600,0.02009650
70,28.638667,301.788667,0.02010500
71,28.649733,301.799733,0.02011350
72,28.660800,301.810800,0.02012200
73,28.671867,301.821867,0.02013050
74,28.682933,301.832933,0.02013900
75,28.694000,301.844000,0.02014750
76,28.705067,301.855067,0.02015600
77,28.716133,301.866133,0.02016450
78,28.727200,301.877200,0.02017300
79,28.738267,301.888267,0.02018150
80,28.749333,301.899333,0.02019000
81,28.760400,301.910400,0.02019850
82,28.771467,301.921467,0.02020700
83,28.782533,301.932533,0.02021550
84,28.793600,301.943600,0.02022400
85,28.804667,301.954667,0.02023250
86,28.815733,301.965733,0.02024100
87,28.826800,301.976800,0.02024950
88,28.837867,301.987867,0.02025800
89,28.848933,301.998933,0.02026650
90,28.860000,302.010000,0.02027500
91,28.871067,302.021067,0.02028350
92,28.882133,302.032133,0.02029200
93,28.893200,302.043200,0.02030050
94,28.904267,302.054267,0.02030900
95,28.915333,302.065333,0.02031750
96,28.926400,302.076400,0.02032600
97,28.937467,302.087467,0.02033450
98,28.948533,302.098533,0.02034300
99,28.959600,302.109600,0.02035150
100,28.970667,302.120667,0.02036000
101,28.981733,302.131733,0.02036850
102,28.992800,302.142800,0.02037700
103,29.003867,302.153867,0.02038550
104,29.014933,302.164933,0.02039400
105,29.026000,302.176000,0.02040250
106,29.037067,302.187067,0.02041100
107,29.048133,302.198133,0.02041950
108,29.059200,302.209200,0.02042800
109,29.070267,302.220267,0.02043650
110,29.081333,302.231333,0.02044500
111,29.092400,302.242400,0.02045350
112,29.103467,302.253467,0.02046200
113,29.114533,302.264533,0.02047050
114,29.125600,302.275600,0.02047900
115,29.136667,302.286667,0.02048750
116,29.147733,302.297733,0.02049600
117,29.158800,302.308800,0.02050450
118,29.169867,302.319867,0.02051300
119,29.180933,302.330933,0.02052150
120,29.192000,302.342000,0.02053000
121,29.200200,302.350200,0.02053783
122,29.208400,302.358400,0.02054567
123,29.216600,302.366600,0.02055350
124,29.224800,302.374800,0.02056133
125,29.233000,302.383000,0.02056917
126,29.241200,302.391200,0.02057700
127,29.249400,302.399400,0.02058483
128,29.257600,302.407600,0.02059267
129,29.265800,302.415800,0.02060050
130,29.274000,302.424000,0.02060833
131,29.282200,302.432200,0.02061617
132,29.290400,302.440400,0.02062400
133,29.298600,302.448600,0.02063183
134,29.306800,302.456800,0.02063967
135,29.315000,302.465000,0.02064750
136,29.323200,302.473200,0.02065533
137,29.331400,302.481400,0.02066317
138,29.339600,302.489600,0.02067100
139,29.347800,302.497800,0.02067883
140,29.356000,302.506000,0.02068667
141,29.364200,302.514200,0.02069450
142,29.372400,302.522400,0.02070233
143,29.380600,302.530600,0.02071017
144,29.388800,302.538800,0.02071800
145,29.397000,302.547000,0.02072583
146,29.405200,302.555200,0.02073367
147,29.413400,302.563400,0.02074150
148,29.421600,302.571600,0.02074933
149,29.429800,302.579800,0.02075717
150,29.438000,302.588000,0.02076500
151,29.446200,302.596200,0.02077283
152,29.454400,302.604400,0.02078067
153,29.462600,302.612600,0.02078850
154,29.470800,302.620800,0.02079633
155,29.479000,302.629000,0.02080417
156,29.487200,302.637200,0.02081200
157,29.495400,302.645400,0.02081983
158,29.503600,302.653600,0.02082767
159,29.511800,302.661800,0.02083550
160,29.520000,302.670000,0.02084333
161,29.528200,302.678200,0.02085117
162,29.536400,302.686400,0.02085900
163,29.544600,302.694600,0.02086683
164,29.552800,302.702800,0.02087467
165,29.561000,302.711000,0.02088250
166,29.569200,302.719200,0.02089033
167,29.577400,302.727400,0.02089817
168,29.585600,302.735600,0.02090600
169,29.593800,302.743800,0.02091383
170,29.602000,302.752000,0.02092167
171,29.610200,302.760200,0.02092950
172,29.618400,302.768400,0.02093733
173,29.626600,302.776600,0.02094517
174,29.634800,302.784800,0.02095300
175,29.643000,302.793000,0.02096083
176,29.651200,302.801200,0.02096867
177,29.659400,302.809400,0.02097650
178,29.667600,302.817600,0.02098433
179,29.675800,302.825800,0.02099217
180,29.684000,302.834000,0.02100000
181,29.689883,302.839883,0.02100850
182,29.695767,302.845767,0.02101700
183,29.701650,302.851650,0.02102550
184,29.707533,302.857533,0.02103400
185,29.713417,302.863417,0.02104250
186,29.719300,302.869300,0.02105100
187,29.725183,302.875183,0.02105950
188,29.731067,302.881067,0.02106800
189,29.736950,302.886950,0.02107650
190,29.742833,302.892833,0.02108500
191,29.748717,302.898717,0.02109350
192,29.754600,302.904600,0.02110200
193,29.760483,302.910483,0.02111050
194,29.766367,302.916367,0.02111900
195,29.772250,302.922250,0.02112750
196,29.778133,302.928133,0.02113600
197,29.784017,302.934017,0.02114450
198,29.789900,302.939900,0.02115300
199,29.795783,302.945783,0.02116150
200,29.801667,302.951667,0.02117000
201,29.807550,302.957550,0.02117850
202,29.813433,302.963433,0.02118700
203,29.819317,302.969317,0.02119550
204,29.825200,302.975200,0.02120400
205,29.831083,302.981083,0.02121250
206,29.836967,302.986967,0.02122100
207,29.842850,302.992850,0.02122950
208,29.848733,302.998733,0.02123800
209,29.854617,303.004617,0.02124650
210,29.860500,303.010500,0.02125500
211,29.866383,303.016383,0.02126350
212,29.872267,303.022267,0.02127200
213,29.878150,303.028150,0.02128050
214,29.884033,303.034033,0.02128900
215,29.889917,303.039917,0.02129750
216,29.895800,303.045800,0.02130600
217,29.901683,303.051683,0.02131450
218,29.907567,303.057567,0.02132300
219,29.913450,303.063450,0.02133150
220,29.919333,303.069333,0.02134000
221,29.925217,303.075217,0.02134850
222,29.931100,303.081100,0.02135700
223,29.936983,303.086983,0.02136550
224,29.942867,303.092867,0.02137400
225,29.948750,303.098750,0.02138250
226,29.954633,303.104633,0.02139100
227,29.960517,303.110517,0.02139950
228,29.966400,303.116400,0.02140800
229,29.972283,303.122283,0.02141650
230,29.978167,303.128167,0.02142500
231,29.984050,303.134050,0.02143350
232,29.989933,303.139933,0.02144200
233,29.995817,303.145817,0.02145050
234,30.001700,303.151700,0.02145900
235,30.007583,303.157583,0.02146750
236,30.013467,303.163467,0.02147600
237,30.019350,303.169350,0.02148450
238,30.025233,303.175233,0.02149300
239,30.031117,303.181117,0.02150150
240,30.037000,303.187000,0.02151000
241,30.050283,303.200283,0.02151667
242,30.063567,303.213567,0.02152333
243,30.076850,303.226850,0.02153000
244,30.090133,303.240133,0.02153667
245,30.103417,303.253417,0.02154333
246,30.116700,303.266700,0.02155000
247,30.129983,303.279983,0.02155667
248,30.143267,303.293267,0.02156333
249,30.156550,303.306550,0.02157000
250,30.169833,303.319833,0.02157667
251,30.183117,303.333117,0.02158333
252,30.196400,303.346400,0.02159000
253,30.209683,303.359683,0.02159667
254,30.222967,303.372967,0.02160333
255,30.236250,303.386250,0.02161000
256,30.249533,303.399533,0.02161667
257,30.262817,303.412817,0.02162333
258,30.276100,303.426100,0.02163000
259,30.289383,303.439383,0.02163667
260,30.302667,303.452667,0.02164333
261,30.315950,303.465950,0.02165000
262,30.329233,303.479233,0.02165667
263,30.342517,303.492517,0.02166333
264,30.355800,303.505800,0.02167000
265,30.369083,303.519083,0.02167667
266,30.382367,303.532367,0.02168333
267,30.395650,303.545650,0.02169000
268,30.408933,303.558933,0.02169667
269,30.422217,303.572217,0.02170333
270,30.435500,303.585500,0.02171000
271,30.448783,303.598783,0.02171667
272,30.462067,303.612067,0.02172333
273,30.475350,303.625350,0.02173000
274,30.488633,303.638633,0.02173667
275,30.501917,303.651917,0.02174333
276,30.515200,303.665200,0.02175000
277,30.528483,303.678483,0.02175667
278,30.541767,303.691767,0.02176333
279,30.555050,303.705050,0.02177000
280,30.568333,303.718333,0.02177667
281,30.581617,303.731617,0.02178333
282,30.594900,303.744900,0.02179000
283,30.608183,303.758183,0.02179667
284,30.621467,303.771467,0.02180333
285,30.634750,303.784750,0.02181000
286,30.648033,303.798033,0.02181667
287,30.661317,303.811317,0.02182333
288,30.674600,303.824600,0.02183000
289,30.687883,303.837883,0.02183667
290,30.701167,303.851167,0.02184333
291,30.714450,303.864450,0.02185000
292,30.727733,303.877733,0.02185667
293,30.741017,303.891017,0.02186333
294,30.754300,303.904300,0.02187000
295,30.767583,303.917583,0.02187667
296,30.780867,303.930867,0.02188333
297,30.794150,303.944150,0.02189000
298,30.807433,303.957433,0.02189667
299,30.820717,303.970717,0.02190333
300,30.834000,303.984000,0.02191000
301,30.841650,303.991650,0.02191700
302,30.849300,303.999300,0.02192400
